Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on GASLINI	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials	To keep	Deprecated
genomad	genomad_end_to_end		Identify virus and plasmid genomes from nucleotide sequences	2024-06-17	https://github.com/apcamargo/genomad/	1.12.0	genomad	1.12.0	Up-to-date	Metagenomics	Sequence annotation, Taxonomic classification	Sequence annotation, Taxonomic classification	Sequence analysis	Sequence analysis	ufz	https://github.com/Helmholtz-UFZ/ufz-galaxy-tools/blob/main/tools/genomad/	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/genomad	genomad	geNomad	geNomad is a tool that identifies virus and plasmid genomes from nucleotide sequences. It provides state-of-the-art classification performance and can be used to quickly find mobile genetic elements from genomes, metagenomes, or metatranscriptomes.		1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	119	2576	2576	20	20	71	71	0	0	0	0	0	0	0	0	2647	2647	139	139	https://usegalaxy.eu/published/workflow?id=36de05d50c703164, https://usegalaxy.eu/published/workflow?id=62392daea25a3980, https://usegalaxy.eu/published/workflow?id=c62d65832377e376, https://usegalaxy.eu/published/workflow?id=d0339e4a794f4922, https://usegalaxy.org/published/workflow?id=5729beda978a9c8e, https://usegalaxy.org/published/workflow?id=e0bd6b062a2239ae		True	False
graphmap	graphmap_align, graphmap_overlap	bam, txt	Mapper for long, error-prone reads.	2018-09-27	https://github.com/isovic/graphmap/	0.5.2	graphmap	0.6.4	To update	Assembly	Sequence trimming, EST assembly, Read mapping	Sequence trimming, EST assembly, Read mapping	Gene transcripts, RNA-Seq, RNA splicing	Gene transcripts, RNA-Seq, RNA splicing	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/graphmap	https://github.com/bgruening/galaxytools/tree/master/tools/graphmap	graphmap	graphmap	Splice-aware RNA-seq mapper for long reads | GraphMap - A highly sensitive and accurate mapper for long, error-prone reads		0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	325	372	6375	7914	0	0	0	0	0	0	0	0	5	5	8	8	7922	6383	377	330			True	False
helixer	helixer	gff3	Gene calling with Deep Neural Networks	2023-06-14	https://github.com/weberlab-hhu/Helixer	0.3.6			To update	Genome annotation	Gene prediction, Genome annotation	Gene prediction, Genome annotation	Sequence analysis, Gene transcripts	Sequence analysis, Gene transcripts	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	helixer	Helixer	Deep Learning to predict gene annotations		1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	161	161	1024	1024	56	56	184	184	51	51	385	385	25	25	363	363	1956	1956	293	293	https://usegalaxy.eu/published/workflow?id=31bc2a44fb89aa89, https://usegalaxy.eu/published/workflow?id=327beb1edda305ff, https://usegalaxy.eu/published/workflow?id=3d604dad4f1f5b3d, https://usegalaxy.eu/published/workflow?id=4077e77b6af919c4, https://usegalaxy.eu/published/workflow?id=6550f72070b24082, https://usegalaxy.eu/published/workflow?id=8976041ef89e4548, https://usegalaxy.fr/published/workflow?id=ae05ff8487f58fd6, https://usegalaxy.org.au/published/workflow?id=a9068ea858222e2b, https://usegalaxy.org.au/published/workflow?id=dd9272826e6dd98d, https://usegalaxy.org.au/published/workflow?id=e263fcb6c98e231b, https://usegalaxy.org.au/published/workflow?id=ec7efff3d3249177, https://usegalaxy.org/published/workflow?id=4605309321799e9b, https://usegalaxy.org/published/workflow?id=80a7124c40438cc9, https://usegalaxy.org/published/workflow?id=f4111a169255535c, https://workflowhub.eu/workflows/1255?version=3, https://workflowhub.eu/workflows/1500?version=1, https://workflowhub.eu/workflows/1746?version=1	genome-annotation/comparison-braker-helixer-annotation, genome-annotation/helixer	True	False
hirondelle_crim_ogc_api_processes	hirondelle_crim	txt	This tool is a wrapper for OGC API Processes coming from https://osf.io/gfbws/.	2024-06-07	https://github.com/AquaINFRA/galaxy	0.2.0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper	https://github.com/galaxyecology/tools-ecology/tree/master/tools/hirondelle_crim_ogc_api_processes					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	237	237	0	0	0	0	0	0	0	0	0	0	0	0	237	237	4	4	https://usegalaxy.eu/published/workflow?id=6173008772bdba09, https://usegalaxy.eu/published/workflow?id=b1fa4a3561988704		True	False
instagraal	instagraal	fasta, tabular	Large genome reassembly based on Hi-C data	2022-11-10	https://github.com/koszullab/instaGRAAL	0.1.6			To update	Assembly	Genome assembly, Mapping assembly, Genetic mapping, Scaffolding	Genome assembly, Mapping assembly, Genetic mapping, Scaffolding	Sequence assembly, Mapping, Metagenomics, Statistics and probability, DNA binding sites	Sequence assembly, Mapping, Metagenomics, Statistics and probability, DNA binding sites	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/instagraal	https://github.com/bgruening/galaxytools/tree/master/tools/instagraal	instagraal	instaGRAAL	Chromosome-level quality scaffolding of brown algal genomes using InstaGRAAL.Large genome reassembly based on Hi-C data, continuation of GRAAL.Large genome reassembly based on Hi-C data (continuation and partial rewrite of GRAAL) and post-scaffolding polishing libraries.This work is under continuous development/improvement - see GRAAL for information about the basic principles.sudo pip3 install -e git+https://github.com/koszullab/instagraal.git@master#egg=instagraal.Note to OS X users: There is currently no CUDA support on Mojave (10.14) and it is unclear when it is going to be added, if it is to be added at all. This means instaGRAAL (or indeed any CUDA-based application) will not work on Mojave. If you wish to run it on OS X, the only solution for now is to downgrade to High Sierra (10.13)		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16	16	160	160	0	0	0	0	0	0	0	0	0	0	0	0	160	160	16	16			True	False
interpolation	interpolation_run_idw_interpolation	png	Run IDW interpolation based on a .csv and .geojson file	2024-01-05	https://github.com/AquaINFRA/galaxy	1.0	r-getopt		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	70	70	0	0	0	0	0	0	0	0	0	0	0	0	70	70	7	7	https://usegalaxy.eu/published/workflow?id=0b2304aa2083bd1a, https://workflowhub.eu/workflows/807?version=1		True	False
iphop	iphop_predict	csv	Integrated Phage Host Prediction	2024-10-14	https://bitbucket.org/srouxjgi/iphop/	1.4.2	iphop	1.4.2	Up-to-date	Metagenomics	Sample comparison	Sample comparison			ufz	https://github.com/Helmholtz-UFZ/ufz-galaxy-tools/blob/main/tools/iphop/	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/iphop	iphop	iPHoP	An automated command-line pipeline for predicting host genus of novel bacteriophages and archaeoviruses based on their genome sequences.		1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	26	26	0	0	0	0	0	0	0	0	0	0	0	0	26	26	9	9	https://usegalaxy.eu/published/workflow?id=62392daea25a3980, https://usegalaxy.eu/published/workflow?id=c62d65832377e376		True	False
kmetashot	kmetashot	csv	an alignment-free taxonomic classifier based on k-mer/minimizer counting	2025-12-18	https://github.com/gdefazio/kMetaShot	2.0	kmetashot	2.0	Up-to-date	Metagenomics			Metagenomics	Metagenomics	bgruening	https://github.com/galaxyproject/tools-iuc/tree/main/tools/kmetashot	https://github.com/bgruening/galaxytools/tree/master/tools/kmetashot	kmetashot	kMetaShot	The application of 2nd and 3rd generation High Throughput Sequencing (HTS) technologies has deeply reshaped experimental method to investigate microbial communities and obtain a taxonomic and functional profile of the invetigated community. Shotgun Metagenomics allow to quickly obtain a representation of microorganisms genomes characterizing a particular environment. In order to obtain a fast e reliable taxonomic classification of microorganisms genomes we present kMetaShot, an alignment-free taxonomic classifier based on k-mer/minimizer counting.		1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		microbiome/mags-building	True	False
lca_wrapper	lca1	taxonomy	Find lowest diagnostic rank	2014-01-27	https://bitbucket.org/natefoo/taxonomy	1.0.1	taxonomy	0.10.5	To update	Metagenomics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/lca_wrapper	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/lca_wrapper					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	20	11	137	14	1112	112	6136	0	0	0	0	0	0	0	0	6273	123	1132	17	https://usegalaxy.org/published/workflow?id=19c9c8cc3c813bda, https://usegalaxy.org/published/workflow?id=2f7638035fb889ac, https://usegalaxy.org/published/workflow?id=55aa743125c2465d, https://usegalaxy.org/published/workflow?id=59347cc210c4cdbc, https://usegalaxy.org/published/workflow?id=7294f75ad01ca7ed, https://usegalaxy.org/published/workflow?id=7b67ffcf1b7c2232, https://usegalaxy.org/published/workflow?id=85d825931edf4a64, https://usegalaxy.org/published/workflow?id=896d29573ea3e574, https://usegalaxy.org/published/workflow?id=d851f8436497dd1c		True	False
logan_protein	logan_protein_embed_query, logan_protein_search_database	npy, txt, fasta, tabular	Embedding-based protein sequence search using GLM2 and FAISS	2026-03-23	https://github.com/RolandFaure/search_protein	1.2.2			To update	Sequence Analysis, Metagenomics					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/logan_proteins	https://github.com/bgruening/galaxytools/tree/master/tools/logan_proteins					0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
lotus2	lotus2	zip, tabular, fasta, newick, txt	LotuS2 OTU processing pipeline	2021-05-13	https://lotus2.earlham.ac.uk/	2.32	lotus2	2.34.1	To update	Metagenomics	Sequence feature detection, DNA barcoding	Sequence feature detection, DNA barcoding	Metagenomics, Taxonomy, Microbial ecology	Metagenomics, Taxonomy, Microbial ecology	earlhaminst	https://github.com/EarlhamInst/earlham-galaxytools/tree/main/tools/lotus2	https://github.com/EarlhamInst/earlham-galaxytools/tree/main/tools/lotus2	lotus2	lotus2	LotuS2 is a lightweight and user-friendly pipeline that is fast, precise, and streamlined, using extensive pre- and post-ASV/OTU clustering steps to further increase data quality. High data usage rates and reliability enable high-throughput microbiome analysis in minutes.		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	249	249	1979	1979	0	0	0	0	22	22	417	417	2	2	5	5	2401	2401	273	273	https://usegalaxy.eu/published/workflow?id=466bdd8ba7b67264, https://workflowhub.eu/workflows/1460?version=1	microbiome/lotus2-identifying-fungi, microbiome/mgnify-amplicon	True	False
marine_omics	sanntis_marine	gff3, genbank	The Sanntis tool identify biosynthetic gene clusters (BGCs) in genomic & metagenomic data	2024-07-26	https://github.com/Finn-Lab/SanntiS	0.9.3.5	sanntis	0.9.4.1	To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/marine_omics	https://github.com/galaxyecology/tools-ecology/tree/master/tools/marine_omics					0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	22	198	198	0	0	0	0	5	5	112	112	0	0	0	0	310	310	27	27	https://usegalaxy.eu/published/workflow?id=a448400f69594135, https://usegalaxy.eu/published/workflow?id=b9c938d1af08124b, https://usegalaxy.eu/published/workflow?id=cc59ae1a9878942c, https://workflowhub.eu/workflows/1663?version=1	ecology/marine_omics_bgc	True	False
mean_per_zone	mean_per_zone	png	Creates a png image showing statistic over areas as defined in the vector file	2019-03-15	https://github.com/NordicESMhub/galaxy-tools/blob/master/tools/mean-per-zone/	0.2.0	python		To update	Visualization, GIS, Climate Analysis					climate	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/mean-per-zone	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/mean-per-zone					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	1	25	0	0	0	0	0	0	0	0	0	0	0	0	25	1	3	1			True	False
medenv	iabiodiv_smartbiodiv_med_environ	tabular	Retrieve environmental data from etopo, cmems and woa	2023-11-30	https://github.com/jeremyfix/medenv	0.1.2	pandas		To update	Ecology, Data Source					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/medenv	https://github.com/galaxyecology/tools-ecology/tree/master/tools/medenv					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	38	38	0	0	0	0	0	0	0	0	0	0	0	0	38	38	11	11			True	False
mitohifi	mitohifi	fasta, genbank, png, tsv, txt, zip	Assembly mitogenomes from Pacbio HiFi read.	2021-05-29	https://github.com/marcelauliano/MitoHiFi/tree/mitohifi_v2	3.2.3			To update	Assembly					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/mitohifi	https://github.com/bgruening/galaxytools/tree/master/tools/mitohifi					1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	265	265	1632	1632	177	177	1198	1198	45	45	983	983	0	0	0	0	3813	3813	487	487	https://usegalaxy.eu/published/workflow?id=2062c7e1c50b05f3, https://usegalaxy.eu/published/workflow?id=32a0c4bbe6f9add9, https://usegalaxy.eu/published/workflow?id=c0c8228673b7191f, https://usegalaxy.eu/published/workflow?id=e71ae1076d5f0584, https://usegalaxy.org.au/published/workflow?id=2f49a0a03d99c57a, https://usegalaxy.org.au/published/workflow?id=614898119cf0dabf, https://usegalaxy.org.au/published/workflow?id=8004dce1906ec057, https://usegalaxy.org.au/published/workflow?id=fc74419b109527b2, https://usegalaxy.org/published/workflow?id=40be58638e230ab5, https://usegalaxy.org/published/workflow?id=5f621330d6339655, https://usegalaxy.org/published/workflow?id=67b9046dc5dbc009, https://usegalaxy.org/published/workflow?id=982a3eb2b4c4f5ae, https://workflowhub.eu/workflows/1648?version=2, https://workflowhub.eu/workflows/738?version=4	assembly/mitochondrion-assembly	True	False
ncbi_egapx	ncbi_egapx, ncbi_egapx_execute, ncbi_egapx_prepare_input	gff, yaml, directory	Eukaryotic Genome Annotation Pipeline - External (EGAPx)	2024-08-19	https://github.com/ncbi/egapx	0.5.2			To update	Genome annotation					richard-burhans	https://github.com/richard-burhans/galaxytools/tree/main/tools/ncbi_egapx	https://github.com/richard-burhans/galaxytools/tree/main/tools/ncbi_egapx					3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	7	7	49	49	1037	1037	0	0	0	0	0	0	0	0	1044	1044	51	51	https://usegalaxy.org/published/workflow?id=7251c6e0dad8f927, https://usegalaxy.org/published/workflow?id=951575e9a352301c, https://usegalaxy.org/published/workflow?id=ce488732866ba48f, https://usegalaxy.org/published/workflow?id=e93a0522ec3a35e6		True	False
nextdenovo	nextdenovo	txt	String graph-based de novo assembler for long reads	2023-02-09	https://github.com/Nextomics/NextDenovo	2.5.0	nextdenovo	2.5.2	To update	Assembly	De-novo assembly, Genome assembly	De-novo assembly, Genome assembly	Sequencing, Sequence assembly	Sequencing, Sequence assembly	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/nextdenovo	https://github.com/bgruening/galaxytools/tree/master/tools/nextdenovo	nextdenovo	NextDenovo	"NextDenovo is a string graph-based de novo assembler for long reads (CLR, HiFi and ONT). It uses a ""correct-then-assemble"" strategy similar to canu (no correction step for PacBio Hifi reads), but requires significantly less computing resources and storages."		1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	252	252	703	703	111	111	265	265	0	0	0	0	0	0	0	0	968	968	363	363	https://workflowhub.eu/workflows/789?version=1		True	False
nfdi4earth_os4a_importer	nfdi4earth_os4a	auto	A data source tool for downloading datasets via NFDI4Earth's OneStop4All search user interface.	2025-09-23	https://onestop4all.nfdi4earth.de/	1.2			To update	Ecology					ecology	https://git.rwth-aachen.de/nfdi4earth/onestop4all/onestop4all-implementation/-/tree/develop	https://github.com/galaxyecology/tools-ecology/tree/master/tools/nfdi4earth_os4a_importer					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
obisindicators	obisindicators, obis_data	csv, tabular	Compute biodiveristy indicators for marine data from obis	2022-11-04	https://github.com/Marie59/obisindicators	0.0.2	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/obisindicators	https://github.com/galaxyecology/tools-ecology/tree/master/tools/obisindicators					1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	29	29	399	399	15	15	25	25	0	0	0	0	0	0	0	0	424	424	44	44	https://usegalaxy.eu/published/workflow?id=4f51080ffe7d57e0, https://usegalaxy.eu/published/workflow?id=9e05bd65faf58ab3, https://workflowhub.eu/workflows/1698?version=1, https://workflowhub.eu/workflows/662?version=1, https://workflowhub.eu/workflows/758?version=1	climate/earth_system, ecology/obisindicators	True	False
ocean	argo_getdata, copernicusmarine, divand_full_analysis	netcdf	Access, process, and visualise oceanographic data for the Earth System	2023-11-17	https://github.com/Marie59/FE-ft-ESG/tree/main/ocean	0.1.15	copernicusmarine		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ocean	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ocean					0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	14	189	189	0	0	0	0	0	0	0	0	0	0	0	0	189	189	14	14	https://usegalaxy.eu/published/workflow?id=26fe6b0fb6ca2892, https://usegalaxy.eu/published/workflow?id=a80f9b926ba43892, https://usegalaxy.eu/published/workflow?id=fc33ea1679e5f1b7, https://workflowhub.eu/workflows/1436?version=1, https://workflowhub.eu/workflows/1445?version=1	climate/argo_pangeo, climate/earth_system, climate/ocean-variables	True	False
ogcProcess_otb_bandmath	otb_band_math	png	Outputs a monoband image which is the result of a mathematical operation on several multi-band images.	2024-03-12	https://github.com/AquaINFRA/galaxy	1.0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/OtbBandMath	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogcProcess_otb_bandmath					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	100	100	0	0	0	0	0	0	0	0	0	0	0	0	100	100	8	8	https://usegalaxy.eu/published/workflow?id=b1fa4a3561988704, https://usegalaxy.eu/published/workflow?id=e8244d1c80ea0470		True	False
ogcProcess_otb_meanShiftSmoothing	otb_mean_shift_smoothing		This application smooths an image using the MeanShift algorithm.	2024-03-12	https://github.com/AquaINFRA/galaxy	1.0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogcProcess_otb_meanShiftSmoothing					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	57	57	0	0	0	0	0	0	0	0	0	0	0	0	57	57	4	4	https://usegalaxy.eu/published/workflow?id=e8244d1c80ea0470		True	False
pampa	pampa_communitymetrics, pampa_presabs, pampa_glmcomm, pampa_glmsp, pampa_plotglm	tabular, txt	Tools to compute and analyse biodiversity metrics	2020-06-06		0.0.2			To update	Ecology					ecology	https://github.com/ColineRoyaux/PAMPA-Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/PAMPA					0	5	5	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	4	0	50	53	1997	2045	0	0	0	0	26	26	1141	1141	1	1	1	1	3187	3139	80	77	https://usegalaxy.eu/published/workflow?id=428be4c7d1fd828f, https://usegalaxy.eu/published/workflow?id=7c45c90fffe40aca, https://usegalaxy.eu/published/workflow?id=d33ab07e4cf44f8c, https://workflowhub.eu/workflows/1696?version=1	ecology/PAMPA-toolsuite-tutorial	True	False
phi_toolkit_report	phi_toolkit_report	html, tsv	Phage host interaction toolkit report generator	2025-06-04	https://git.ufz.de/borimcor/phage-host-analysis	0.3.0	bioconductor-biostrings	2.78.0	To update	Metagenomics					ufz	https://github.com/Helmholtz-UFZ/ufz-galaxy-tools/blob/main/tools/phi-toolkit	https://github.com/Helmholtz-UFZ/galaxy-tools/tree/main/tools/phi-toolkit					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://usegalaxy.eu/published/workflow?id=c62d65832377e376		True	False
plasmidspades	plasmidspades	fasta, tabular, txt	Genome assembler for assemblying plasmid	2016-06-06		1.1	spades	4.3.0	To update	Assembly					nml		https://github.com/phac-nml/galaxy_tools/tree/master/tools/plasmidspades					0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
population_genomics_vcftoolbox	population_genomics_vcf_filtering, population_genomics_vcf_keep_remove_individuals, population_genomics_vcf_subset, population_genomics_split_vcf_by_pop	vcf, tabular	Tools to filter, manipulate, and manage VCF files for population genomics analyses using vcftools and bcftools.	2026-03-23	https://github.com/GINAMO-EBVs/ginamo-workflows/vcftoolbox	0.1.0			To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/vcftoolbox	https://github.com/galaxyecology/tools-ecology/tree/master/tools/vcftoolbox					0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://usegalaxy.eu/published/workflow?id=8f5c84fb0d286050, https://usegalaxy.eu/published/workflow?id=e5cacefc738764f9		True	False
regionalgam	regionalgam_ab_index, regionalgam_autocor_acf, regionalgam_flight_curve, regionalgam_glmmpql, regionalgam_gls_adjusted, regionalgam_gls, regionalgam_plot_trend	tabular, png, txt, rdata		2019-06-18	https://github.com/RetoSchmucki/regionalGAM	1.5	r-mgcv		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/regionalgam	https://github.com/galaxyecology/tools-ecology/tree/master/tools/regionalgam					0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	7	0	18	39	129	547	0	0	0	0	0	0	0	0	0	0	0	0	547	129	39	18	https://usegalaxy.eu/published/workflow?id=8e92a65d3307d87e, https://workflowhub.eu/workflows/1707?version=1	ecology/regionalGAM	True	False
repeatexplorer2	repeatexplorer_clustering	html	Tool for annotation of repeats from unassembled shotgun reads.	2023-11-01	https://github.com/repeatexplorer/repex_tarean	2.3.8			To update	Genome annotation					gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/repeatexplorer2	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/repeatexplorer2					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	83	369	369	0	0	0	0	0	0	0	0	0	0	0	0	369	369	83	83			True	False
retrieve_bold	retrieve_bold	txt	Search a list of sequences in BOLD (Barcode of Life Data System) from specified taxa list and markers	2024-06-21	https://anaconda.org/conda-forge/r-bold	1.3.0	r-base		To update	Ecology					ecology	https://github.com/wpearman1996/MARES_database_pipeline/tree/master	https://github.com/galaxyecology/tools-ecology/tree/master/tools/retrieve_bold					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	15	15	0	0	0	0	0	0	0	0	0	0	0	0	15	15	8	8			True	False
sample_seqs	sample_seqs		Sub-sample sequences files (e.g. to reduce coverage)	2014-02-18	https://github.com/peterjc/pico_galaxy/tree/master/tools/sample_seqs	0.2.6	biopython	1.70	To update	Assembly, Fasta Manipulation, Fastq Manipulation, Sequence Analysis					peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/sample_seqs	https://github.com/peterjc/pico_galaxy/tree/master/tools/sample_seqs					1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	376	457	3760	4585	274	274	2029	2029	54	54	2601	2601	9	9	113	113	9328	8503	794	713		transcriptomics/mirna-target-finder	True	False
samtools_depad	samtools_depad	bam	Re-align a SAM/BAM file with a padded reference (using samtools depad)	2014-04-14	http://www.htslib.org/	0.0.5	samtools	1.23.1	To update	Assembly, SAM, Sequence Analysis					peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depad	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depad					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
