Title	Year	Journal	Targeted organisms	Technical target	Methods	Topics
Analysis of sex differences in dietary copper-fructose interaction-induced alterations of gut microbial activity in relation to hepatic steatosis	2021	Biology of Sex Differences	Microbiome	Interactome	Metabarcoding, (Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
metaGEM: reconstruction of genome scale metabolic models directly from metagenomes	2021	Nucleic Acids Research	Bacteria, Microbiome, Pathogen	Community (taxonomy) profiling, MAGs	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Interaction of preimplantation factor with the global bovine endometrial transcriptome	2020	PLoS ONE	Pathogen	Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Dietary DNA metabarcoding reveals seasonal trophic changes among three syntopic freshwater trout species	2020	Freshwater Biology			Metabarcoding	Ecosystem Dynamics & Biodiversity
Recovery of gut microbiota in mice exposed to tetracycline hydrochloride and their correlation with host metabolism	2020	Ecotoxicology	Microbiome			Health & Disease
Initial oil concentration affects hydrocarbon biodegradation rates and bacterial community composition in seawater.	2020	Marine pollution bulletin	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
CRISPR-Cas9 gene editing of hepatitis B virus in chronically infected humanized mice	2020	Molecular Therapy. Methods & Clinical Development	Virus			Health & Disease
Stronger impacts of long-term relative to short-term exposure to carbon nanomaterials on soil bacterial communities.	2020	Journal of hazardous materials	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Biofilm and microbiome response of attached growth nitrification systems across incremental decreases to low temperatures	2020	Journal of water process engineering	Microbiome			Ecosystem Dynamics & Biodiversity
Nitrifying Moving Bed Biofilm Reactors at Low Temperatures and Cold Shock Conditions: A Kinetic, Biofilm and Microbiome Study	2020		Microbiome			Ecosystem Dynamics & Biodiversity
Differential Gut Microbiota and Fecal Metabolites Related With the Clinical Subtypes of Myasthenia Gravis	2020	Frontiers in Microbiology	Microbiome	Community (taxonomy) profiling, Gene identification / Biomarker	Metabarcoding, (Meta)proteomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Clinical bioinformatics for microbial genomics and metagenomics: an ESCMID Postgraduate Technical Workshop.	2020	Microbes and infection			(Meta)genomics, Metagenomics	Health & Disease
Characterization of Highly Mucus-Adherent Non-GMO Derivatives of Lacticaseibacillus rhamnosus GG	2020	Frontiers in Bioengineering and Biotechnology	Bacteria, Microbiome	Functional analysis, SNP		Ecosystem Dynamics & Biodiversity, Health & Disease
Actinobacteria from Antarctica as a source for anticancer discovery	2020	Scientific Reports	Bacteria	Isolate, Community (taxonomy) profiling	Metabarcoding, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Altered gut microbiota correlate with different immune responses to HAART in HIV-infected individuals	2020	BMC Microbiology	Bacteria, Microbiome	Gene identification / Biomarker	(Meta)genomics, Metagenomics	Health & Disease
Insights from Population Genomics to Enhance and Sustain Biological Control of Insect Pests	2020	Insects	Bacteria, Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Overexpression of three P450 genes is responsible for resistance to novel pyrimidine amines in Magnaporthe oryzae.	2020	Pest management science	Pathogen	Isolate, AMR		Health & Disease
Sex Differences in Dietary Copper-Fructose Interaction-Induced Alterations of Gut Microbial Activity are Not Correlated to Hepatic Steatosis	2020		Microbiome	Interactome	Metabarcoding, (Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Global molecular diversity of RSV – the “INFORM RSV” study	2020	BMC Infectious Diseases	Virus	Isolate, Community (taxonomy) profiling, Functional analysis, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Genetic and Virulence Profiles of Enteroaggregative Escherichia coli (EAEC) Isolated From Deployed Military Personnel (DMP) With Travelers' Diarrhea	2020	Frontiers in Cellular and Infection Microbiology	Bacteria	Isolate	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Wing morphology predicts individual niche specialization in Pteronotus mesoamericanus (Mammalia: Chiroptera)	2020	PLoS ONE		Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
Effect of vegetation on soil bacteria and their potential functions for ecological restoration in the Hulun Buir Sandy Land, China	2020	Journal of Arid Land	Bacteria	Functional analysis		Ecosystem Dynamics & Biodiversity
Rhizosphere microbiome: Engineering bacterial competitiveness for enhancing crop production	2020	Journal of Advanced Research	Bacteria, Microbiome			Ecosystem Dynamics & Biodiversity
SQMtools: automated processing and visual analysis of ’omics data with R and anvi’o	2020	BMC Bioinformatics	Microbiome	Community (taxonomy) profiling, Functional analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Pathogenomes of Atypical Non-shigatoxigenic Escherichia coli NSF/SF O157:H7/NM: Comprehensive Phylogenomic Analysis Using Closed Genomes	2020	Frontiers in Microbiology	Bacteria, Virus, Pathogen	Isolate	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The invasive Asian bush mosquito Aedes japonicus found in the Netherlands can experimentally transmit Zika virus and Usutu virus	2020	PLoS Neglected Tropical Diseases	Virus	MAGs		Ecosystem Dynamics & Biodiversity, Health & Disease
Integrative analysis of gut microbiome and metabolites revealed novel mechanisms of intestinal Salmonella carriage in chicken	2020	Scientific Reports	Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome	Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Characterization of human respiratory syncytial virus (RSV) isolated from HIV‐exposed‐uninfected and HIV‐unexposed infants in South Africa during 2015‐2017	2020	Influenza and Other Respiratory Viruses	Virus	Isolate		Health & Disease
Prediction and analysis of Metagenomic operons via MetaRon: a Pipeline for Prediction of Metagenomic OpeRons	2020		Bacteria	Isolate, Functional analysis, Interactome	(Meta)genomics, Metagenomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
No more business as usual: Agile and effective responses to emerging pathogen threats require open data and open analytics	2020	PLoS Pathogens	Virus, Microbiome, Pathogen	Community (taxonomy) profiling	(Meta)genomics	Health & Disease
Temporal shotgun metagenomics of an Ecuadorian coffee fermentation process highlights the predominance of lactic acid bacteria	2020		Bacteria		(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Microbial community structure reveals instability of nutritional symbiosis during the evolutionary radiation of Amblyomma ticks	2020	Molecular Ecology	Bacteria, Eukaryote, Microbiome	Community (taxonomy) profiling, Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease
Cancer cell-intrinsic function of CD177 in attenuating β-Catenin signaling	2020	Oncogene	Pathogen	Functional analysis		Health & Disease
Discovery of Bat Coronaviruses through Surveillance and Probe Capture-Based Next-Generation Sequencing	2020	mSphere	Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Automated Isoform Diversity Detector (AIDD): a pipeline for investigating transcriptome diversity of RNA-seq data	2020	BMC Bioinformatics	Virus	Community (taxonomy) profiling, Variant	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Evaluation of fatty acid derivatives in the remediation of aged PAH-contaminated soil and microbial community and degradation gene response.	2020	Chemosphere	Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Assessment of peritoneal microbial features and tumor marker levels as potential diagnostic tools for ovarian cancer	2020	PLoS ONE	Bacteria, Archaea, Pathogen		Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Microbial Diversity in High-Temperature Heavy Oil Reservoirs	2020	Geomicrobiology Journal	Bacteria, Archaea, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
Fungal and Bacterial Communities Exhibit Consistent Responses to Reversal of Soil Acidification and Phosphorus Limitation over Time	2019	Microorganisms	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome		Ecosystem Dynamics & Biodiversity
Comparative Analysis of Strategies for De Novo Transcriptome Assembly in Prokaryotes: Streptomyces clavuligerus as a Case Study	2019	High-Throughput	Bacteria, Eukaryote	MAGs, Annotation, Comparative analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
The barley stripe mosaic virus expression system reveals the wheat C2H2 zinc finger protein TaZFP1B as a key regulator of drought tolerance	2019	BMC Plant Biology	Virus	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
Complementary DNA/RNA-Based Profiling: Characterization of Corrosive Microbial Communities and Their Functional Profiles in an Oil Production Facility	2019	Frontiers in Microbiology	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Comparative analysis	Metabarcoding	Ecosystem Dynamics & Biodiversity
Genetic stability of a Newcastle disease virus vectored infectious laryngotracheitis virus vaccine after serial passages in chicken embryos.	2019	Vaccine	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
Multi-strain Tn-Seq reveals common daptomycin resistance determinants in Staphylococcus aureus	2019	PLoS Pathogens	Bacteria	Isolate, Functional analysis, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Gene-based evidence for burden of rare pathogenic variants in pharmacogenes and oncogens of Czech breast cancer patients	2019	2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)	Pathogen	Functional analysis, Variant		Health & Disease
Resolution by deep sequencing of a dual hepatitis E virus infection transmitted via blood components.	2019	The Journal of general virology	Virus		(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Differential basal expression of immune genes confers Crassostrea gigas resistance to Pacific oyster mortality syndrome	2019	BMC Genomics		Functional analysis, AMR, Comparative analysis	(Meta)transcriptomics	Health & Disease
Characterization of Core Microbiomes and Functional Profiles of Mesophilic Anaerobic Digesters Fed With Chlorella vulgaris Green Microalgae and Maize Silage	2019	Frontiers in Energy Research	Microbiome	Community (taxonomy) profiling, Functional analysis	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
A Novel Totivirus Naturally Occurring in Two Different Fungal Genera	2019	Frontiers in Microbiology	Virus	Isolate, Community (taxonomy) profiling	(Meta)genomics	
Updated unified phylogenetic classification system and revised nomenclature for Newcastle disease virus	2019	Infection, Genetics and Evolution	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
Impacts of environmental complexity on respiratory and gut microbiome community structure and diversity in growing pigs	2019	Scientific Reports	Bacteria, Microbiome	Community (taxonomy) profiling, Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease
Natural Microbial Communities Can Be Manipulated by Artificially Constructed Biofilms	2019	Advanced Science	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
A High-Resolution View of Adaptive Event Dynamics in a Plasmid	2019	Genome Biology and Evolution	Bacteria	AMR, Variant	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Metabarcoding-based dietary analysis of hen harrier (Circus cyaneus) in Great Britain using buccal swabs from chicks	2019	Conservation Genetics			Metabarcoding	Ecosystem Dynamics & Biodiversity
Subgenomic flavivirus RNA binds the mosquito DEAD/H-box helicase ME31B and determines Zika virus transmission by Aedes aegypti	2019	Proceedings of the National Academy of Sciences	Virus	Functional analysis	(Meta)genomics, (Meta)proteomics	Health & Disease
Gene Delivery to Nonhuman Primate Preimplantation Embryos Using Recombinant Adeno‐Associated Virus	2019	Advanced Science	Virus	Functional analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Next generation sequencing and proteomics in plant virology: how is Colombia doing?	2019	Acta Biológica Colombiana	Virus	Interactome, AMR	(Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Analysis of the bacterial communities in ancient human bones and burial soil samples: Tracing the impact of environmental bacteria	2019	Journal of Archaeological Science	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Soil bacterial community dynamics following surfactant addition and bioaugmentation in pyrene-contaminated soils.	2019	Chemosphere	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Single‐cell technologies in reproductive immunology	2019	American Journal of Reproductive Immunology	Microbiome, Pathogen	Community (taxonomy) profiling	(Meta)transcriptomics	Health & Disease
Loss of RNA Chaperone Hfq Unveils a Toxic Pathway in Pseudomonas aeruginosa	2019	Journal of Bacteriology	Bacteria, Pathogen	AMR		Health & Disease
Specificity of protein–DNA interactions in hypersaline environment: structural studies on complexes of Halobacterium salinarum oxidative stress-dependent protein hsRosR	2019	Nucleic Acids Research	Bacteria	Interactome		Ecosystem Dynamics & Biodiversity
A herpesvirus transactivator and cellular POU proteins extensively regulate DNA binding of the host Notch signaling protein RBP-Jκ to the virus genome	2019	The Journal of Biological Chemistry	Virus	Functional analysis	(Meta)genomics	Health & Disease
Oropouche virus cases identified in Ecuador using an optimised qRT-PCR informed by metagenomic sequencing	2019	PLoS Neglected Tropical Diseases	Virus, Pathogen	Isolate	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Surface sterilization methods impact measures of internal microbial diversity in ticks	2019	Parasites & Vectors	Bacteria, Microbiome, Pathogen	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
ANASTASIA: An Automated Metagenomic Analysis Pipeline for Novel Enzyme Discovery Exploiting Next Generation Sequencing Data	2019	Frontiers in Genetics		Functional analysis, Annotation	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Comparative Tn-Seq reveals common daptomycin resistance determinants in Staphylococcus aureus despite strain-dependent differences in essentiality of shared cell envelope genes	2019	bioRxiv	Bacteria	Isolate, Functional analysis, AMR, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Pathogenicity and transmission of virulent Newcastle disease virus from the 2018-2019 California outbreak and related viruses in young and adult chickens.	2019	Virology	Virus, Pathogen			Health & Disease
Soil microbiome: a key player for conservation of soil health under changing climate	2019	Biodiversity and Conservation	Microbiome			Ecosystem Dynamics & Biodiversity, Health & Disease
Urea dynamics during Lake Taihu cyanobacterial blooms in China.	2019	Harmful algae	Bacteria			Ecosystem Dynamics & Biodiversity
Next-generation sequencing-guided identification and reconstruction of antibody CDR combinations from phage selection outputs	2019	Nucleic Acids Research	Virus		Metabarcoding	
N2O and NO emission from a biological aerated filter treating coking wastewater: Main source and microbial community	2019	Journal of Cleaner Production	Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Mosquito Small RNA Responses to West Nile and Insect-Specific Virus Infections in Aedes and Culex Mosquito Cells	2019	Viruses	Virus	Community (taxonomy) profiling, MAGs		Ecosystem Dynamics & Biodiversity, Health & Disease
Use of high throughput amplicon sequencing and ethidium monoazide dye to track microbiota changes in an equol-producing menopausal woman receiving a long-term isoflavones treatment	2019	AIMS Microbiology	Bacteria, Microbiome	Isolate, Community (taxonomy) profiling, Comparative analysis	Metabarcoding, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Changes in Bacterioplankton Communities Resulting From Direct and Indirect Interactions With Trace Metal Gradients in an Urbanized Marine Coastal Area	2019	Frontiers in Microbiology	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity
Microcapillary sampling of Baltic Sea copepod gut microbiomes indicates high variability among individuals and the potential for methane production	2019	FEMS Microbiology Ecology	Bacteria, Archaea, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
Integrating Bacterial ChIP‐seq and RNA‐seq Data With SnakeChunks	2019	Current Protocols in Bioinformatics	Bacteria			
SraL sRNA interaction regulates the terminator by preventing premature transcription termination of rho mRNA	2019	Proceedings of the National Academy of Sciences	Bacteria	Functional analysis, Interactome	(Meta)genomics	
Queuine links translational control in eukaryotes to a micronutrient from bacteria	2019	Nucleic Acids Research	Bacteria, Eukaryote	Functional analysis	(Meta)genomics	
Predictive functional profiles using metagenomic 16S rRNA data: a novel approach to understanding the microbial ecology of aquaculture systems	2019	Reviews in Aquaculture	Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding, (Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Altered DNA Methylation in the Developing Brains of Rats Genetically Prone to High versus Low Anxiety	2019	The Journal of Neuroscience	Pathogen	Functional analysis	(Meta)genomics	Health & Disease
Functional screening for triclosan resistance in a wastewater metagenome and isolates of Escherichia coli and Enterococcus spp. from a large Canadian healthcare region	2019	PLoS ONE	Microbiome	Isolate, Functional analysis, AMR	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
p.E95K mutation in Indian hedgehog causing brachydactyly type A1 impairs IHH/Gli1 downstream transcriptional regulation	2019	BMC Genetics	Pathogen	Functional analysis, Interactome	(Meta)genomics	Health & Disease
Dysbiosis of the Gut Microbiota on the Inflammatory Background due to Lack of Suppressor of Cytokine Signalling-1 in Mice	2019	Inflammatory Intestinal Diseases	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Exploring the Human Microbiome: The Potential Future Role of Next-Generation Sequencing in Disease Diagnosis and Treatment	2019	Frontiers in Immunology	Microbiome, Pathogen	Community (taxonomy) profiling, Functional analysis, Interactome	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Comparative transcriptomic analysis of bovine papillomatosis	2018	BMC Genomics	Virus	Comparative analysis	(Meta)transcriptomics	Health & Disease
Developing reproducible bioinformatics analysis workflows for heterogeneous computing environments to support African genomics	2018	BMC Bioinformatics	Microbiome	Community (taxonomy) profiling, Variant	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
NGOMICS-WF, a Bioinformatic Workflow Tool for Batch Omics Data Analysis	2018	bioRxiv			Metabarcoding, (Meta)genomics, Metagenomics, (Meta)transcriptomics, Metatranscriptomics	
Obesity-associated inflammation promotes angiogenesis and breast cancer via angiopoietin-like 4	2018	Oncogene	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
SyNDI: synchronous network data integration framework	2018	BMC Bioinformatics	Bacteria	Functional analysis, Interactome	Metabolomics	Health & Disease
Intestinal Microbiome in Irritable Bowel Syndrome before and after Gut-Directed Hypnotherapy	2018	International Journal of Molecular Sciences	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Separation and characterization of human microbiomes by metaproteomics	2018	TrAC Trends in Analytical Chemistry	Microbiome		(Meta)proteomics, Metaproteomics	
Quasispecies Diversity Is a Major Risk Factor for Vertical Hepatitis C Virus Transmission	2018	The Journal of Infectious Diseases	Virus, Pathogen	Community (taxonomy) profiling, Variant		Ecosystem Dynamics & Biodiversity, Health & Disease
Immune-suppression by OsHV-1 viral infection causes fatal bacteraemia in Pacific oysters	2018	Nature Communications	Bacteria, Virus	Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease
Ancient DNA reveals the origins, colonization histories, and evolutionary pathways of two recently extinct species of giant scops owl from Mauritius and Rodrigues Islands (Mascarene Islands, south‐western Indian Ocean)	2018	Journal of Biogeography		Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Monitoring of microbial dynamics in a drinking water distribution system using the culture-free, user-friendly, MYcrobiota platform	2018	Scientific Reports	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
A high resolution view of adaptive events	2018	bioRxiv	Bacteria	Community (taxonomy) profiling, Variant		Ecosystem Dynamics & Biodiversity
DNA metabarcoding reveals changes in the contents of carnivorous plants along an elevation gradient	2018	Molecular Ecology	Microbiome	Isolate, Community (taxonomy) profiling, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity
Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses	2018	Database: The Journal of Biological Databases and Curation	Bacteria	AMR, Comparative analysis	(Meta)genomics	Health & Disease
Single Nucleotide Polymorphism Analysis Indicates Genetic Distinction and Reduced Diversity of Swine-Associated Methicillin Resistant Staphylococcus aureus (MRSA) ST5 Isolates Compared to Clinical MRSA ST5 Isolates	2018	Frontiers in Microbiology	Pathogen	Isolate, Community (taxonomy) profiling, AMR, SNP	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The transcriptome of the lone star tick, Amblyomma americanum, reveals molecular changes in response to infection with the pathogen, Ehrlichia chaffeensis.	2018	Journal of Asia-Pacific entomology	Pathogen		(Meta)transcriptomics	Health & Disease
SuperPhy - A Pilot Resource for Integrated Phylogenetic and Epidemiological Analysis of Pathogens	2018		Bacteria, Pathogen	Isolate, AMR, SNP	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Myoviridae phage PDX kills enteroaggregative Escherichia coli without human microbiome dysbiosis	2018	Journal of Medical Microbiology	Bacteria, Virus, Microbiome, Pathogen	Isolate, Community (taxonomy) profiling, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Identification of Bisphenol A-Assimilating Microorganisms in Mixed Microbial Communities Using 13C-DNA Stable Isotope Probing.	2018	Environmental science & technology	Bacteria, Microbiome	Community (taxonomy) profiling	Metabolomics	Ecosystem Dynamics & Biodiversity
Spatiotemporal and demographic variation in the diet of New Zealand lesser short‐tailed bats (Mystacina tuberculata)	2018	Ecology and Evolution		Community (taxonomy) profiling, Interactome		Ecosystem Dynamics & Biodiversity
Expression of Adhesive Pili and the Collagen-Binding Adhesin Ace Is Activated by ArgR Family Transcription Factors in Enterococcus faecalis	2018	Journal of Bacteriology	Bacteria, Pathogen	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Stream acidification and reduced aquatic prey availability are associated with dietary shifts in an obligate riparian Neotropical migratory songbird	2018	PeerJ			Metabarcoding	Ecosystem Dynamics & Biodiversity
Electron acceptors for anaerobic oxidation of methane drive microbial community structure and diversity in mud volcanoes	2018	Environmental Microbiology	Bacteria, Archaea, Microbiome	Community (taxonomy) profiling, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity
Rice Galaxy: an open resource for plant science	2018	GigaScience	Bacteria, Microbiome, Pathogen	Community (taxonomy) profiling, Interactome, SNP, Annotation, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Assessing the impact of taxon resolution on network structure, with implication for comparative ecology	2018	bioRxiv	Microbiome	Community (taxonomy) profiling, Interactome, Comparative analysis	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Understanding trivial challenges of microbial genomics: An assembly example	2018	bioRxiv	Bacteria	MAGs	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Adaptations to marine versus terrestrial low temperature environments as revealed by comparative genomic analyses of the genus Psychrobacter	2018	FEMS Microbiology Ecology	Bacteria	Isolate, Community (taxonomy) profiling, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Rapidly moving new bacteria to model-organism status.	2018	Current opinion in biotechnology	Bacteria			
Shift in the microbial community composition of surface water and sediment along an urban river.	2018	The Science of the total environment	Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Next-generation Sequence-analysis Toolkit (NeST): A standardized bioinformatics framework for analyzing Single Nucleotide Polymorphisms in next-generation sequencing data	2018	bioRxiv		Isolate, Functional analysis, AMR, SNP, Variant	Metabarcoding	Health & Disease
ASaiM: a Galaxy-based framework to analyze microbiota data	2018	GigaScience	Microbiome	Community (taxonomy) profiling	Metabarcoding, (Meta)genomics, Metagenomics, (Meta)transcriptomics, Metatranscriptomics	Ecosystem Dynamics & Biodiversity
The helicase Ded1p controls use of near-cognate translation initiation codons in 5′UTRs	2018	Nature	Virus		(Meta)transcriptomics	
The Effect of Early Limited Formula on Breastfeeding, Readmission, and Intestinal Microbiota: A Randomized Clinical Trial	2018	The Journal of Pediatrics	Microbiome			Health & Disease
Identification of Hub Genes and Pathways in Zika Virus Infection Using RNA-Seq Data: A Network-Based Computational Approach	2018	Viral Immunology	Virus			Health & Disease
Flexible metagenome analysis using the MGX framework	2018	Microbiome	Microbiome	Community (taxonomy) profiling, Functional analysis	(Meta)genomics, Metagenomics	
FROGS: Find, Rapidly, OTUs with Galaxy Solution	2018	Bioinformatics		Community (taxonomy) profiling		
DNA metabarcoding of nestling feces reveals provisioning of aquatic prey and resource partitioning among Neotropical migratory songbirds in a riparian habitat	2018	Oecologia			Metabarcoding	Ecosystem Dynamics & Biodiversity
Metabolomics of tomato xylem sap during bacterial wilt reveals Ralstonia solanacearum produces abundant putrescine, a metabolite that accelerates wilt disease	2018	Environmental Microbiology	Bacteria		Metabolomics	Health & Disease
Intraspecies variation in a widely distributed tree species regulates the responses of soil microbiome to different temperature regimes	2018	Environmental Microbiology Reports	Microbiome			Ecosystem Dynamics & Biodiversity
Development and evaluation of a culture-free microbiota profiling platform (MYcrobiota) for clinical diagnostics	2018	European Journal of Clinical Microbiology & Infectious Diseases	Bacteria, Microbiome		Metabarcoding	Health & Disease
Next-Generation Sequencing Analysis of the Human TCRγδ+ T-Cell Repertoire Reveals Shifts in Vγ- and Vδ-Usage in Memory Populations upon Aging	2018	Frontiers in Immunology	Bacteria, Virus	Community (taxonomy) profiling, Variant		Ecosystem Dynamics & Biodiversity, Health & Disease
Genome-wide mutant profiling predicts the mechanism of a Lipid II binding antibiotic	2018	Nature chemical biology	Bacteria	Functional analysis, AMR	(Meta)genomics	Health & Disease
Introducing DNA-based methods to compare fungal microbiota and concentrations in indoor, outdoor, and personal air	2018	Aerobiologia	Microbiome			
Streptococcal Lancefield polysaccharides are critical cell wall determinants for human Group IIA secreted phospholipase A2 to exert its bactericidal effects	2018	PLoS Pathogens	Bacteria, Pathogen	Functional analysis, AMR		Health & Disease
Adeno-associated Virus Genome Population Sequencing Achieves Full Vector Genome Resolution and Reveals Human-Vector Chimeras	2018	Molecular Therapy. Methods & Clinical Development	Virus		(Meta)genomics	
Western Indian Rural Gut Microbial Diversity in Extreme Prakriti Endo-Phenotypes Reveals Signature Microbes	2018	Frontiers in Microbiology	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Comparison study of the volatile profiles and microbial communities of Wuyi Qu and Gutian Qu, two major types of traditional fermentation starters of Hong Qu glutinous rice wine.	2018	Food microbiology	Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Streamlined ex vivo and in vivo genome editing in mouse embryos using recombinant adeno-associated viruses	2018	Nature Communications	Virus		(Meta)genomics	Ecosystem Dynamics & Biodiversity
A-GAME: improving the assembly of pooled functional metagenomics sequence data	2018	BMC Genomics	Microbiome	Community (taxonomy) profiling, Functional analysis, MAGs, Annotation	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Scaling up: A guide to high‐throughput genomic approaches for biodiversity analysis	2018	Molecular Ecology	Microbiome	Community (taxonomy) profiling	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity
Higher sequence diversity in the vaginal tract than in blood at early HIV-1 infection	2018	PLoS Pathogens	Virus	Isolate, Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity, Health & Disease
Formate hydrogenlyase and formate secretion ameliorate H2 inhibition in the hyperthermophilic archaeon Thermococcus paralvinellae	2017	Environmental Microbiology	Archaea			Ecosystem Dynamics & Biodiversity
SOAPnuke: a MapReduce acceleration-supported software for integrated quality control and preprocessing of high-throughput sequencing data	2017	GigaScience		Functional analysis	(Meta)genomics, Metagenomics	
The complete genome sequence of the rumen bacterium Butyrivibrio hungatei MB2003	2017	Standards in Genomic Sciences	Bacteria	Isolate	(Meta)genomics	Ecosystem Dynamics & Biodiversity
