Galaxy wrapper id,Total tool usage (usegalaxy.eu),No. of tool users (2022-2023) (usegalaxy.eu),Galaxy tool ids,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version,https://usegalaxy.org,https://usegalaxy.org.au,https://usegalaxy.eu,Reviewed,To keep,EDAM operation low classes
bandage,44390.0,2016.0,"bandage_image, bandage_info",Bandage - A Bioinformatics Application for Navigating De novo Assembly Graphs Easily,bandage,Bandage,"GUI program that allows users to interact with the assembly graphs made by de novo assemblers such as Velvet, SPAdes, MEGAHIT and others. It visualises assembly graphs, with connections, using graph layout algorithms.",Sequence assembly visualisation,"Genomics, Sequence assembly",Up-to-date,https://github.com/rrwick/Bandage,Visualization,bandage,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bandage,2022.09,bandage_ng,2022.09,(2/2),(2/2),(2/2),True,True,Sequence assembly visualisation
bayescan,64.0,8.0,BayeScan,Detecting natural selection from population-based genetic data,bayescan,BayeScan,"BAYEsian genome SCAN for outliers, aims at identifying candidate loci under natural selection from genetic data, using differences in allele frequencies between populations. It is based on the multinomial-Dirichlet model.",Statistical inference,"Genetics, Evolutionary biology, Statistics and probability, DNA polymorphism",To update,http://cmpg.unibe.ch/software/BayeScan/index.html,Sequence Analysis,bayescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bayescan/,2.1,bayescan,2.0.1,(0/1),(0/1),(1/1),True,True,Statistical inference
binning_refiner,81.0,21.0,bin_refiner,"Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.",binning_refiner,Binning_refiner,Improving genome bins through the combination of different binning programs,"Read binning, Sequence clustering",Metagenomics,Up-to-date,https://github.com/songweizhi/Binning_refiner,Metagenomics,binning_refiner,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/binning_refiner/,1.4.3,binning_refiner,1.4.3,(0/1),(0/1),(1/1),True,True,"Read binning, Sequence clustering"
biom_format,,,"biom_add_metadata, biom_convert, biom_from_uc, biom_normalize_table, biom_subset_table, biom_summarize_table",The biom-format package provides a command line interface and Python API for working with BIOM files.,,,,,,To update,https://github.com/biocore/biom-format,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/biom_format,2.1.15,biom-format,2.1.7,(2/6),(2/6),(1/6),True,True,
bracken,18351.0,326.0,est_abundance,Bayesian Reestimation of Abundance with KrakEN,bracken,Bracken,Statistical method that computes the abundance of species in DNA sequences from a metagenomics sample.,Statistical calculation,"Metagenomics, Microbial ecology",Up-to-date,https://ccb.jhu.edu/software/bracken/,"Sequence Analysis, Metagenomics",bracken,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/bracken,2.9,bracken,2.9,(0/1),(0/1),(1/1),True,True,Statistical calculation
busco,86180.0,1804.0,busco,BUSCO assess genome and annotation completeness,busco,BUSCO,"Provides measures for quantitative assessment of genome assembly, gene set, and transcriptome completeness based on evolutionarily informed expectations of gene content from near-universal single-copy orthologs.","Sequence assembly validation, Scaffolding, Genome assembly, Transcriptome assembly","Sequence assembly, Genomics, Transcriptomics, Sequence analysis",To update,https://gitlab.com/ezlab/busco/-/releases,Sequence Analysis,busco,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/busco/,5.5.0,busco,5.6.1,(1/1),(1/1),(1/1),True,True,"Sequence assembly validation, Scaffolding, Genome assembly, Transcriptome assembly"
cat,,,"cat_add_names, cat_bins, cat_contigs, cat_prepare, cat_summarise",Contig Annotation Tool (CAT),,,,,,To update,https://github.com/dutilh/CAT,Metagenomics,contig_annotation_tool,iuc,https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/cat,5.2.3,cat,5.3,(5/5),(2/5),(5/5),True,True,
cdhit,8278.0,6.0,cd_hit,Cluster or compare biological sequence datasets,cd-hit,cd-hit,Cluster a nucleotide dataset into representative sequences.,Sequence clustering,Sequencing,Up-to-date,http://weizhongli-lab.org/cd-hit/,"Sequence Analysis, Fasta Manipulation",cd_hit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cdhit,4.8.1,cd-hit,4.8.1,(0/1),(0/1),(1/1),True,True,Sequence clustering
cemitool,98.0,9.0,cemitool,Gene co-expression network analysis tool,cemitool,CEMiTool,"It unifies the discovery and the analysis of coexpression gene modules in a fully automatic manner, while providing a user-friendly html report with high quality graphs. Our tool evaluates if modules contain genes that are over-represented by specific pathways or that are altered in a specific sample group. Additionally, CEMiTool is able to integrate transcriptomic data with interactome information, identifying the potential hubs on each network.","Enrichment analysis, Pathway or network analysis","Gene expression, Transcriptomics, Microarray experiment",To update,https://www.bioconductor.org/packages/release/bioc/html/CEMiTool.html,"Transcriptomics, RNA, Statistics",cemitool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cemitool,1.18.1,bioconductor-cemitool,1.26.0,(1/1),(0/1),(1/1),True,True,"Enrichment analysis, Pathway or network analysis"
checkm,,,"checkm_analyze, checkm_lineage_set, checkm_lineage_wf, checkm_plot, checkm_qa, checkm_taxon_set, checkm_taxonomy_wf, checkm_tetra, checkm_tree, checkm_tree_qa","Assess the quality of microbial genomes recovered from isolates, single cells, and metagenomes",checkm,CheckM,"CheckM provides a set of tools for assessing the quality of genomes recovered from isolates, single cells, or metagenomes.",Operation,"Genomics, Phylogenomics, Phylogenetics, Taxonomy, Metagenomics",To update,https://github.com/Ecogenomics/CheckM,Metagenomics,checkm,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/checkm,1.2.0,checkm-genome,1.2.2,(0/10),(0/10),(10/10),True,True,Operation
clustalw,46793.0,651.0,clustalw,ClustalW multiple sequence alignment program for DNA or proteins,"
                clustal2
            ",,,,,Up-to-date,http://www.clustal.org/clustal2/,"Phylogenetics, Sequence Analysis",clustalw,devteam,https://github.com/galaxyproject/tools-iuc/tree/master/tools/clustalw,2.1,clustalw,2.1,(1/1),(1/1),(1/1),True,True,
codeml,60901.0,29.0,codeml,Detects positive selection,,,,,,To update,http://abacus.gene.ucl.ac.uk/software/paml.html,Phylogenetics,codeml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/codeml,4.9,paml,4.10.7,(0/1),(0/1),(1/1),True,True,
cojac,,,"cooc_mutbamscan, cooc_pubmut, cooc_tabmut",co-occurrence of mutations on amplicons,cojac,COJAC,"CoOccurrence adJusted Analysis and Calling - The cojac package comprises a set of command-line tools to analyse co-occurrence of mutations on amplicons. It is useful, for example, for early detection of viral variants of concern (e.g. Alpha, Delta, Omicron) in environmental samples, and has been designed to scan for multiple SARS-CoV-2 variants in wastewater samples, as analyzed jointly by ETH Zurich, EPFL and Eawag.",,Genetic variation,Up-to-date,https://github.com/cbg-ethz/cojac,"Metagenomics, Sequence Analysis",cojac,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cojac,0.9.1,cojac,0.9.1,(2/3),(0/3),(3/3),True,True,
concoct,250.0,29.0,"concoct, concoct_coverage_table, concoct_cut_up_fasta, concoct_extract_fasta_bins, concoct_merge_cut_up_clustering",CONCOCT (Clustering cONtigs with COverage and ComposiTion) does unsupervised binning of metagenomic contigs byusing nucleotide composition - kmer frequencies - and coverage data for multiple samples. CONCOCT can accurately(up to species level) bin metagenomic contigs.,concoct,CONCOCT,"A program for unsupervised binning of metagenomic contigs by using nucleotide composition, coverage data in multiple samples and linkage data from paired end reads.","Sequence clustering, Read binning",Metagenomics,Up-to-date,https://github.com/BinPro/CONCOCT,Metagenomics,concoct,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/concoct,1.1.0,concoct,1.1.0,(0/5),(0/5),(5/5),True,True,"Sequence clustering, Read binning"
coverm,,,"coverm_contig, coverm_genome",CoverM genome and contig wrappers,coverm,CoverM,Read coverage calculator for metagenomics,Local alignment,Bioinformatics,To update,https://github.com/wwood/CoverM,Sequence Analysis,coverm,iuc,https://github.com/galaxyproject/tools-iuc/tools/coverm,0.6.1,coverm,0.7.0,(0/2),(0/2),(2/2),True,True,Local alignment
cutadapt,232004.0,5090.0,cutadapt,Flexible tool to remove adapter sequences (and quality trim) high throughput sequencing reads (fasta/fastq).,cutadapt,Cutadapt,"Find and remove adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads.",Sequence trimming,"Genomics, Probes and primers, Sequencing",Up-to-date,https://cutadapt.readthedocs.org/en/stable/,"Fasta Manipulation, Fastq Manipulation, Sequence Analysis",cutadapt,lparsons,https://github.com/galaxyproject/tools-iuc/tree/master/tools/cutadapt,4.6,cutadapt,4.6,(1/1),(1/1),(1/1),True,True,Sequence trimming
dada2,,,"dada2_assignTaxonomyAddspecies, dada2_dada, dada2_filterAndTrim, dada2_learnErrors, dada2_makeSequenceTable, dada2_mergePairs, dada2_plotComplexity, dada2_plotQualityProfile, dada2_removeBimeraDenovo, dada2_seqCounts",DADA2 wrappers,dada2,dada2,"This package infers exact sequence variants (SVs) from amplicon data, replacing the commonly used and coarser OTU clustering approach. This pipeline inputs demultiplexed fastq files, and outputs the sequence variants and their sample-wise abundances after removing substitution and chimera errors. Taxonomic classification is available via a native implementation of the RDP naive Bayesian classifier.","Variant calling, DNA barcoding","Sequencing, Genetic variation, Microbial ecology, Metagenomics",To update,https://benjjneb.github.io/dada2/index.html,Metagenomics,dada2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/dada2,,bioconductor-dada2,1.30.0,(10/10),(10/10),(10/10),True,True,"Variant calling, DNA barcoding"
das_tool,550.0,17.0,"Fasta_to_Contig2Bin, das_tool",DAS Tool for genome resolved metagenomics,dastool,dastool,"DAS Tool is an automated method that integrates the results of a flexible number of binning algorithms to calculate an optimized, non-redundant set of bins from a single assembly.",Read binning,Metagenomics,To update,https://github.com/cmks/DAS_Tool,Metagenomics,das_tool,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/das_tool,1.1.6,das_tool,1.1.7,(0/2),(0/2),(2/2),True,True,Read binning
diamond,49711.0,963.0,"bg_diamond, bg_diamond_makedb, bg_diamond_view",DIAMOND is a new alignment tool for aligning short DNA sequencing reads to a protein reference database such as NCBI-NR.,diamond,Diamond,"Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies, providing a speedup of BLAST ranging up to x20,000.",Sequence alignment analysis,"Sequence analysis, Proteins",To update,https://github.com/bbuchfink/diamond,Sequence Analysis,diamond,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/diamond,2.0.15,diamond,2.1.8,(3/3),(3/3),(3/3),True,True,Sequence alignment analysis
disco,369.0,42.0,disco,DISCO is a overlap-layout-consensus (OLC) metagenome assembler,disco,DISCO,"DISCO is software to perform structure determination of protein homo-oligomers with cyclic symmetry.DISCO computes oligomeric protein structures using geometric constraints derived from RDCs and intermolecular distance restraints such as NOEs or disulfide bonds. When a reliable subunit structure can be calculated from intramolecular restraints, DISCO guarantees that all satisfying oligomer structures will be discovered, yet can run in minutes to hours on only a single desktop-class computer.",Protein sequence analysis,Structure determination,To update,http://disco.omicsbio.org/,"Metagenomics, Assembly",disco,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/disco/,,disco,1.2,(1/1),(0/1),(1/1),True,True,Protein sequence analysis
dram,,,"dram_annotate, dram_distill, dram_merge_annotations, dram_neighborhoods, dram_strainer",DRAM for distilling microbial metabolism to automate the curation of microbiome function,,,,,,To update,https://github.com/WrightonLabCSU/DRAM,Metagenomics,dram,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/dram,1.3.5,dram,1.4.6,(0/5),(0/5),(5/5),True,True,
drep,,,"drep_compare, drep_dereplicate",dRep compares and dereplicates genome sets,drep,dRep,Fast and accurate genomic comparisons that enables improved genome recovery from metagenomes through de-replication.,Genome comparison,"Metagenomics, Genomics, Sequence analysis",Up-to-date,https://github.com/MrOlm/drep,Metagenomics,drep,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/drep,3.4.5,drep,3.4.5,(0/2),(0/2),(2/2),True,True,Genome comparison
export2graphlan,5265.0,200.0,export2graphlan,export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn,,,,,,To update,https://bitbucket.org/CibioCM/export2graphlan/overview,Metagenomics,export2graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/export2graphlan/,0.20,export2graphlan,0.22,(1/1),(1/1),(1/1),True,True,
fargene,459.0,52.0,fargene,fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr ),,,,,,Up-to-date,https://github.com/fannyhb/fargene,Sequence Analysis,fargene,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fargene,0.1,fargene,0.1,(1/1),(0/1),(1/1),True,True,
fastp,1055760.0,2803.0,fastp,Fast all-in-one preprocessing for FASTQ files,"
                fastp
            ",,,,,To update,https://github.com/OpenGene/fastp,Sequence Analysis,fastp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastp,,fastp,0.23.4,(1/1),(1/1),(1/1),True,True,
fastqe,4333.0,1266.0,fastqe,FASTQE,,,,,,To update,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,Sequence Analysis,fastqe,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqe,0.3.1+galaxy0,fastqe,0.3.1,(1/1),(1/1),(1/1),True,True,
fasttree,55434.0,379.0,fasttree,FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL,fasttree,FastTree,Infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences.,"Phylogenetic tree generation (from molecular sequences), Phylogenetic tree generation (maximum likelihood and Bayesian methods)","Phylogenetics, Sequence analysis",To update,http://www.microbesonline.org/fasttree/,Phylogenetics,fasttree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fasttree,2.1.10,fasttree,2.1.11,(1/1),(1/1),(1/1),True,True,"Phylogenetic tree generation (from molecular sequences), Phylogenetic tree generation (maximum likelihood and Bayesian methods)"
filtlong,30483.0,617.0,filtlong,Filtlong - Filtering long reads by quality,"
                filtlong
            ",,,,,Up-to-date,https://github.com/rrwick/Filtlong,"Fastq Manipulation, Sequence Analysis",filtlong,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/filtlong,0.2.1,filtlong,0.2.1,(1/1),(1/1),(1/1),True,True,
fraggenescan,1102.0,68.0,fraggenescan,Tool for finding (fragmented) genes in short read,fraggenescan,FragGeneScan,Application for finding (fragmented) genes in short reads,Gene prediction,"Genetics, Sequence analysis",To update,https://sourceforge.net/projects/fraggenescan/,Sequence Analysis,fraggenescan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/fraggenescan/,,fraggenescan,1.31,(0/1),(1/1),(1/1),True,True,Gene prediction
freyja,,,"freyja_aggregate_plot, freyja_boot, freyja_demix, freyja_variants",lineage abundances estimation,freyja,,,,,To update,https://github.com/andersen-lab/Freyja,"Metagenomics, Sequence Analysis",freyja,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/freyja,1.4.4,freyja,1.4.8,(2/4),(0/4),(4/4),True,True,
funannotate,,,"funannotate_annotate, funannotate_clean, funannotate_compare, funannotate_predict, funannotate_sort","Funannotate is a genome prediction, annotation, and comparison software package.","
                funannotate
            ",,,,,To update,https://funannotate.readthedocs.io,Genome annotation,,iuc,https://github.com/galaxyproject/tools-iuc/tree/main/tools/funannotate,1.8.15,,,(3/5),(5/5),(5/5),True,True,
glimmer,,,"glimmer_acgt_content, glimmer_build_icm, glimmer_extract, glimmer_gbk_to_orf, glimmer_glimmer_to_gff, glimmer_long_orfs, glimmer_knowledge_based, glimmer_not_knowledge_based",Glimmer makes gene predictions.,gemini,GEMINI,"GEMINI (GEnome MINIng) is a flexible framework for exploring genetic variation in the context of the wealth of genome annotations available for the human genome. By placing genetic variants, sample phenotypes and genotypes, as well as genome annotations into an integrated database framework, GEMINI provides a simple, flexible, and powerful system for exploring genetic variation for disease and population genetics.","Sequence analysis, Genetic variation analysis",Sequence analysis,To update,https://ccb.jhu.edu/software/glimmer/,Sequence Analysis,,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/glimmer,,glimmer,3.02,(0/8),(0/8),(4/8),True,True,"Sequence analysis, Genetic variation analysis"
goenrichment,5206.0,321.0,"goenrichment, goslimmer",Performs GO Enrichment analysis.,goenrichment,GOEnrichment,"GOEnrichment is a tool for performing GO enrichment analysis of gene sets, such as those obtained from RNA-seq or Microarray experiments, to help characterize them at the functional level. It is available in Galaxy Europe and as a stand-alone tool.GOEnrichment is flexible in that it allows the user to use any version of the Gene Ontology and any GO annotation file they desire. To enable the use of GO slims, it is accompanied by a sister tool GOSlimmer, which can convert annotation files from full GO to any specified GO slim.The tool features an optional graph clustering algorithm to reduce the redundancy in the set of enriched GO terms and simplify its output.It was developed by the BioData.pt / ELIXIR-PT team at the Instituto Gulbenkian de Ciência.",Gene-set enrichment analysis,Transcriptomics,Up-to-date,https://github.com/DanFaria/GOEnrichment,Genome annotation,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goenrichment,2.0.1,goenrichment,2.0.1,(2/2),(2/2),(2/2),True,True,Gene-set enrichment analysis
goseq,19167.0,1210.0,goseq,goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data,goseq,GOseq,Detect Gene Ontology and/or other user defined categories which are over/under represented in RNA-seq data.,Gene functional annotation,RNA-Seq,To update,https://bioconductor.org/packages/release/bioc/html/goseq.html,"Statistics, RNA, Micro-array Analysis",goseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/goseq,1.50.0,bioconductor-goseq,1.54.0,(1/1),(1/1),(1/1),True,True,Gene functional annotation
graphlan,5002.0,247.0,"graphlan, graphlan_annotate",GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees,,,,,,To update,https://bitbucket.org/nsegata/graphlan/overview,"Metagenomics, Graphics, Phylogenetics",graphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann2/,,graphlan,1.1.3,(2/2),(2/2),(2/2),True,True,
gtdbtk,,,gtdbtk_classify_wf,GTDB-Tk is a software tool kit for assigning objective taxonomic classifications to bacterial and archaeal genomesbased on the Genome Database Taxonomy GTDB. It is designed to work with recent advances that allow hundreds orthousands of metagenome-assembled genomes (MAGs) to be obtained directly from environmental samples. It can alsobe applied to isolate and single-cell genomes. ,,,,,,To update,https://github.com/Ecogenomics/GTDBTk,Metagenomics,gtdbtk,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/gtdbtk,2.2.2,gtdbtk,2.3.2,(0/1),(1/1),(0/1),True,True,
gubbins,3340.0,145.0,gubbins,Gubbins - bacterial recombination detection,gubbins,Gubbins,Gubbins is a tool for rapid phylogenetic analysis of large samples of recombinant bacterial whole genome sequences.,"Genotyping, Phylogenetic inference, Ancestral reconstruction","Phylogeny, Genotype and phenotype, Whole genome sequencing",To update,,Sequence Analysis,gubbins,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/gubbins,3.2.1,gubbins,3.3.1,(1/1),(1/1),(1/1),True,True,"Genotyping, Phylogenetic inference, Ancestral reconstruction"
hamronization,,,"hamronize_summarize, hamronize_tool",Convert AMR gene detection tool output to hAMRonization specification format.,,,,,,To update,https://github.com/pha4ge/hAMRonization,Sequence Analysis,hamronization,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hamronization,1.0.3,hamronization,1.1.4,(0/2),(0/2),(2/2),True,True,
hansel,,,bio_hansel,Heidelberg and Enteritidis SNP Elucidation,Biohansel,BioHansel,"BioHansel is a tool for performing high-resolution genotyping of bacterial isolates by identifying phylogenetically informative single nucleotide polymorphisms (SNPs), also known as canonical SNPs, in whole genome sequencing (WGS) data. The application uses a fast k-mer matching algorithm to map pathogen WGS data to canonical SNPs contained in hierarchically structured schemas and assigns genotypes based on the detected SNP profile.","Genotyping, SNP detection, Genome assembly","Whole genome sequencing, DNA polymorphism, Genotype and phenotype, Infectious disease, Agricultural science",Up-to-date,https://github.com/phac-nml/bio_hansel,Sequence Analysis,bio_hansel,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hansel,2.6.1,bio_hansel,2.6.1,(1/1),(0/1),(1/1),True,True,"Genotyping, SNP detection, Genome assembly"
hifiasm_meta,137.0,12.0,hifiasm_meta,A hifiasm fork for metagenome assembly using Hifi reads.,,,,,,To update,https://github.com/xfengnefx/hifiasm-meta,Metagenomics,hifiasm_meta,galaxy-australia,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hifiasm_meta,0.3.1,hifiasm_meta,hamtv0.3.1,(0/1),(1/1),(1/1),True,True,
hmmer3,21049.0,111.0,"hmmer_alimask, hmmer_hmmalign, hmmer_hmmbuild, hmmer_hmmconvert, hmmer_hmmemit, hmmer_hmmfetch, hmmer_hmmscan, hmmer_hmmsearch, hmmer_jackhmmer, hmmer_nhmmer, hmmer_nhmmscan, hmmer_phmmer","HMMER is used for searching sequence databases for homologs of proteinsequences, and for making protein sequence alignments. It implementsmethods using probabilistic models called profile hidden Markov models(profile HMMs).",hmmer3,HMMER3,"This tool is used for searching sequence databases for homologs of protein sequences, and for making protein sequence alignments. It implements methods using probabilistic models called profile hidden Markov models. The new HMMER3 project, HMMER is now as fast as BLAST for protein search.","Formatting, Multiple sequence alignment, Sequence profile generation, Format validation, Conversion, Sequence generation, Data retrieval, Statistical calculation, Database search, Formatting, Database search, Database search, Probabilistic sequence generation, Statistical calculation, Statistical calculation, Sequence database search, Formatting, Sequence database search, Database search, Sequence database search","Sequence analysis, Sequence sites, features and motifs, Gene and protein families",To update,http://hmmer.org/,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hmmer3,3.3.2,hmmer,3.4,(0/12),(12/12),(12/12),True,True,"Formatting, Multiple sequence alignment, Sequence profile generation, Format validation, Conversion, Sequence generation, Data retrieval, Statistical calculation, Database search, Formatting, Database search, Database search, Probabilistic sequence generation, Statistical calculation, Statistical calculation, Sequence database search, Formatting, Sequence database search, Database search, Sequence database search"
humann,5856.0,247.0,"humann, humann_associate, humann_barplot, humann_join_tables, humann_reduce_table, humann_regroup_table, humann_rename_table, humann_renorm_table, humann_rna_dna_norm, humann_split_stratified_table, humann_split_table, humann_strain_profiler, humann_unpack_pathways",HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution,humann,humann,"HUMAnN is a pipeline for efficiently and accurately profiling the presence/absence and abundance of microbial pathways in a community from metagenomic or metatranscriptomic sequencing data (typically millions of short DNA/RNA reads). This process, referred to as functional profiling, aims to describe the metabolic potential of a microbial community and its members. More generally, functional profiling answers the question “What are the microbes in my community-of-interest doing (or are capable of doing)?”","Species frequency estimation, Taxonomic classification, Phylogenetic analysis","Metagenomics, Phylogenomics",Up-to-date,http://huttenhower.sph.harvard.edu/humann,Metagenomics,humann,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/humann,3.8,humann,3.8,(6/13),(6/13),(13/13),True,True,"Species frequency estimation, Taxonomic classification, Phylogenetic analysis"
hyphy,,,"hyphy_absrel, hyphy_annotate, hyphy_bgm, hyphy_busted, hyphy_cfel, hyphy_conv, hyphy_fade, hyphy_fel, hyphy_fubar, hyphy_gard, hyphy_meme, hyphy_prime, hyphy_relax, hyphy_slac, hyphy_sm19, hyphy_strike_ambigs, hyphy_summary",Hypothesis Testing using Phylogenies,HyPhy,HyPhy,"Software package for the analysis of genetic sequences using techniques in phylogenetics, molecular evolution, and machine learning.",Statistical calculation,"Phylogeny, Small molecules, Molecular interactions, pathways and networks",To update,http://www.hyphy.org,Phylogenetics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hyphy/,2.5.47,hyphy,2.5.59,(17/17),(2/17),(17/17),True,True,Statistical calculation
hypo,354.0,39.0,hypo,Super Fast & Accurate Polisher for Long Read Genome Assemblies,HyPo,HyPo,"HyPo, a Hybrid Polisher, utilizes short as well as long reads within a single run to polish a long reads assembly of small and large genomes.","Optimisation and refinement, Genome assembly","Sequence assembly, Genomics",Up-to-date,https://github.com/kensung-lab/hypo,Assembly,hypo,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/hypo,1.0.3,hypo,1.0.3,(0/1),(0/1),(1/1),True,True,"Optimisation and refinement, Genome assembly"
icescreen,,,icescreen,ICEscreen identifies Integrative Conjugative Elements (ICEs) and Integrative Mobilizable Elements (IMEs) in Bacillota genomes.,,,,,,Up-to-date,https://icescreen.migale.inrae.fr/,Genome annotation,icescreen,iuc,https://forgemia.inra.fr/ices_imes_analysis/icescreen,1.3.1,icescreen,1.3.1,(0/1),(0/1),(0/1),True,True,
idba_ud,721.0,43.0,"idba_hybrid, idba_tran, idba_ud",Wrappers for the idba assembler variants.,idba,IDBA,"A short read assembler based on iterative De Bruijn graph. It is developed under 64-bit Linux, but should be suitable for all unix-like system.",Sequence assembly,Sequence assembly,To update,https://i.cs.hku.hk/~alse/hkubrg/projects/index.html,Assembly,idba,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/idba_ud,,idba,1.1.3,(3/3),(0/3),(3/3),True,True,Sequence assembly
instrain,,,"instrain_compare, instrain_profile",InStrain is a tool for analysis of co-occurring genome populations from metagenomes,instrain,InStrain,"InStrain is a tool for analysis of co-occurring genome populations from metagenomes that allows highly accurate genome comparisons, analysis of coverage, microdiversity, and linkage, and sensitive SNP detection with gene localization and synonymous non-synonymous identification","SNP detection, Genome comparison","Mapping, Metagenomics",To update,https://instrain.readthedocs.io/en/latest/#,Metagenomics,instrain,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/instrain,1.5.3,instrain,1.8.0,(0/2),(0/2),(2/2),True,True,"SNP detection, Genome comparison"
interproscan,5294.0,554.0,interproscan,Interproscan queries the interpro database and provides annotations.,interproscan_ebi,InterProScan (EBI),Scan sequences against the InterPro protein signature databases.,"Sequence motif recognition, Protein feature detection","Gene and protein families, Sequence analysis",To update,http://www.ebi.ac.uk/Tools/pfa/iprscan5/,Sequence Analysis,interproscan,bgruening,https://github.com/galaxyproject/tools-iuc/tree/master/tools/interproscan,5.59-91.0,interproscan,5.59_91.0,(1/1),(1/1),(1/1),True,True,"Sequence motif recognition, Protein feature detection"
iqtree,21598.0,681.0,iqtree,Efficient phylogenomic software by maximum likelihood,,,,,,To update,http://www.iqtree.org/,Phylogenetics,iqtree,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/iqtree/,2.1.2,iqtree,2.2.6,(1/1),(1/1),(1/1),True,True,
ivar,,,"ivar_consensus, ivar_filtervariants, ivar_removereads, ivar_trim, ivar_variants",iVar is a computational package that contains functions broadly useful for viral amplicon-based sequencing,,,,,,Up-to-date,https://github.com/andersen-lab/ivar,Sequence Analysis,ivar,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/ivar/,1.4.2,ivar,1.4.2,(5/5),(5/5),(5/5),True,True,
jbrowse,18229.0,2346.0,"jbrowse_to_standalone, jbrowse",JBrowse Genome Browser integrated as a Galaxy Tool,jbrowse,JBrowse,"Slick, speedy genome browser with a responsive and dynamic AJAX interface for visualization of genome data. Being developed by the GMOD project as a successor to GBrowse.",Genome visualisation,Genomics,Up-to-date,https://jbrowse.org,Sequence Analysis,jbrowse,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/jbrowse,1.16.11,jbrowse,1.16.11,(2/2),(2/2),(2/2),True,True,Genome visualisation
