Title	Year	Journal
Integrative analysis of gut microbiome and metabolites revealed novel mechanisms of intestinal Salmonella carriage in chicken	2020	Scientific Reports
New Insights Into Acidithiobacillus thiooxidans Sulfur Metabolism Through Coupled Gene Expression, Solution Chemistry, Microscopy, and Spectroscopy Analyses	2020	Frontiers in Microbiology
Infrastructure for Semantic Annotation in the Genomics Domain	2020	
Interoperable RNA-Seq analysis in the cloud.	2020	Biochimica et biophysica acta. Gene regulatory mechanisms
Toward tangibles and display-rich interfaces for co-located and distributed genomics collaborations	2020	Personal and Ubiquitous Computing
Characterization of human respiratory syncytial virus (RSV) isolated from HIV‐exposed‐uninfected and HIV‐unexposed infants in South Africa during 2015‐2017	2020	Influenza and Other Respiratory Viruses
PIM: A visualization-oriented web application for monitoring and debugging of large-scale image processing studies	2020	
Light affects tissue patterning of the hypocotyl in the shade-avoidance response	2020	PLoS Genetics
A comparison of the phenolic composition of old and young tea leaves reveals a decrease in flavanols and phenolic acids and an increase in flavonols upon tea leaf maturation	2020	Journal of Food Composition and Analysis
Novel role of Tieg1 in muscle metabolism and mitochondrial oxidative capacities	2020	Acta Physiologica
Toward Reproducible Environmental Modeling for Decision Support: A Worked Example	2020	
Prediction and analysis of Metagenomic operons via MetaRon: a Pipeline for Prediction of Metagenomic OpeRons	2020	
No more business as usual: Agile and effective responses to emerging pathogen threats require open data and open analytics	2020	PLoS Pathogens
Geoweaver: Advanced Cyberinfrastructure for Managing Hybrid Geoscientific AI Workflows	2020	ISPRS Int. J. Geo Inf.
Temporal shotgun metagenomics of an Ecuadorian coffee fermentation process highlights the predominance of lactic acid bacteria	2020	
Microbial community structure reveals instability of nutritional symbiosis during the evolutionary radiation of Amblyomma ticks	2020	Molecular Ecology
Cancer cell-intrinsic function of CD177 in attenuating β-Catenin signaling	2020	Oncogene
Sequence Analysis	2020	
Prospects and challenges of multi-omics data integration in toxicology	2020	Archives of Toxicology
Abnormal expression of GABAA receptor sub-units and hypomotility upon loss of gabra1 in zebrafish	2020	bioRxiv
Discovery of Bat Coronaviruses through Surveillance and Probe Capture-Based Next-Generation Sequencing	2020	mSphere
Towards reproducible computational drug discovery	2020	Journal of Cheminformatics
Automated Isoform Diversity Detector (AIDD): a pipeline for investigating transcriptome diversity of RNA-seq data	2020	BMC Bioinformatics
Evaluation of fatty acid derivatives in the remediation of aged PAH-contaminated soil and microbial community and degradation gene response.	2020	Chemosphere
Genome‐wide identification of Listeria monocytogenes CodY‐binding sites	2020	Molecular Microbiology
Plastid-targeted forms of restriction endonucleases enhance the plastid genome rearrangement rate and trigger the reorganization of its genomic architecture.	2020	The Plant journal : for cell and molecular biology
Assessment of peritoneal microbial features and tumor marker levels as potential diagnostic tools for ovarian cancer	2020	PLoS ONE
Publishing computational research - a review of infrastructures for reproducible and transparent scholarly communication	2020	Research Integrity and Peer Review
Microbial Diversity in High-Temperature Heavy Oil Reservoirs	2020	Geomicrobiology Journal
The bioavailability of riverine dissolved organic matter in coastal marine waters of southern Texas	2019	Estuarine Coastal and Shelf Science
Efficient data management infrastructure for the integration of imaging and omics data in life science research	2019	bioRxiv
Bio-DIA: A web-based tool for data and algorithms integration	2019	bioRxiv
Fungal and Bacterial Communities Exhibit Consistent Responses to Reversal of Soil Acidification and Phosphorus Limitation over Time	2019	Microorganisms
Combinatorial action of NF-Y and TALE at embryonic enhancers defines distinct gene expression programs during zygotic genome activation in zebrafish.	2019	Developmental biology
HOX paralogs selectively convert binding of ubiquitous transcription factors into tissue-specific patterns of enhancer activation	2019	PLoS Genetics
Intégration de données multi-échelles et extraction de connaissances en agronomie : exemples et perspectives. (Multi-scale Data Integration and Knowledge Extraction in Agronomy: Examples and Prospects)	2019	
Computational Infrastructures for biomolecular research	2019	
The Science Gateways Community Institute: Collaborations and efforts on international scale	2019	Future Gener. Comput. Syst.
Applying FAIRness: Redesigning a Biomedical Informatics Research Data Management Pipeline	2019	Methods of Information in Medicine
Mapping heterogeneous research infrastructure metadata into a unified catalogue for use in a generic virtual research environment	2019	Future Gener. Comput. Syst.
CPRD GOLD and linked ONS mortality records: Reconciling guidelines	2019	International journal of medical informatics
Comparative Analysis of Strategies for De Novo Transcriptome Assembly in Prokaryotes: Streptomyces clavuligerus as a Case Study	2019	High-Throughput
Phylogeography of moose in western North America	2019	Journal of Mammalogy
Portunus pelagicus mtDNA heteroplasmy inheritance and its effect on the use of mtCR and mtCOI sequence data	2019	Mitochondrial DNA Part A
Malpighian tubules of caterpillars: blending RNAseq and physiology to reveal regional functional diversity and novel epithelial ion transport control mechanisms	2019	Journal of Experimental Biology
The barley stripe mosaic virus expression system reveals the wheat C2H2 zinc finger protein TaZFP1B as a key regulator of drought tolerance	2019	BMC Plant Biology
Complementary DNA/RNA-Based Profiling: Characterization of Corrosive Microbial Communities and Their Functional Profiles in an Oil Production Facility	2019	Frontiers in Microbiology
Genetic stability of a Newcastle disease virus vectored infectious laryngotracheitis virus vaccine after serial passages in chicken embryos.	2019	Vaccine
Multi-strain Tn-Seq reveals common daptomycin resistance determinants in Staphylococcus aureus	2019	PLoS Pathogens
KBase: A Platform for Reproducible Bioinformatics Research	2019	2019 IEEE/ACM International Workshop on Containers and New Orchestration Paradigms for Isolated Environments in HPC (CANOPIE-HPC)
Evolution of Exons and the Exon–Intron Structure of Long Intergenic Noncoding RNA Genes in Placental Mammals	2019	Biology Bulletin Reviews
Gene-based evidence for burden of rare pathogenic variants in pharmacogenes and oncogens of Czech breast cancer patients	2019	2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)
Resolution by deep sequencing of a dual hepatitis E virus infection transmitted via blood components.	2019	The Journal of general virology
Role of sludge retention time in mitigation of nitrous oxide emission from a pilot-scale oxidation ditch.	2019	Bioresource technology
Bioinformatics Tools and Workflow to Select Blood Biomarkers for Early Cancer Diagnosis: An Application to Pancreatic Cancer	2019	PROTEOMICS
Run-time Parameter Sensitivity Analysis Optimizations	2019	ArXiv
PIPE-T: a new Galaxy tool for the analysis of RT-qPCR expression data	2019	Scientific Reports
Differential basal expression of immune genes confers Crassostrea gigas resistance to Pacific oyster mortality syndrome	2019	BMC Genomics
Analytic Correlation Filtration: A New Tool to Reduce Analytical Complexity of Metabolomic Datasets	2019	Metabolites
Transcriptional analysis of insect extreme freeze tolerance	2019	Proceedings of the Royal Society B
Application of high performance compute technology in bioinformatics	2019	
An integrated epigenome and transcriptome analysis identifies PAX2 as a master regulator of drug resistance in high grade pancreatic ductal adenocarcinoma	2019	PLoS ONE
Characterization of Core Microbiomes and Functional Profiles of Mesophilic Anaerobic Digesters Fed With Chlorella vulgaris Green Microalgae and Maize Silage	2019	Frontiers in Energy Research
Multi-level analysis of reproduction in the Antarctic midge, Belgica antarctica, identifies female and male accessory gland products that are altered by larval stress and impact progeny viability	2019	bioRxiv
HaTSPiL: A modular pipeline for high-throughput sequencing data analysis	2019	PLoS ONE
Interactive Clustered Heat Map Builder: An easy web-based tool for creating sophisticated clustered heat maps	2019	F1000Research
A Novel Totivirus Naturally Occurring in Two Different Fungal Genera	2019	Frontiers in Microbiology
Comparative transcriptomics supports the presence of G protein‐coupled receptor‐based signaling in unicellular marine eukaryotes	2019	Limnology and Oceanography
Class I histone deacetylase HDA-3 is required for full maintenance of locomotor ability in Caenorhabditis elegans	2019	bioRxiv
Provenance Tracking in the LHCb Software	2019	Computing in Science & Engineering
Updated unified phylogenetic classification system and revised nomenclature for Newcastle disease virus	2019	Infection, Genetics and Evolution
Science for everyone (ScifE): A proposed framework for science as a service using interactive web technologies	2019	Comput. Geosci.
Impacts of environmental complexity on respiratory and gut microbiome community structure and diversity in growing pigs	2019	Scientific Reports
The metaRbolomics Toolbox in Bioconductor and beyond	2019	Metabolites
Supporting Efficient Execution of Workflows on Everest Platform	2019	
Natural Microbial Communities Can Be Manipulated by Artificially Constructed Biofilms	2019	Advanced Science
A High-Resolution View of Adaptive Event Dynamics in a Plasmid	2019	Genome Biology and Evolution
Biomolecular Reaction and Interaction Dynamics Global Environment (BRIDGE)	2019	Bioinformatics
Programmed Chromosome Deletion in the Ciliate Oxytricha trifallax	2019	G3: Genes|Genomes|Genetics
Metabarcoding-based dietary analysis of hen harrier (Circus cyaneus) in Great Britain using buccal swabs from chicks	2019	Conservation Genetics
Subgenomic flavivirus RNA binds the mosquito DEAD/H-box helicase ME31B and determines Zika virus transmission by Aedes aegypti	2019	Proceedings of the National Academy of Sciences
Gene Delivery to Nonhuman Primate Preimplantation Embryos Using Recombinant Adeno‐Associated Virus	2019	Advanced Science
Organizing genome engineering for the gigabase scale	2019	Nature Communications
Next generation sequencing and proteomics in plant virology: how is Colombia doing?	2019	Acta Biológica Colombiana
Identifying markers for resistance to sugarcane orange rust (Puccinia kuehnii) via selective genotyping and capture sequencing	2019	Euphytica
Serverless Science for Simple, Scalable, and Shareable Scholarship	2019	2019 15th International Conference on eScience (eScience)
Analysis of the bacterial communities in ancient human bones and burial soil samples: Tracing the impact of environmental bacteria	2019	Journal of Archaeological Science
Soil bacterial community dynamics following surfactant addition and bioaugmentation in pyrene-contaminated soils.	2019	Chemosphere
Single‐cell technologies in reproductive immunology	2019	American Journal of Reproductive Immunology
Species' range model metadata standards: RMMS	2019	Global Ecology and Biogeography
Programmed genome rearrangements in Oxytricha produce transcriptionally active extrachromosomal circular DNA	2019	Nucleic Acids Research
ArrowSAM: In-Memory Genomics Data Processing through Apache Arrow Framework	2019	bioRxiv
Provenance Solutions for Medical Research in Heterogeneous IT-Infrastructure: An Implementation Roadmap	2019	Studies in health technology and informatics
A Web-Based Platform for Interactive Parameter Study of Large-Scale Lattice Gas Automata	2019	
Genome-wide analysis of transcriptional bursting-induced noise in mammalian cells	2019	bioRxiv
The genomic landscape of estrogen receptor α binding sites in mouse mammary gland	2019	PLoS ONE
The tropical coral Pocillopora acuta has a mosaic DNA methylome, an unusual chromatin structure and shows histone H3 clipping	2019	bioRxiv
TALE and NF-Y co-occupancy marks enhancers of developmental control genes during zygotic genome activation in zebrafish	2019	bioRxiv
Loss of RNA Chaperone Hfq Unveils a Toxic Pathway in Pseudomonas aeruginosa	2019	Journal of Bacteriology
Scalable Parallel Programming in Python with Parsl	2019	Practice and Experience in Advanced Research Computing 2019: Rise of the Machines (learning)
Leveraging Public Cloud Services for CLIA-Certified Personalized Medicine Pipelines	2019	Practice and Experience in Advanced Research Computing 2019: Rise of the Machines (learning)
COHCAP: an integrative genomic pipeline for single-nucleotide resolution DNA methylation analysis	2019	Nucleic Acids Research
Corvus: a framework for interfacing scientific software for spectroscopic and materials science applications.	2019	Journal of synchrotron radiation
Architecture de Dataflow pour des systèmes modulaires et génériques de simulation de plante. (Dataflow architecture for modular and generic plant simulation systems)	2019	
Specificity of protein–DNA interactions in hypersaline environment: structural studies on complexes of Halobacterium salinarum oxidative stress-dependent protein hsRosR	2019	Nucleic Acids Research
A herpesvirus transactivator and cellular POU proteins extensively regulate DNA binding of the host Notch signaling protein RBP-Jκ to the virus genome	2019	The Journal of Biological Chemistry
Pipelines for Computational Social Science Experiments and Model Building	2019	
A Multi-center Study on the Reproducibility of Drug-Response Assays in Mammalian Cell Lines	2019	Cell systems
The complex structure of hsRosR-S5 (VNG0258H/RosR-S5)	2019	Nucleic Acids Research
Social support for collaboration and group awareness in life science research teams	2019	Source Code for Biology and Medicine
Distinct Classes of Chromatin Loops Revealed by Deletion of an RNA-Binding Region in CTCF.	2019	Molecular cell
TASKA: A modular task management system to support health research studies	2019	BMC Medical Informatics and Decision Making
uap: reproducible and robust HTS data analysis	2019	BMC Bioinformatics
Dosage Compensation throughout the Schistosoma mansoni Lifecycle: Specific Chromatin Landscape of the Z Chromosome	2019	Genome Biology and Evolution
Proteomics and Precision Medicine	2019	Small Methods
Expanding the mesodermal transcriptional network by genome‐wide identification of Zinc finger homeodomain 1 (Zfh1) targets	2019	FEBS Letters
AGO CLIP Reveals an Activated Network for Acute Regulation of Brain Glutamate Homeostasis in Ischemic Stroke.	2019	Cell reports
Perinatal exposure to the SSRI paroxetine alters the methylome landscape of the developing dentate gyrus	2019	European Journal of Neuroscience
Genotyping by Sequencing and Plastome Analysis Finds High Genetic Variability and Geographical Structure in Dactylis glomerata L. in Northwest Europe Despite Lack of Ploidy Variation	2019	Agronomy
Oropouche virus cases identified in Ecuador using an optimised qRT-PCR informed by metagenomic sequencing	2019	PLoS Neglected Tropical Diseases
Optimizing parameter sensitivity analysis of large‐scale microscopy image analysis workflows with multilevel computation reuse	2019	Concurrency and Computation: Practice and Experience
Forward Genetic Screen for Caenorhabditis elegans Mutants with a Shortened Locomotor Healthspan	2019	G3: Genes|Genomes|Genetics
Identification and functional evaluation of accessible chromatin associated with wood formation in Eucalyptus grandis.	2019	The New phytologist
Identification of a DNA N6-Adenine Methyltransferase Complex and Its Impact on Chromatin Organization	2019	Cell
Designing for Real-Time Groupware Systems to Support Complex Scientific Data Analysis	2019	Proceedings of the ACM on Human-Computer Interaction
Envisioning tangibles and display-rich interfaces for co-located and distributed genomics collaborations	2019	Proceedings of the 8th ACM International Symposium on Pervasive Displays
Influence of feed temperature to biofouling of ultrafiltration membrane during skim milk processing	2019	International Dairy Journal
Multi-analytic study of a probable case of fibrous dysplasia (FD) from certosa monumental cemetery (Bologna, Italy).	2019	International journal of paleopathology
Support for Accessibility, Reproducibility and Transparency in a Service-Oriented Gene Expression Analysis Platform	2019	
The role of machine learning in scientific workflows	2019	The International Journal of High Performance Computing Applications
CpG‐related SNPs in the MS4A region have a dose‐dependent effect on risk of late–onset Alzheimer disease	2019	Aging Cell
Surface sterilization methods impact measures of internal microbial diversity in ticks	2019	Parasites & Vectors
snakePipes: facilitating flexible, scalable and integrative epigenomic analysis	2019	Bioinformatics
ANASTASIA: An Automated Metagenomic Analysis Pipeline for Novel Enzyme Discovery Exploiting Next Generation Sequencing Data	2019	Frontiers in Genetics
Comparative Tn-Seq reveals common daptomycin resistance determinants in Staphylococcus aureus despite strain-dependent differences in essentiality of shared cell envelope genes	2019	bioRxiv
High Resolution Mapping of RphMBR1012 Conferring Resistance to Puccinia hordei in Barley (Hordeum vulgare L.)	2019	Frontiers in Plant Science
Capitaliser les processus d'analyse de traces d'apprentissage: modélisation ontologique & assistance à la réutilisation. (Capitalising analysis processes of eLearning traces: ontological modelisation & reuse assistance)	2019	
Tools for Analyzing R Code the Tidy Way	2019	R J.
RNA-seq in Skeletal Biology	2019	Current Osteoporosis Reports
Data-Intensive Workflow Management: For Clouds and Data-Intensive and Scalable Computing Environments	2019	Synthesis Lectures on Data Management
RNASeqR: an R package for automated two-group RNA-Seq analysis workflow	2019	bioRxiv
Kin28 depletion increases association of TFIID subunits Taf1 and Taf4 with promoters in Saccharomyces cerevisiae	2019	bioRxiv
Parsl: Pervasive Parallel Programming in Python	2019	Proceedings of the 28th International Symposium on High-Performance Parallel and Distributed Computing
Available Software for Meta-analyses of Genome-wide Expression Studies	2019	Current Genomics
Rare missense variants in the ALPK1 gene may predispose to periodic fever, aphthous stomatitis, pharyngitis and adenitis (PFAPA) syndrome	2019	European Journal of Human Genetics
Gigwa v2—Extended and improved genotype investigator	2019	GigaScience
Instrumental Data Management and Scientific Workflow Execution: the CEA Case Study	2019	2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)
A hierarchic task-based programming model for distributed heterogeneous computing	2019	The International Journal of High Performance Computing Applications
Towards a Science Gateway for Bioinformatics: Experiences in the Brazilian System of High Performance Computing	2019	2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)
Identification and Quantification of Proteoforms by Mass Spectrometry	2019	PROTEOMICS
Workflow-based automatic processing for Internet of Floating Things crowdsourced data	2019	Future Gener. Comput. Syst.
Pathogenicity and transmission of virulent Newcastle disease virus from the 2018-2019 California outbreak and related viruses in young and adult chickens.	2019	Virology
BePT: A Process Translator for Sharing Process Models	2019	ArXiv
Linkage analysis and whole exome sequencing reveals AHNAK2 as a novel genetic cause for autosomal recessive CMT in a Malaysian family	2019	neurogenetics
BePT: A Behavior-based Process Translator for Interpreting and Understanding Process Models	2019	Proceedings of the 28th ACM International Conference on Information and Knowledge Management
Radiator: a cloud-based framework for deploying re-usable bioinformatics tools	2019	bioRxiv
Internet of Things orchestration using DagOn* workflow engine	2019	2019 IEEE 5th World Forum on Internet of Things (WF-IoT)
In-depth human plasma proteome analysis captures tissue proteins and transfer of protein variants across the placenta	2019	eLife
Soil microbiome: a key player for conservation of soil health under changing climate	2019	Biodiversity and Conservation
Fine-Grained Provenance for Matching & ETL	2019	2019 IEEE 35th International Conference on Data Engineering (ICDE)
Urea dynamics during Lake Taihu cyanobacterial blooms in China.	2019	Harmful algae
Impact of angiogenic activation and inhibition on miRNA profiles of human retinal endothelial cells	2019	Experimental Eye Research
A Modular Parallel Pipeline Architecture for GWAS Applications in a Cluster Environment	2019	
Evolução da covariação genética em caracteres complexos: interação entre o mapa genótipo-fenótipo e seleção natural	2019	
A Study of the Use of Information & Communication Technology in Disseminating Farm Information to Farmers in India	2019	Sustainable Technology eJournal
Identification and characterization of core abscisic acid (ABA) signaling components and their gene expression profile in response to abiotic stresses in Setaria viridis	2019	Scientific Reports
Next-generation sequencing-guided identification and reconstruction of antibody CDR combinations from phage selection outputs	2019	Nucleic Acids Research
N2O and NO emission from a biological aerated filter treating coking wastewater: Main source and microbial community	2019	Journal of Cleaner Production
Interoperable and scalable data analysis with microservices: applications in metabolomics	2019	Bioinformatics
iGEAK: an interactive gene expression analysis kit for seamless workflow using the R/shiny platform	2019	BMC Genomics
Aligning the Aligners: Comparison of RNA Sequencing Data Alignment and Gene Expression Quantification Tools for Clinical Breast Cancer Research	2019	Journal of Personalized Medicine
Mosquito Small RNA Responses to West Nile and Insect-Specific Virus Infections in Aedes and Culex Mosquito Cells	2019	Viruses
Growth Kinetics, Carbon Isotope Fractionation, and Gene Expression in the Hyperthermophile Methanocaldococcus jannaschii during Hydrogen-Limited Growth and Interspecies Hydrogen Transfer	2019	Applied and Environmental Microbiology
Multifaceted activity of cytokinin in leaf development shapes its size and structure in Arabidopsis	2019	The Plant Journal
A Scalable Bioinformatics Analysis Platform based on Microservices Architecture	2019	2019 International Research Conference on Smart Computing and Systems Engineering (SCSE)
Volatile Evolution of Long Non-Coding RNA Repertoire in Retinal Pigment Epithelium: Insights from Comparison of Bovine and Human RNA Expression Profiles	2019	Genes
Use of high throughput amplicon sequencing and ethidium monoazide dye to track microbiota changes in an equol-producing menopausal woman receiving a long-term isoflavones treatment	2019	AIMS Microbiology
BioMethyl: an R package for biological interpretation of DNA methylation data	2019	Bioinformatics
Changes in Bacterioplankton Communities Resulting From Direct and Indirect Interactions With Trace Metal Gradients in an Urbanized Marine Coastal Area	2019	Frontiers in Microbiology
Anduril 2: upgraded large-scale data integration framework	2019	Bioinformatics
Microcapillary sampling of Baltic Sea copepod gut microbiomes indicates high variability among individuals and the potential for methane production	2019	FEMS Microbiology Ecology
Integrating Bacterial ChIP‐seq and RNA‐seq Data With SnakeChunks	2019	Current Protocols in Bioinformatics
EWAS-Galaxy: a tools suite for population epigenetics integrated into Galaxy	2019	bioRxiv
An immunoproteomic approach to characterize the CAR interactome and signalosome	2019	Science Signaling
SraL sRNA interaction regulates the terminator by preventing premature transcription termination of rho mRNA	2019	Proceedings of the National Academy of Sciences
GCAC: galaxy workflow system for predictive model building for virtual screening	2019	BMC Bioinformatics
Queuine links translational control in eukaryotes to a micronutrient from bacteria	2019	Nucleic Acids Research
A Framework for Social Network-Based Dynamic Modeling and Prediction of Communicable Diseases	2019	International Journal of Modeling and Optimization
Predictive functional profiles using metagenomic 16S rRNA data: a novel approach to understanding the microbial ecology of aquaculture systems	2019	Reviews in Aquaculture
Predicting runtimes of bioinformatics tools based on historical data: five years of Galaxy usage	2019	Bioinformatics
Qresp, a tool for curating, discovering and exploring reproducible scientific papers	2019	Scientific Data
Altered DNA Methylation in the Developing Brains of Rats Genetically Prone to High versus Low Anxiety	2019	The Journal of Neuroscience
Functional screening for triclosan resistance in a wastewater metagenome and isolates of Escherichia coli and Enterococcus spp. from a large Canadian healthcare region	2019	PLoS ONE
Identification of candidate neoantigens produced by fusion transcripts in human osteosarcomas	2019	Scientific Reports
Toward Reproducible Analysis and Exploration of High-Throughput Biological Datasets	2019	
p.E95K mutation in Indian hedgehog causing brachydactyly type A1 impairs IHH/Gli1 downstream transcriptional regulation	2019	BMC Genetics
Data automation at light sources	2019	
Follicle-stimulating hormone and luteinizing hormone increase Ca2+ in the granulosa cells of mouse ovarian follicles†	2019	Biology of Reproduction
Dysbiosis of the Gut Microbiota on the Inflammatory Background due to Lack of Suppressor of Cytokine Signalling-1 in Mice	2019	Inflammatory Intestinal Diseases
Analysis of Software Development Methodologies	2019	International Journal of Computing and Digital Systems
Exploring the Human Microbiome: The Potential Future Role of Next-Generation Sequencing in Disease Diagnosis and Treatment	2019	Frontiers in Immunology
Fog Computing, Deep Learning and Big Data Analytics-Research Directions	2019	
Comparative Analyses of Metabolomic Fingerprints and Cytotoxic Activities of Soft Corals from the Colombian Caribbean	2019	Marine Drugs
One tool to find them all: a case of data integration and querying in a distributed LIMS platform	2019	Database: The Journal of Biological Databases and Curation
Genome Sequences of Livestock-Associated Methicillin-Resistant Staphylococcus aureus spa Type t899 Strains Belonging to Three Different Sequence Types (ST398, ST9, and ST4034)	2019	Microbiology Resource Announcements
I-SceI Meganuclease-mediated transgenesis in the acorn worm, Saccoglossus kowalevskii.	2019	Developmental biology
SuperSAGE digital expression analysis of differential growth rate in a European sea bass population	2019	Aquaculture and Fisheries
Experiential Learning in Bioinformatics - Learner Support for Complex Workflow Modelling and Analysis	2018	Int. J. Emerg. Technol. Learn.
System for Quality‐Assured Data Analysis: Flexible, reproducible scientific workflows	2018	Genetic Epidemiology
Accelerating Genomic Data Generation and Facilitating Genomic Data Access Using Decentralization, Privacy-Preserving Technologies and Equitable Compensation	2018	
Big Data Scientific Workflows in the Cloud: Challenges and Future Prospects	2018	Studies in Big Data
PaDuA: A Python Library for High-Throughput (Phospho)proteomics Data Analysis	2018	Journal of Proteome Research
The Elongator Complex is Required to Maintain Locomotor Healthspan in Caenorhabditis elegans	2018	bioRxiv
Comparative transcriptomic analysis of bovine papillomatosis	2018	BMC Genomics
KIMBLE: A versatile visual NMR metabolomics workbench in KNIME.	2018	Analytica chimica acta
EasyQC: Tool with Interactive User Interface for Efficient Next-Generation Sequencing Data Quality Control	2018	Journal of Computational Biology
Developing reproducible bioinformatics analysis workflows for heterogeneous computing environments to support African genomics	2018	BMC Bioinformatics
The repressive genome compartment is established early in the cell cycle before forming the lamina associated domains	2018	bioRxiv
Nonsynonymous Polymorphism in Guanine Monophosphate Synthetase Is a Risk Factor for Unfavorable Thiopurine Metabolite Ratios in Patients With Inflammatory Bowel Disease.	2018	Inflammatory bowel diseases
El Niño and the structure of mutualistic and antagonistic bat food webs revealed by DNA barcoding	2018	
NGOMICS-WF, a Bioinformatic Workflow Tool for Batch Omics Data Analysis	2018	bioRxiv
Pipeliner: A Nextflow-Based Framework for the Definition of Sequencing Data Processing Pipelines	2018	Frontiers in Genetics
Obesity-associated inflammation promotes angiogenesis and breast cancer via angiopoietin-like 4	2018	Oncogene
Modification des traits d'histoire de vie au cours de l’hybridation et analyse des mécanismes moléculaires sous- jacents chez les parasites plathelminthes du genre Schistosoma	2018	
Reconstitution of eukaryotic chromosomes and manipulation of DNA N6-methyladenine alters chromatin and gene expression	2018	bioRxiv
SyNDI: synchronous network data integration framework	2018	BMC Bioinformatics
Long non-coding RNA LncKdm2b regulates cortical neuronal differentiation by cis-activating Kdm2b	2018	Protein & Cell
Intestinal Microbiome in Irritable Bowel Syndrome before and after Gut-Directed Hypnotherapy	2018	International Journal of Molecular Sciences
DagOn*: Executing Direct Acyclic Graphs as Parallel Jobs on Anything	2018	2018 IEEE/ACM Workflows in Support of Large-Scale Science (WORKS)
Separation and characterization of human microbiomes by metaproteomics	2018	TrAC Trends in Analytical Chemistry
Enforcing public data archiving policies in academic publishing: A study of ecology journals	2018	Big Data & Society
A Primer for Access to Repositories of Cancer-Related Genomic Big Data.	2018	Methods in molecular biology
A Putative Zn2Cys6 Transcription Factor Is Associated With Isoprothiolane Resistance in Magnaporthe oryzae	2018	Frontiers in Microbiology
Creating Interactive Scientific Publications using Bindings	2018	Proceedings of the ACM on Human-Computer Interaction
High level of genetic connectivity in a deep-water reef fish, Caulolatilus microps.	2018	Journal of fish biology
Quasispecies Diversity Is a Major Risk Factor for Vertical Hepatitis C Virus Transmission	2018	The Journal of Infectious Diseases
Genome-wide analyses of miniature inverted-repeat transposable elements reveals new insights into the evolution of the Triticum-Aegilops group	2018	PLoS ONE
Translational genomics and multi-omics integrated approaches as a useful strategy for crop breeding	2018	Genes & Genomics
STAPLER: a simple tool for creating, managing and parallelizing common high-throughput sequencing workflows	2018	bioRxiv
Neutral variation does not predict immunogenetic variation in the European grayling (Thymallus thymallus)—implications for management	2018	Molecular Ecology
Immune-suppression by OsHV-1 viral infection causes fatal bacteraemia in Pacific oysters	2018	Nature Communications
Ancient DNA reveals the origins, colonization histories, and evolutionary pathways of two recently extinct species of giant scops owl from Mauritius and Rodrigues Islands (Mascarene Islands, south‐western Indian Ocean)	2018	Journal of Biogeography
Haploinsufficiency of the intellectual disability gene SETD5 disturbs developmental gene expression and cognition	2018	Nature Neuroscience
Reference environments: A universal tool for reproducibility in computational biology	2018	arXiv: Quantitative Methods
Progression of ductal carcinoma in situ to invasive breast cancer: comparative genomic sequencing	2018	Virchows Archiv
Monitoring of microbial dynamics in a drinking water distribution system using the culture-free, user-friendly, MYcrobiota platform	2018	Scientific Reports
A First Look at the JX Workflow Language	2018	2018 IEEE 14th International Conference on e-Science (e-Science)
A lightweight rapid application development framework for biomedical image analysis	2018	Computer methods and programs in biomedicine
Draft Genome Sequences of Three Novel Staphylococcus arlettae Strains Isolated from a Disused Biological Safety Cabinet	2018	Microbiology Resource Announcements
An Algebra for Robust Workflow Transformations	2018	2018 IEEE 14th International Conference on e-Science (e-Science)
RGAAT: A Reference-based Genome Assembly and Annotation Tool for New Genomes and Upgrade of Known Genomes	2018	Genomics, Proteomics & Bioinformatics
NFIX-Mediated Inhibition of Neuroblast Branching Regulates Migration Within the Adult Mouse Ventricular-Subventricular Zone.	2018	Cerebral cortex
BMP Signaling Determines Body Size via Transcriptional Regulation of Collagen Genes in Caenorhabditis elegans	2018	Genetics
The DEAD-box protein Dbp2p is linked to noncoding RNAs, the helicase Sen1p, and R-loops	2018	RNA
A high resolution view of adaptive events	2018	bioRxiv
Orlando Tools: Energy Research Application Development Through Convergence of Grid and Cloud Computing	2018	
A History-Based Resource Manager for Genome Analysis Workflows Applications on Clusters with Heterogeneous Nodes	2018	International Journal of Parallel Programming
DNA metabarcoding reveals changes in the contents of carnivorous plants along an elevation gradient	2018	Molecular Ecology
Partial loss of psychiatric risk gene miR-137 in mice causes repetitive behavior and impairs sociability and learning via increased Pde10a	2018	Nature neuroscience
Targeting the BRD4-HOXB13 Coregulated Transcriptional Networks with Bromodomain-Kinase Inhibitors to Suppress Metastatic Castration-Resistant Prostate Cancer	2018	Molecular Cancer Therapeutics
Highly efficient genome editing via CRISPR–Cas9 in human pluripotent stem cells is achieved by transient BCL-XL overexpression	2018	Nucleic Acids Research
Computational tools to unmask transposable elements	2018	Nature Reviews Genetics
A Language for Large-Scale Collaboration in Economics: A Streamlined Computational Representation of Financial Models	2018	arXiv: Computational Finance
Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses	2018	Database: The Journal of Biological Databases and Curation
