Galaxy wrapper id	Description	To keep	Deprecated
fastq_paired_end_splitter	FASTQ splitter on joined paired end reads		
fastq_paired_unpaired	Divide FASTQ file into paired and unpaired reads		
fastq_provider	Retrieval and download of FASTQ files from ENA and other repositories such as HCA.		
fastq_quality_boxplot	Draw quality score boxplot		
fastq_quality_converter	Quality format converter (ASCII-Numeric)		
fastq_quality_filter	Filter by quality		
fastq_quality_trimmer	FASTQ trimmer based on quality		
fastq_stats	FASTQ Summary Statistics by column		
fastq_to_fasta	FASTQ to FASTA converter		
fastq_to_tabular	FASTQ to Tabular converter		
fastq_trimmer	FASTQ Trimmer by quality		
fastq_trimmer_by_quality	FASTQ Quality Trimmer by sliding window		
fastq_utils	Set of tools for handling fastq files		
fastqc	Read QC reports using FastQC		
fastqc_stats	Summary multiple FastQC into a single tabular line report		
fastqe	FASTQE		
fastqsolexa_to_fasta_qual	FASTQSOLEXA-to-FASTA-QUAL extracts sequences and quality scores from FASTQSOLEXA data		
fastqtofasta	FASTQ to FASTA converter		
fasttree	FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences - GVL		
fastx_artifacts_filter	Remove sequencing artifacts		
fastx_barcode_splitter	Barcode Splitter		
fastx_clipper	Clip adapter sequences		
fastx_collapser	Collapse sequences		
fastx_nucleotides_distribution	Draw nucleotides distribution chart		
fastx_quality_statistics	Compute quality statistics		
fastx_renamer	Rename sequences		
fastx_reverse_complement	Reverse-Complement		
fastx_trimmer	Trim sequences		
fates-emerald	EMERALD version of the Functionally Assembled Terrestrial Ecosystem Simulator (FATES) with Community Terrestrial Systems Model as host model		
fatovcf	Convert a FASTA alignment file to Variant Call Format (VCF) single-nucleotide diffs		
feature_alignment	TRIC integrates information from all available runs via a graph-based alignment strategy		
featurecounter	Feature coverage		
featurecounts	featureCounts counts the number of reads aligned to defined masked regions in a reference genome		
feelnc	Galaxy wrapper for FEELnc		
feelnc2asko	Convert FeelNC GTF to GFF3		
feht	Automatically identify makers predictive of groups.		
fermikit	FermiKit is a de novo assembly based variant calling pipeline for deep Illumina resequencing data.		
fetch_fasta_from_ncbi	Fetch fasta sequences from NCBI using eutils wrappers		
fgsea	Perform gene set testing using fgsea		
file_manipulation	This tool returns all unique lines from a tab-separated file.		
filter_by_fasta_ids	Filter FASTA on the headers and/or the sequences		
filter_compounds	Tool for filtering organometallics/anorganic compounds from a list of compounds.		
filter_density	Filter out position based on distance between SNVs		
filter_spades_repeats	Remove short and repeat contigs/scaffolds		
filter_stats	SNVPhyl filter_stats		
filter_transcripts_via_tracking	Filter Combined Transcripts		
filter_vcf	SNVPhyl filter_vcf		
filtlong	Filtlong - Filtering long reads by quality		
find_diag_hits	Find diagnostic hits		
find_repeats	Find repetitive regions on a reference genome using MUMMer		
find_subsequences			
fisher_test	Fisher's exact test on two-column hit lists.		
flair	FLAIR (Full-Length Alternative Isoform analysis of RNA) for the correction, isoform definition, and alternative splicing analysis of noisy reads.		
flanking_features	Fetch closest non-overlapping feature for every interval		
flash	Fast Length Adjustment of SHort reads		
flashlfq	FlashLFQ mass-spectrometry proteomics label-free quantification		
flexynesis	This is a deep-learning based multi-omics bulk sequencing data integration suite with a focus on (pre-)clinical endpoint prediction.		
flux	Using the black forest labs FLUX.1 models to generate image based on user input.		
flye	Assembly of long and error-prone reads.		
footprint	Find transcription factor footprints		
format_cd_hit_output	Format CD-hit output to rename representative sequences with cluster name and/or extract distribution inside clusters given a mapping file		
format_metaphlan2_output	Format MetaPhlAn2 output to extract abundance at different taxonomic levels		
fraggenescan	Tool for finding (fragmented) genes in short read		
fragpipe	Data analysis for mass spectrometry-based proteomics.		
free_energy	Free energy tools of BRIDGE.		
freebayes	Galaxy Freebayes Bayesian genetic variant detector tool		
freec	Control-FREEC is a tool for detection of copy-number changes and allelic imbalances (including LOH) using deep-sequencing data originally developed by the Bioinformatics Laboratory of Institut Curie (Paris). It automatically computes, normalizes, segments copy number and beta allele frequency (BAF) profiles, then calls copy number alterations and LOH.		
freyja	lineage abundances estimation		
frogs	Suite for metabarcoding analysis		
fromHicupToJuicebox	Convert the output of hicup (as sam or bam) to the input of juicebox.		
fromgtfTobed12	Convert GTF files to BED12 format		
fsd	Tool that plots a histogram of sizes of read families		
funannotate	Funannotate is a genome prediction, annotation, and comparison software package.		
garnett	De-composed Garnett functionality tools, see https://github.com/ebi-gene-expression-group/garnett-cli and r-garnett 0.2.8		
gatk4	Find somatic variations		
gatk4	A Galaxy wrapper for Mutect2 from GATK		
gblocks	Gblocks		
gc_derivatization	In silico derivatization for GC.		
gcms2isocor	Conversion from GCMS PostRun Analysis to Isocor		
gcms2isocor	Corrective method dedicated to Isocor for calculating carbon isotopologue distribution from GCMS runs		
gdal	Geospatial Data Abstraction Library tools are all dedicated to manipulate raster and vector geospatial data formats.		
gdcwebapp	GDCWebApp automatically filter, extract, and convert genomic data from the Genomic Data Commons portal to BED format		
gecko	Ungapped genome comparison		
gemini	GEMINI: a flexible framework for exploring genome variation		
genebed_maf_to_fasta	Stitch gene blocks given a set of coding exon intervals		
genehunter_modscore	Maximised LOD score pedigree analysis utility		
geneiobio	Gene.iobio is an interactive tool for variant and trio analysis.		
genenotebook	Galaxy tools allowing to load data into a GeneNoteBook database.https://genenotebook.github.io		
generate_pc_lda_matrix	Generate a Matrix for using PC and LDA		
genetrack	"Contains a tool that separately identifies peaks on the forward ""+” (W) and reverse “-” (C) strand."		
genform	genform: generation of molecular formulas by high-resolution MS and MS/MS data		
genomad	Identify virus and plasmid genomes from nucleotide sequences		
genomescope	Analyze unassembled short reads		
genomic_super_signature	Interpretation of RNAseq experiments through robust, efficient comparison to public databases		
genrich	Genrich is a peak-caller for genomic enrichment assays (e.g. ChIP-seq, ATAC-seq).		
getTn5ExtendedCoverage	Take an input bam from ATAC-seq and generate a bedgraph using the center of the Tn5 insertion with an extension		
get_flanks	Get flanks returns flanking region/s for every gene		
get_hrun	Annotate indel variants with homopolymer context		
get_orfs_or_cdss	Search nucleotide sequences for open reading frames (ORFs), or coding sequences (CDSs)		
get_pairs	Separate paired and unpaired reads from two fastq files		
get_reference_fasta	Obtain reference genome sequence.		
getindelrates_3way	Estimate Indel Rates for 3-way alignments		
getindels_2way	Fetch Indels from pairwise alignments		
getmlst	Download MLST datasets by species from pubmlst.org		
getorganelle	GetOrganelle - This toolkit assembles organelle genomes from genomic skimming data.		
gfa_to_fa	gfa_to_fa - Converting GFA format to Fasta format		
gfastats	Tool for generating sequence statistics and simultaneous genome assembly file manipulation.		
gff3_rebase	Rebase a GFF against a parent GFF (e.g. an original genome)		
gffcompare	Galaxy wrappers for Geo Pertea's GffCompare package.		
gffcompare_to_bed	Filter and convert a gffCompare GTF to BED		
gffread	gffread filters and/or converts GFF3/GTF2 records		
ggplot2	ggplot2 is a system for declaratively creating graphics, based on The Grammar of Graphics.You provide the data, tell ggplot2 how to map variables to aesthetics, what graphical primitives to use,and it takes care of the details.		
ggupset	Create Upset Plots with ggupset		
gi2taxonomy	Fetch taxonomic representation		
glimmer	Glimmer makes gene predictions.		
glimmer_hmm	GlimmerHMM is a new gene finder based on a Generalized Hidden Markov Model (GHMM)		
gmaj	GMAJ Multiple Alignment Viewer		
gnali	A tool to find nonessential, loss-of-function gene variants		
goenrichment	Performs GO Enrichment analysis.		
goseq	goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data		
gotohscan	Find subsequences in db		
gprofiler	functional enrichment analysis of gene lists, convertion between various types of namespaces, translation gene identifiers between organisms and more		
graph_converter	Convert between different graph formats		
graphclust	GraphClust can be used for structural clustering of RNA sequences.		
graphembed	Compute a 2D embedding of a data matrix given supervised class information		
graphicsmagick	Contains tools based on GraphicsMagick		
graphlan	GraPhlAn is a software tool for producing high-quality circular representations of taxonomic and phylogenetic trees		
graphmap	Mapper for long, error-prone reads.		
graphprot	GraphProt models binding preferences of RNA-binding proteins.		
gromacs	GROMACS is a package for performing molecular dynamics, primarily designed for biochemical molecules such as proteins, lipids and nucleic acids.		
groot	GROOT is a tool to type Antibiotic Resistance Genes (ARGs) in metagenomic samples		
gsc_center_scale	Center or scale (standardize) data		
gsc_filter_cells	Filter single cell RNAseq data on libray depth and number of detected genes		
gsc_filter_genes	Filter genes that are detected in less than a fraction of libraries in single cell RNAseq data		
gsc_gene_expression_correlations	Compute single-cell paire-wise gene expressions correlations		
gsc_high_dimensions_visualisation	Generates PCA, t-SNE and HCPC visualisation		
gsc_mannwhitney_de	Perform a mann-whitney differential testing between two sets of gene expression data		
gsc_scran_normalize	Normalize raw counts using scran		
gsc_signature_score	Compute signature scores from single cell RNAseq data		
gstf_preparation	GeneSeqToFamily preparation converts data for the workflow		
gtdb_to_taxdump	Convert GTDB taxonomy to NCBI taxdump format		
gtdbtk	GTDB-Tk is a software tool kit for assigning objective taxonomic classifications to bacterial and archaeal genomesbased on the Genome Database Taxonomy GTDB. It is designed to work with recent advances that allow hundreds orthousands of metagenome-assembled genomes (MAGs) to be obtained directly from environmental samples. It can alsobe applied to isolate and single-cell genomes. 		
gtf-2-gene-list	Utility to extract annotations from Ensembl GTF files.		
gtfToBed12	Convert GTF files to BED12 format		
gubbins	Gubbins - bacterial recombination detection		
guppy	A wrapper for the guppy basecaller tool from Oxford Nanopore Technologies		
gvcftools	gvcftools is a set of utilities to help create and analyze Genome VCF (gVCF) files.gVCF are VCF 4.1 files which follow a set of conventions for representing all sitesin the genome, further described at https://sites.google.com/site/gvcftools/home/about-gvcf.		
gwastools			
hamronization	Convert AMR gene detection tool output to hAMRonization specification format.		
hansel	Heidelberg and Enteritidis SNP Elucidation		
hapcut2	Robust and accurate haplotype assembly for diverse sequencing technologies		
hapog	Hapo-G - Haplotype-Aware Polishing of Genomes		
happy	A tool to perform comparisons only based on chromosome, position, and allele identity for comparison of somatic callsets.		
hardklor	Hardklör		
hclust2	Plots heatmaps		
hcluster_sg	Hierarchically clustering on a sparse graph		
hcluster_sg_parser	Converts hcluster_sg 3-column output into lists of ids		
heatmap2	heatmap.2 function from the R gplots package		
heinz	An algorithm for identification of the optimal scoring subnetwork.		
helixer	Gene calling with Deep Neural Networks		
hess	Basic analysis of Data Level 3 public data sample of HESS gamma-ray telescope		
hgv_fundo	FunDO human genes associated with disease terms		
hgv_hilbertvis	HVIS visualization of genomic data with the Hilbert curve		
hgvsparser	Parsing and building variant descriptor strings compliant with the HGVS standard		
hicexplorer	HiCExplorer: Set of programs to process, analyze and visualize Hi-C data.		
hicstuff	A toolkit to generate and manipulate Hi-C matrices		
hictk	Convert cooler to juicebox_hic		
hicup	The HiCUP-Pipeline from the Bioinformatics Babraham Institute.		
hifiasm	A fast haplotype-resolved de novo assembler		
hifiasm_meta	A hifiasm fork for metagenome assembly using Hifi reads.		
high_dim_heatmap	gplot heatmap.2 function adapted for plotting large heatmaps		
hirondelle_crim_ogc_api_processes	This tool is a wrapper for OGC API Processes coming from https://osf.io/gfbws/.		
hisat	HISAT is a fast and sensitive spliced alignment program.		
hisat2	HISAT2 is a fast and sensitive spliced alignment program.		
histogram	Histogram of a numeric column		
hivclustering	Infers transmission networks from pairwise distances inferred by tn93		
hivtrace	An application that identifies potential transmission clusters within a supplied FASTA file with an option to find potential links against the Los Alamos HIV Sequence Database.		
hmmer3	HMMER is used for searching sequence databases for homologs of proteinsequences, and for making protein sequence alignments. It implementsmethods using probabilistic models called profile hidden Markov models(profile HMMs).		
homer	HOMER (Hypergeometric Optimization of Motif EnRichment) is a suite of tools for Motif Discovery and next-gen sequencing analysis.		
homer	Software for motif discovery and next generation sequencing analysis.		
htseq-clip	htseq-clip is a toolset for the analysis of eCLIP/iCLIP datasets		
htseq_count	Count aligned reads (SAM/BAM) that overlap genomic features (GFF)		
humann	HUMAnN for functionally profiling metagenomes and metatranscriptomes at species-level resolution		
hybpiper	Analyse targeted sequence capture data		
hyperstack_to_bleach_corrected_movie	Generate blach corrected movie from hyperstack		
hyphy	Hypothesis Testing using Phylogenies		
hypo	Super Fast & Accurate Polisher for Long Read Genome Assemblies		
icescreen	ICEscreen identifies Integrative Conjugative Elements (ICEs) and Integrative Mobilizable Elements (IMEs) in Bacillota genomes.		
idba_ud	Wrappers for the idba assembler variants.		
idconvert	Convert mass spectrometry identification files on linux or MacOSX		
idr	Galaxy wrappers for the IDR package from Nathan Boleu		
idr_download	Image Data Resource downloading tool		
iedb_api	Get epitope binding predictions from IEDB-API		
illumina_methylation_analyser	Methylation analyzer for Illumina 450k DNA emthylation microarrays		
image_info	Extracts image metadata		
image_math	Process images using arithmetic expressions		
image_registration_affine	Intensity-based Image Registration		
imagecoordinates_flipaxis	Flip coordinate axes		
imagej2	ImageJ2 is a new version of ImageJ for the next generation of multidimensionalimage data, with a focus on scientific imaging.		
improviser	Visualisation of PepXML files		
incucyte_stack_and_upload_omero	Combine images to stack and upload to the omero server		
indels_3way	Fetch Indels from 3-way alignments		
infercnv	Infer Copy Number Variation from Single-Cell RNA-Seq Data		
infernal	"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities."		
influx_data_manager	Handling influx_si data inputs in Galaxy workflows		
influx_si	metabolic flux estimation based on [in]stationary labeling		
inforna	INFO-RNA is a service for the design of RNA sequences that fold into a given pseudo-knot free RNA secondary structure.		
instagraal	Large genome reassembly based on Hi-C data		
instrain	InStrain is a tool for analysis of co-occurring genome populations from metagenomes		
intarna	Efficient RNA-RNA interaction prediction incorporating accessibility and seeding of interaction sites.		
integron_finder	"""IntegronFinder identify integrons with high accuracy and sensitivity.It searches for attC sites using covariance models, for integron-integrases using HMM profiles, and for other features (promoters, attI site) using pattern matching"""		
intermine_galaxy_exchange	InterMine Exporter		
interpolation	Run IDW interpolation based on a .csv and .geojson file		
interproscan	Interproscan queries the interpro database and provides annotations.		
intersect	Intersect the intervals of two datasets		
interval2maf	Extract MAF blocks given a set of intervals		
intervene	Create pairwise and upset plots		
iphop	Integrated Phage Host Prediction		
ipo	[W4M][LC-MS] IPO		
iprscan5	Interproscan queries the interpro database and provides annotations.		
iqtree	Efficient phylogenomic software by maximum likelihood		
irissv	Refine insertion sequences		
isescan	"""ISEScan is a pipeline to identify IS (Insertion Sequence) elements in genome and metagenomebased on profile hidden Markov models constructed from manually curated IS elements."""		
isoformswitchanalyzer	Statistical identification of isoform switching from RNA-seq derived quantification of novel and/or annotated full-length isoforms.		
isolib	Create an isotopic pattern library for given compounds and adducts.		
isoplot	Isoplot is a software for the visualisation of MS data from C13 labelling experiments		
itsx	ITSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences.		
ivar	iVar is a computational package that contains functions broadly useful for viral amplicon-based sequencing		
iwtomics	Interval-Wise Testing for Omics Data		
jasminesv	Merge structural variants across samples		
jbrowse	JBrowse Genome Browser integrated as a Galaxy Tool		
jbrowse	A tool allowing to export a JBrowse dataset into a JBrowse docker container		
jbrowse2	JBrowse2 Genome Browser integrated as a Galaxy Tool		
jcvi_gff_stats	Compute statistics from a genome annotation in GFF3 format (using JCVI Python utilities)		
jellyfish	Jellyfish is a tool for fast, memory-efficient counting of k-mers in DNA		
join	Join the intervals of two datasets side-by-side		
join_files_by_id	This tool will join datasets according to a column with identifier		
join_files_on_column_fuzzy	Join two files on a common column, allowing a certain difference.		
jq	JQ is a lightweight and flexible command-line JSON processor		
jupyter_job	Run jupyter notebook script in Galaxy		
justdiff	Unix diff		
justgzip	Compress fastq sequence files		
jvarkit	Jvarkit : Java utilities for Bioinformatics		
kallisto	kallisto is a program for quantifying abundances of transcripts from RNA-Seqdata, or more generally of target sequences using high-throughput sequencingreads. It is based on the novel idea of pseudoalignment for rapidlydetermining the compatibility of reads with targets, without the need foralignment.		
kaptive	Kaptive reports information about capsular (K) loci found in genome assemblies.		
kat_filter	Filtering kmers or reads from a database of kmers hashes		
kat_sect	SEquence Coverage estimator Tool. Estimates the coverage of each sequence in a file using K-mers from another sequence file.		
kc-align	Kc-Align custom tool		
kegalign	A Scalable GPU System for Pairwise Whole Genome Alignments based on LASTZ's seed-filter-extend paradigm.		
kernel_canonical_correlation_analysis	Kernel Canonical Correlation Analysis		
kernel_principal_component_analysis	Kernel Principal Component Analysis		
khmer	In-memory nucleotide sequence k-mer counting, filtering, graph traversal and more		
king	Kinship-based INference for Gwas		
kinwalker	Kinwalker splits the folding process into a series of events where each event can either be a folding event or a transcription event.		
kleborate	Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC)		
kma	Map with KMA		
kmd_hmdb_data_plot	retrieves data from KMD HMDB API and produce plot and csv file		
kofamscan	Gene function annotation tool based on KEGG Orthology and hidden Markov model		
kraken	Kraken is a system for assigning taxonomic labels to short DNAsequences, usually obtained through metagenomic studies. Previous attempts by otherbioinformatics software to accomplish this task have often used sequence alignmentor machine learning techniques that were quite slow, leading to the developmentof less sensitive but much faster abundance estimation programs. Kraken aims toachieve high sensitivity and high speed by utilizing exact alignments of k-mersand a novel classification algorithm.		
kraken2	Kraken2 for taxonomic designation.		
kraken2tax	Convert Kraken output to Galaxy taxonomy data.		
kraken_biom	Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/)		
kraken_taxonomy_report	Kraken taxonomy report		
krakentools	KrakenTools is a suite of scripts to be used alongside the Kraken		
krocus	Predict MLST directly from uncorrected long reads		
label_to_binary	Convert label map to binary image		
labelimage2points	Label Image to Points		
labels	remaps and annotates alignments		
landmark_registration	Landmark Registration		
last	LAST finds similar regions between sequences.		
lastz	Galaxy wrappers for the Lastz and Lastz_d		
lastz_paired_reads	Galaxy wrapper for the Lastz alignment tool on paired reads		
lca_wrapper	Find lowest diagnostic rank		
lcrgenie	Ligase Chain Reaction Genie		
lda_analysis	Perform Linear Discriminant Analysis		
legsta	Performs in silico Legionella pneumophila sequence based typing.		
length_and_gc_content	Gets gene length and gc content from a fasta and a GTF file		
lfq_protein_quant	Enable protein summarisation and quantitation		
lighter	Lighter is a kmer-based error correction method for whole genome sequencing data		
limma_voom	Perform RNA-Seq differential expression analysis using limma voom pipeline		
lineagespot	Identification of SARS-CoV-2 related metagenomic mutations based on a single (or a list of) variant(s) file(s)		
linear_regression	Perform Linear Regression		
links	Scaffold genome assemblies with long reads.		
locarna	LocARNA - A suite for multiple alignment and folding of RNAs		
lofreq	LoFreq is a fast and sensitive variant-caller for inferring SNVs and indelsfrom next-generation sequencing data. It makes full use of base-call qualitiesand other sources of errors inherent in sequencing (e.g. mapping or base/indelalignment uncertainty), which are usually ignored by other methods or onlyused for filtering.		
logistic_regression_vif	Perform Logistic Regression with vif		
logol	Logol is a pattern matching grammar language and a set of tools to search a pattern in a sequence		
longorf	obtain longest ORF in six-frame translations		
lorikeet	Tools for M. tuberculosis DNA fingerprinting (spoligotyping)		
lotus2	LotuS2 OTU processing pipeline		
ltq_iquant_cli			
lumpy_smoove	Galaxy wrapper of the lumpy-using smoove workflow		
lumpy_sv	LUMPY - a general probabilistic framework for structural variant discovery		
lumpy_sv	Find structural variations		
m6anet	m6anet to detect m6A RNA modifications from nanopore data		
maaslin2	MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.		
macs2	MACS - Model-based Analysis of ChIP-Seq		
maf_cpg_filter	Mask CpG/non-CpG sites from MAF file		
maf_stats	MAF Coverage statistics		
mafft	Multiple alignment program for amino acid or nucleotide sequences		
maftoaxt	Convert dataset from MAF to axt format		
mageck	Model-based Analysis of Genome-wide CRISPR-Cas9 Knockout (MAGeCK) is a computational tool to identifyimportant genes from the recent genome-scale CRISPR-Cas9 knockout screens technology.		
mahotas_features	Compute image features using mahotas.		
make_data_paper_sketches	This tool derived from the R Shiny App MetaShRIMPS <https://github.com/TanguyGen/metaCure> is made to produce draft of data paper from Ecological Metadata Language (EML) based metadata documents.		
make_nr	Make a FASTA file non-redundant		
maker	MAKER is a portable and easily configurable genome annotation pipeline.Its purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.		
maldiquant	MALDIquant provides a complete analysis pipeline for MALDI-TOF and other 2D mass spectrometry data.		
malt	Aligns an input sequence (DNA or proteins) against an index representing a collection of reference DNA or protein sequences.		
manta	Structural variant and indel caller for mapped sequencing data		
map_param_value	Map a parameter value to another value		
map_peptides_to_bed	Map peptides to a reference genome for display by a genome browser		
mapping_quality_stats	Collects and shows the distribution of MAPQ values in a BAM alignment file		
mapping_to_ucsc	Format mapping data as UCSC custom track		
mapseq	fast and accurate sequence read classification tool designed to assign taxonomy and OTU classifications to ribosomal RNA sequences.		
marine_omics	The Sanntis tool identify biosynthetic gene clusters (BGCs) in genomic & metagenomic data		
mash	Fast genome and metagenome distance estimation using MinHash		
mashmap	Fast local alignment boundaries		
masigpro	Identify significantly differential expression profiles in time-course microarray experiments		
matchms	Searching, filtering and converting mass spectral libraries.		
mauve_contig_mover	Order a draft genome relative to a related reference genome		
mavedb	data source for MaveDB		
maxbin2	clusters metagenomic contigs into bins		
maxquant	wrapper for MaxQuant		
mcl	The Markov Cluster Algorithm, a cluster algorithm for graphs		
mdanalysis	MDAnalysis is a package for analyzing trajectories from molecular dynamics (MD) simulations		
mdfileconverter	A tool for interconverting between different MD structure and trajectory file formats.		
mdslicer	A tool for slicing trajectory files using MDTraj.		
mdtraj	MDTraj is a python library that allows users to manipulate molecular dynamics (MD) trajectories		
mea	Maximum expected accuracy prediction		
mean-per-zone	Creates a png image showing statistic over areas as defined in the vector file		
measure_gastruloids	Get the ROI coordinates around the gastruloids as well as measurements like Area, elongation index		
medaka	Sequence correction provided by ONT Research		
medenv	Retrieve environmental data from etopo, cmems and woa		
megablast_xml_parser	Parse blast XML output		
megahit	An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.		
megahit_contig2fastg	A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg)		
megan	MEGAN Community Edition - Interactive exploration and analysis of large-scale microbiome sequencing data.  MEGAN is a tool for studying the taxonomic content of a set of DNA reads, typically collected in a metagenomics project.In a preprocessing step, a sequence alignment of all reads against a suitable database of reference DNA or proteinsequences must be performed to produce an input file for the program. MEGAN is suitable for DNA reads (metagenomedata), RNA reads (metatranscriptome data), peptide sequences (metaproteomics data) and, using a suitable synonymsfile that maps SILVA ids to taxon ids, for 16S rRNA data (amplicon sequencing).		
meme	The MEME Suite allows the biologist to discover novel motifs in collections of unaligned nucleotideor protein sequences, and to perform a wide variety of other motif-based analyses.		
meme_chip	Performs motif discovery, motif enrichment analysis and clustering on large nucleotide datasets.		
meneco	Meneco computes minimal completions to your draft network with reactions from a repair network		
meningotype	Assign sequence type to N. meningitidis genome assemblies		
merge	Merge the overlapping intervals of a dataset		
merge_cols	Merge columns together.		
mergeneighboursinlabelimage	Merge Neighbours in Label Image		
merlin	Pedigree Analysis package		
merqury	Merqury is a tool for evaluating genomes assemblies based of k-mer operations.		
meryl	Meryl a k-mer counter.		
meta_proteome_analyzer	MetaProteomeAnalyzer		
metabat2	MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.		
metabuli	Classifying metagenomes by jointly analysing both DNA and amino acid (AA) sequences		
metaeuk	MetaEuk is a modular toolkit designed for large-scale gene discovery andannotation in eukaryotic metagenomic contigs. Metaeuk combines the fast andsensitive homology search capabilities of MMseqs2 with a dynamic programmingprocedure to recover optimal exons sets. It reduces redundancies in multiplediscoveries of the same gene and resolves conflicting gene predictions onthe same strand. 		
metagene_annotator	MetaGeneAnnotator gene-finding program for prokaryote and phage		
metagenomeseq	metagenomeSeq Normalization		
metanovo	Produce targeted databases for mass spectrometry analysis.		
metaphlan	MetaPhlAn for Metagenomic Phylogenetic Analysis		
metaquantome	quantitative analysis of microbiome taxonomy and function		
metawrapmg	A flexible pipeline for genome-resolved metagenomic data analysis		
metfrag	[Metabolomics][LC-MS][MS/MS] MetFrag - Perform metfrag analysis (can work with the output from msPurity)		
metfrag-vis	[Metabolomics][LC-MS][MS/MS] This tool summarises the results generated by MetFrag		
methtools	tools for methylation analysis		
methyldackel	A tool for processing bisulfite sequencing alignments		
methylkit	A method for DNA methylation analysis and annotation from high-throughput bisulfite sequencing.		
metilene	Differential DNA methylation calling		
mfassignr	The MFAssignR package was designed for multi-element molecular formula (MF) assignment of ultrahigh resolution mass spectrometry measurements		
mg_toolkit	Metagenomics toolkit enables scientists to download all of the sample metadata for a given study or sequence to a single csv file.		
mgf_formatter			
mgnify_seqprep	A modifiied vesion of SeqPrep. Made for use with the MGnify pipelines.		
miclip	Identification of binding sites in CLIP-Seq data.		
microsatbed	Select microsatellites for a bed file		
microsatellite_birthdeath	Identify microsatellite births and deaths		
microsats_alignment_level	Extract Orthologous Microsatellites from pair-wise alignments		
microsats_mutability	Estimate microsatellite mutability by specified attributes		
migmap	mapper for full-length T- and B-cell repertoire sequencing		
minced	MinCED - Mining CRISPRs in Environmental Datasets		
mine	Maximal Information-based Nonparametric Exploration		
minia	Short-read assembler based on a de Bruijn graph		
miniasm	Miniasm - Ultrafast de novo assembly for long noisy reads (though having no consensus step)		
minimap2	A fast pairwise aligner for genomic and spliced nucleotide sequences		
minipolish	Polishing miniasm assemblies		
miniprot	Align a protein sequence against a genome with affine gap penalty, splicing and frameshift.		
miranda	Finds potential target sites for miRNAs in genomic sequences		
miranda2asko	Converts miRanda output into AskOmics format		
mircounts	Generates miRNA count lists from read alignments to mirBase.		
mirmachine	Tool to detect miRNA in genome sequences		
mirnature	Computational detection of canonical microRNAs		
misc			
mitobim	assemble mitochondrial genomes		
mitohifi	Assembly mitogenomes from Pacbio HiFi read.		
mitos	de-novo annotation of metazoan mitochondrial genomes		
mixmodel4repeated_measures	[Metabolomics][W4M][Statistics] Mixed models - Analysis of variance for repeated measures using mixed model		
mlst	Scan contig files against PubMLST typing schemes		
moFF	moFF (a modest Feature Finder) extracts MS1 intensities from RAW and mzML spectrum files.		
moabs	MOABS for differential methylation analysis on Bisulfite sequencing data.		
mob_suite	MOB-suite is a set of software tools for clustering, reconstruction and typing of plasmids from draft assemblies		
molecule2gspan	converter		
monocle3	De-composed monocle3 functionality tools, based on https://github.com/ebi-gene-expression-group/monocle-scripts and monocle3 0.1.2.		
morpheus	Morpheus MS Search Application		
morphological_operations	Apply morphological operations to images		
mosdepth	fast and flexible BAM/CRAM depth calculation		
mothur	Mothur wrappers		
motus	Tool for profiling the abundance of microbial taxa.		
mqc	Ribosome profiling mapping quality control tool		
mqppep	MaxQuant Phosphoproteomic Enrichment Pipeline - Preprocessing and ANOVA		
mrbayes	A program for the Bayesian estimation of phylogeny.		
ms2deepscore	Mass spectra similarity scoring using a trained ms2deepscore model.		
ms2snoop	[W4M][Utils] Extraction et nettoyage des spectre MS1/2 post-traitement MSPurity.		
msPurity	[Metabolomics][LC-MS][DIMS][MS/MS] msPurity -  R package for precursor ion purity assessments, data processing and spectral matching for LC-MS(/MS) and DI-MS(/MS) data		
msaboot	A multiple sequences alignment bootstrapping tool.		
msconvert	msconvert Convert and/or filter mass spectrometry files (including vendor formats) using the official Docker container		
msgfplus	MSGF+		
msmetaenhancer			
msms_extractor	Extract MS/MS scans from the mzML file(s) based on PSM report.		
msp_merge			
msp_split	[Metabolomics][LC-MS][DIMS][MS/MS] msPurity -  R package for precursor ion purity assessments, data processing and spectral matching for LC-MS(/MS) and DI-MS(/MS) data		
msstats	MSstats tool for analyzing mass spectrometry proteomic datasets		
msstatstmt	MSstatsTMT protein significance analysis in shotgun mass spectrometry-based proteomic experiments with tandem mass tag (TMT) labeling		
mt2mq	Tool to prepare metatranscriptomic outputs from ASaiM for Metaquantome		
multigps	Analyzes collections of multi-condition ChIP-seq data.		
