Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
ez_histograms	ez_histograms	ggplot2 histograms and density plots								To update	https://github.com/tidyverse/ggplot2	Visualization, Statistics	ez_histograms	2024-02-07	artbio	https://github.com/artbio/tools-artbio/tree/main/tools/ez_histograms	https://github.com/ARTbio/tools-artbio/tree/main/tools/ez_histograms	3.4.4	r-ggplot2	2.2.1			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fasta_clipping_histogram	cshl_fasta_clipping_histogram	Length Distribution chart								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Graphics, Statistics	fasta_clipping_histogram	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fasta_clipping_histogram	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fasta_clipping_histogram	0.0.14	fastx_toolkit	0.0.14			0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5191	5367	104	130	5191	5367	104	130	False		
fastq_quality_boxplot	cshl_fastq_quality_boxplot	Draw quality score boxplot								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fastq Manipulation, Graphics, Statistics	fastq_quality_boxplot	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastq_quality_boxplot	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastq_quality_boxplot	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1271	1393	131	176	12763	58819	2073	8850	430	479	32	51	14464	60691	2236	9077	False		
fastx_quality_statistics	cshl_fastx_quality_statistics	Compute quality statistics								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fastq Manipulation, Statistics	fastx_quality_statistics	2018-04-24	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastx_quality_statistics	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastx_quality_statistics	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	2218	2344	168	206	20551	60032	3784	9866	2347	2460	234	256	25116	64836	4186	10328	False		
fgsea	fgsea	Perform gene set testing using fgsea	fgsea	fgsea		fgsea	The package implements an algorithm for fast gene set enrichment analysis. Using the fast algorithm allows to make more permutations and get more fine grained p-values, which allows to use accurate stantard approaches to multiple hypothesis correction.	Gene-set enrichment analysis	Genetics	To update	https://bioconductor.org/packages/release/bioc/html/fgsea.html	Visualization, Transcriptomics, Statistics	fgsea	2018-10-19	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/fgsea	https://github.com/galaxyproject/tools-iuc/tree/main/tools/fgsea	1.8.0+galaxy1	bioconductor-fgsea	1.28.0	Gene-set enrichment analysis	Genetics	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5618	5820	582	607	21673	21673	938	938	869	869	110	110	28160	28362	1630	1655	False		
filter_compounds	filter_orgmet_anorg	Tool for filtering organometallics/anorganic compounds from a list of compounds.								To update	https://github.com/RECETOX/galaxytools/	Metabolomics	filter_compounds	2021-01-06	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/filter_compounds	https://github.com/RECETOX/galaxytools/tree/master/tools/filter_compounds	3.1.1	openbabel	2.3.90dev7d621d9			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fisher_test	fishertest	Fisher's exact test on two-column hit lists.								To update	http://artbio.fr	RNA, Statistics	fishertest	2015-06-17	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/fisher_test	https://github.com/ARTbio/tools-artbio/tree/main/tools/fisher_test	2.32.0+galaxy0	bioconductor-qvalue	2.34.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
flexynesis	flexynesis	This is a deep-learning based multi-omics bulk sequencing data integration suite with a focus on (pre-)clinical endpoint prediction.								Up-to-date	https://github.com/BIMSBbioinfo/flexynesis/tree/main	Machine Learning, Statistics, Systems Biology	flexynesis	2024-08-12	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/flexynesis	https://github.com/bgruening/galaxytools/tree/master/tools/flexynesis	0.2.10	flexynesis	0.2.10			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	2	2	0	0	0	0	0	0	0	0	9	9	2	2	False		
free_energy		Free energy tools of BRIDGE.								To update		Molecular Dynamics, Computational chemistry	freeenergy	2019-11-11	chemteam	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tools/free_energy	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/free_energy						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
garnett	garnett_check_markers, garnett_classify_cells, garnett_get_feature_genes, garnett_get_std_output, garnett_train_classifier, garnett_transform_markers, update_marker_file	De-composed Garnett functionality tools, see https://github.com/ebi-gene-expression-group/garnett-cli and r-garnett 0.2.8								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_garnett	2020-04-03	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/garnett	0.2.8	garnett-cli	0.0.5			0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27	11	11	0	0	0	0	0	0	0	0	27	27	11	11	False		
gc_derivatization	gc_derivatization	In silico derivatization for GC.								Up-to-date	https://github.com/RECETOX/gc-meox-tms	Metabolomics	gc_derivatization	2024-03-15	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/gc_derivatization	https://github.com/RECETOX/galaxytools/tree/master/tools/gc_derivatization	1.0.1	gc-meox-tms	1.0.1			0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
gcms2isocor	gcms2isocor	Conversion from GCMS PostRun Analysis to Isocor								To update		Metabolomics	gcms2isocor	2021-09-16	genouest		https://github.com/genouest/galaxy-tools/tree/master/tools/gcms2isocor	0.1.0	openjdk				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
gcms2isocor	gcms2isocor	Corrective method dedicated to Isocor for calculating carbon isotopologue distribution from GCMS runs								To update	https://github.com/p2m2/p2m2tools	Metabolomics	gcms2isocor	2023-03-15	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/gcms2isocor/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/gcms2isocor	0.2.1					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
genform	genform	genform: generation of molecular formulas by high-resolution MS and MS/MS data								To update	https://sourceforge.net/projects/genform/	Metabolomics	genform	2019-09-12	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/genform/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/genform		genform	r8			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	68	68	4	4	0	0	0	0	0	0	0	0	68	68	4	4	False		
genomescope	genomescope	Analyze unassembled short reads								Up-to-date	https://github.com/tbenavi1/genomescope2.0	Statistics	genomescope	2021-04-30	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/genomescope	https://github.com/galaxyproject/tools-iuc/tree/main/tools/genomescope	2.0.1	genomescope2	2.0.1			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3181	3181	665	665	2112	2112	435	435	1622	1622	148	148	6915	6915	1248	1248	False		
goseq	goseq	goseq does selection-unbiased testing for category enrichment amongst differentially expressed (DE) genes for RNA-seq data	goseq	goseq		GOseq	Detect Gene Ontology and/or other user defined categories which are over/under represented in RNA-seq data.	Gene functional annotation	RNA-Seq	To update	https://bioconductor.org/packages/release/bioc/html/goseq.html	Statistics, RNA, Micro-array Analysis	goseq	2018-09-30	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/goseq	https://github.com/galaxyproject/tools-iuc/tree/main/tools/goseq	1.50.0	bioconductor-goseq	1.54.0	Gene functional annotation	RNA-Seq	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	20207	21960	2807	3139	24488	26198	3066	3321	4155	4155	545	545	48850	52313	6418	7005	False		
gprofiler	gprofiler_convert, gprofiler_gost, gprofiler_orth, gprofiler_random, gprofiler_snpense	functional enrichment analysis of gene lists, convertion between various types of namespaces, translation gene identifiers between organisms and more								To update	https://biit.cs.ut.ee/gprofiler	Statistics, Web Services	gprofiler	2019-10-30	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/gprofiler/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/gprofiler	@TOOL_VERSION@+galaxy11	r-gprofiler2				5	0	5	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	4001	4001	614	614	7882	7882	1238	1238	0	0	0	0	11883	11883	1852	1852	False		
graphembed	graphembed	Compute a 2D embedding of a data matrix given supervised class information								Up-to-date	https://github.com/fabriziocosta/GraphEmbed	Statistics, Graphics	graphembed	2019-12-10	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/graphembed/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/graphembed	2.4	graph_embed	2.4			1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	78	78	6	6	120	120	43	43	0	0	0	0	198	198	49	49	False		
gromacs	gmx_check, gmx_editconf, gmx_energy, gmx_get_builtin_file, gmx_rg, gmx_makendx, gmx_merge_topology_files, gmx_em, gmx_restraints, gmx_rmsd, gmx_rmsf, gmx_setup, gmx_sim, gmx_solvate, gmx_trj	GROMACS is a package for performing molecular dynamics, primarily designed for biochemical molecules such as proteins, lipids and nucleic acids.								To update	https://github.com/gromacs	Molecular Dynamics, Computational chemistry	gromacs	2022-03-22	chemteam	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/gromacs	https://github.com/galaxycomputationalchemistry/galaxy-tools-compchem/tree/master/tools/gromacs	2022	gromacs	2021.3			14	8	15	0	14	8	15	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	9	0	184067	184203	3441	3451	9382	9382	1438	1438	10325	10325	648	648	203774	203910	5527	5537	False		
gsc_center_scale	center_scale	Center or scale (standardize) data								To update	http://artbio.fr	Statistics	gsc_center_scale	2019-07-09	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/gsc_center_scale	https://github.com/ARTbio/tools-artbio/tree/main/tools/gsc_center_scale	4.3.1+galaxy0	r-optparse	1.3.2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
heinz	heinz_bum, heinz, heinz_scoring, heinz_visualization	An algorithm for identification of the optimal scoring subnetwork.	heinz	heinz, bionet		Heinz	Tool for single-species active module discovery.	Pathway or network analysis	Genetics, Gene expression, Molecular interactions, pathways and networks	To update	https://github.com/ls-cwi/heinz	Transcriptomics, Visualization, Statistics	heinz	2018-06-11	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/heinz	https://github.com/galaxyproject/tools-iuc/tree/main/tools/heinz	1.0	bioconductor-bionet	1.62.0	Pathway or network analysis	Genetics, Gene expression, Molecular interactions, pathways and networks	4	4	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	1281	1434	367	442	1559	1559	636	636	678	678	52	52	3518	3671	1055	1130	False		
histogram	histogram_rpy	Histogram of a numeric column								To update		Graphics, Statistics	histogram	2014-07-28	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/histogram	https://github.com/galaxyproject/tools-devteam/tree/main/tools/histogram	1.0.4	rpy2	2.7.8			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3748	4661	866	1002	5993	48272	1507	7101	549	746	152	253	10290	53679	2525	8356	False		
influx_data_manager	influx_data_manager	Handling influx_si data inputs in Galaxy workflows								To update	https://github.com/MetaboHUB-MetaToul-FluxoMet/tools_w4m/	Metabolomics	influx_si_data_manager	2024-02-09	workflow4metabolomics	https://github.com/MetaboHUB-MetaToul-FluxoMet/tools_w4m/tree/main/tools/influx_data_manager	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/influx_data_manager	1.0.2	influx-si-data-manager	1.0.3			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
influx_si	influx_si	metabolic flux estimation based on [in]stationary labeling								To update	https://github.com/sgsokol/influx	Metabolomics	influx_si	2020-04-17	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/influx_si/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/influx_si	7.0.1	influx_si	7.1.0			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
intervene	intervene_pairwise, intervene_upset	Create pairwise and upset plots	intervene	intervene		Intervene	Tool for intersection and visualization of multiple gene or genomic region sets. Intervene contains three modules: venn to generate Venn diagrams of up to six sets, upset to generate UpSet plots of multiple sets, and pairwise to compute and visualize intersections of multiple sets as clustered heat maps.	Sequence comparison, Sequence visualisation	Computational biology	Up-to-date	https://intervene.readthedocs.io	Statistics	intervene	2018-09-11	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/intervene	https://github.com/galaxyproject/tools-iuc/tree/main/tools/intervene	0.6.5	intervene	0.6.5	Sequence comparison, Sequence visualisation	Computational biology	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1557	1607	278	292	4458	4458	458	458	0	0	0	0	6015	6065	736	750	False		
ipo	ipo4retgroup, ipo4xcmsSet	[W4M][LC-MS] IPO								To update	https://github.com/rietho/IPO	Metabolomics	ipo	2019-10-03	lecorguille	https://github.com/rietho/IPO	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/ipo	1.10.0	bioconductor-ipo	1.28.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
isoformswitchanalyzer	isoformswitchanalyzer	Statistical identification of isoform switching from RNA-seq derived quantification of novel and/or annotated full-length isoforms.	IsoformSwitchAnalyzeR	IsoformSwitchAnalyzeR		IsoformSwitchAnalyzeR	Enables identification of isoform switches with predicted functional consequences from RNA-seq data. Consequences can be chosen from a long list but includes protein domains gain/loss changes in NMD sensitivity etc. It directly supports import of data from Cufflinks/Cuffdiff, Kallisto, Salmon and RSEM but other transcript qunatification tools are easy to import as well.	Sequence comparison, Sequence analysis	Computational biology, Gene transcripts	To update	https://bioconductor.org/packages/devel/bioc/html/IsoformSwitchAnalyzeR.html	Transcriptomics, RNA, Statistics	isoformswitchanalyzer	2023-05-24	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/isoformswitchanalyzer	https://github.com/galaxyproject/tools-iuc/tree/main/tools/isoformswitchanalyzer	1.20.0	bioconductor-isoformswitchanalyzer	2.2.0	Sequence comparison, Sequence analysis	Computational biology, Gene transcripts	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1301	1301	59	59	1331	1331	60	60	507	507	9	9	3139	3139	128	128	False		
isolib	isolib	Create an isotopic pattern library for given compounds and adducts.								To update	https://github.com/RECETOX/galaxytools/	Metabolomics	isolib	2023-10-26	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/isolib	https://github.com/RECETOX/galaxytools/tree/master/tools/isolib	1.0.1+galaxy0	bioconductor-metabocoreutils	1.10.0			0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
isoplot	isoplot	Isoplot is a software for the visualisation of MS data from C13 labelling experiments								To update		Metabolomics, Visualization	isoplot	2021-07-12	workflow4metabolomics	https://github.com/llegregam/Isoplot/tree/main	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/isoplot	1.3.0+galaxy1	isoplot	1.3.1			0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	3	3	0	0	0	0	0	0	0	0	4	4	3	3	False		
iwtomics	iwtomics_loadandplot, iwtomics_plotwithscale, iwtomics_testandplot	Interval-Wise Testing for Omics Data	iwtomics	iwtomics		IWTomics	"Implementation of the Interval-Wise Testing (IWT) for omics data. This inferential procedure tests for differences in ""Omics"" data between two groups of genomic regions (or between a group of genomic regions and a reference center of symmetry), and does not require fixing location and scale at the outset."	Differential gene expression analysis, Differentially-methylated region identification, Peak calling, Genome annotation, Comparison	Statistics and probability	To update	https://bioconductor.org/packages/release/bioc/html/IWTomics.html	Statistics	iwtomics	2017-06-08	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/iwtomics	https://github.com/galaxyproject/tools-iuc/tree/main/tools/iwtomics	1.0.0	bioconductor-iwtomics	1.26.0	Differential gene expression analysis, Peak calling, Genome annotation, Comparison	Statistics and probability	3	3	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	675	690	27	28	159	251	29	49	383	383	12	12	1217	1324	68	89	False		
kernel_canonical_correlation_analysis	kcca1	Kernel Canonical Correlation Analysis								To update		Statistics	kernel_canonical_correlation_analysis	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/kernel_canonical_correlation_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/kernel_canonical_correlation_analysis	1.0.0	rpy				1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	62	70	4	4	207	334	27	71	0	0	0	0	269	404	31	75	False		
kernel_principal_component_analysis	kpca1	Kernel Principal Component Analysis								To update		Statistics	kernel_principal_component_analysis	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/kernel_principal_component_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/kernel_principal_component_analysis	1.0.0	rpy				1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	144	157	26	30	268	707	83	248	0	0	0	0	412	864	109	278	False		
kmd_hmdb_data_plot	kmd_hmdb_data_plot	retrieves data from KMD HMDB API and produce plot and csv file								To update	https://github.com/workflow4metabolomics/tools-metabolomics	Metabolomics	kmd_hmdb_data_plot	2023-07-10	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/kmd_hmdb_data_plot/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/kmd_hmdb_data_plot	1.0.0	python				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
lda_analysis	lda_analy1	Perform Linear Discriminant Analysis								To update		Graphics, Statistics	lda_analysis	2014-07-28	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/lda_analysis	https://github.com/galaxyproject/tools-devteam/tree/main/tools/lda_analysis	1.0.1	R				1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	147	159	46	48	793	1538	101	314	0	4	0	3	940	1701	147	365	False		
length_and_gc_content	length_and_gc_content	Gets gene length and gc content from a fasta and a GTF file								To update	https://github.com/galaxyproject/tools-iuc/tree/master/tools/length_and_gc_content	Fasta Manipulation, Statistics, RNA, Micro-array Analysis	length_and_gc_content	2016-11-13	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/length_and_gc_content	https://github.com/galaxyproject/tools-iuc/tree/main/tools/length_and_gc_content	0.1.2	r-optparse	1.3.2			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	4349	4466	666	698	2093	2286	928	998	201	201	77	77	6643	6953	1671	1773	False		
limma_voom	limma_voom	Perform RNA-Seq differential expression analysis using limma voom pipeline	limma	limma		limma	Data analysis, linear models and differential expression for microarray data.	RNA-Seq analysis	Molecular biology, Genetics	Up-to-date	http://bioconductor.org/packages/release/bioc/html/limma.html	Transcriptomics, RNA, Statistics	limma_voom	2019-02-17	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/limma_voom	https://github.com/galaxyproject/tools-iuc/tree/main/tools/limma_voom	3.58.1	bioconductor-limma	3.58.1	RNA-Seq analysis	Molecular biology, Genetics	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	23442	24466	2379	2475	45734	49342	4565	5032	9327	9517	835	842	78503	83325	7779	8349	False		
linear_regression	LinearRegression1	Perform Linear Regression								To update		Statistics	linear_regression	2014-04-01	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/linear_regression	https://github.com/galaxyproject/tools-devteam/tree/main/tools/linear_regression	1.0.1	R				1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	1103	31	271	0	0	0	0	146	1103	31	271	False		
logistic_regression_vif	LogisticRegression	Perform Logistic Regression with vif								To update		Sequence Analysis, Variant Analysis, Statistics	logistic_regression_vif	2014-04-01	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/logistic_regression_vif	https://github.com/galaxyproject/tools-devteam/tree/main/tools/logistic_regression_vif	1.0.1	numpy				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	173	12	48	0	0	0	0	64	173	12	48	False		
macs2	macs2_bdgbroadcall, macs2_bdgcmp, macs2_bdgdiff, macs2_bdgpeakcall, macs2_callpeak, macs2_filterdup, macs2_predictd, macs2_randsample, macs2_refinepeak	MACS - Model-based Analysis of ChIP-Seq	macs	macs		MACS	Model-based Analysis of ChIP-seq data.	Peak calling, Enrichment analysis, Gene regulatory network analysis	ChIP-seq, Molecular interactions, pathways and networks, Transcription factors and regulatory sites	Up-to-date	https://github.com/taoliu/MACS	Sequence Analysis, Statistics	macs2	2018-01-21	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/macs2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/macs2	2.2.9.1	macs2	2.2.9.1	Peak calling, Enrichment analysis, Gene regulatory network analysis	ChIP-seq, Molecular interactions, pathways and networks, Transcription factors and regulatory sites	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	9	9	9	0	87810	96069	4980	5629	153500	227569	12946	18825	10988	12301	692	807	252298	335939	18618	25261	False		
