Galaxy wrapper id,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version
megan,"MEGAN Community Edition - Interactive exploration and analysis of large-scale microbiome sequencing data.  MEGAN is a tool for studying the taxonomic content of a set of DNA reads, typically collected in a metagenomics project.In a preprocessing step, a sequence alignment of all reads against a suitable database of reference DNA or proteinsequences must be performed to produce an input file for the program. MEGAN is suitable for DNA reads (metagenomedata), RNA reads (metatranscriptome data), peptide sequences (metaproteomics data) and, using a suitable synonymsfile that maps SILVA ids to taxon ids, for 16S rRNA data (amplicon sequencing).",megan,MEGAN,"Metagenome Analysis Software - MEGAN (MEtaGenome ANalyzer) is a new computer program that allows laptop analysis of large metagenomic datasets. In a preprocessing step, the set of DNA reads (or contigs) is compared against databases of known sequences using BLAST or another comparison tool. MEGAN can then be used to compute and interactively explore the taxonomical content of the dataset, employing the NCBI taxonomy to summarize and order the results.",,Sequence analysis,Up-to-date,https://github.com/husonlab/megan-ce,Sequence Analysis,megan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megan,,megan,
metabat2,MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.,,,,,,Up-to-date,https://bitbucket.org/berkeleylab/metabat/src/master/,Metagenomics,metabat2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metabat2/,,metabat2,
metaeuk,MetaEuk is a modular toolkit designed for large-scale gene discovery andannotation in eukaryotic metagenomic contigs. Metaeuk combines the fast andsensitive homology search capabilities of MMseqs2 with a dynamic programmingprocedure to recover optimal exons sets. It reduces redundancies in multiplediscoveries of the same gene and resolves conflicting gene predictions onthe same strand.,MetaEuk,MetaEuk,"MetaEuk - sensitive, high-throughput gene discovery and annotation for large-scale eukaryotic metagenomics",,"Metagenomics, Gene and protein families",To update,https://github.com/soedinglab/metaeuk,"Sequence Analysis, Genome annotation",,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaeuk,,metaeuk,
metagene_annotator,MetaGeneAnnotator gene-finding program for prokaryote and phage,,,,,,To update,,Sequence Analysis,metagene_annotator,galaxyp,https://github.com/galaxyproteomics/tools-galaxyp/tree/master/metagene_annotator,,metagene_annotator,
metagenomeseq,metagenomeSeq Normalization,metagenomeseq,metagenomeSeq,"Designed to determine features (be it Operational Taxanomic Unit (OTU), species, etc.) that are differentially abundant between two or more groups of multiple samples. It is designed to address the effects of both normalization and under-sampling of microbial communities on disease association detection and the testing of feature correlations.",,"Metagenomics, Sequencing",To update,,Metagenomics,metagenomeseq_normalization,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metagenomeseq,,bioconductor-metagenomeseq,
metaphlan,MetaPhlAn for Metagenomic Phylogenetic Analysis,,,,,,To update,https://github.com/biobakery/MetaPhlAn,Metagenomics,metaphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaphlan/,,metaphlan,
minipolish,Polishing miniasm assemblies,,,,,,Up-to-date,https://github.com/rrwick/Minipolish,Sequence Analysis,minipolish,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/minipolish,,minipolish,
miniprot,"Align a protein sequence against a genome with affine gap penalty, splicing and frameshift.",,,,,,To update,https://github.com/lh3/miniprot,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/miniprot,,miniprot,
mitos,de-novo annotation of metazoan mitochondrial genomes,mitos,MITOS,De novo metazoan mitochondrial genome annotation.,,"Zoology, Whole genome sequencing",To update,http://mitos.bioinf.uni-leipzig.de/,Sequence Analysis,mitos,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mitos,,mitos,
mlst,Scan contig files against PubMLST typing schemes,mlst,MLST,Multi Locus Sequence Typing from an assembled genome or from a set of reads.,,"Immunoproteins, genes and antigens",To update,https://github.com/tseemann/mlst,Sequence Analysis,mlst,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mlst,,mlst,
mob_suite,"MOB-suite is a set of software tools for clustering, reconstruction and typing of plasmids from draft assemblies",,,,,,To update,https://github.com/phac-nml/mob-suite,Sequence Analysis,mob_suite,nml,https://github.com/phac-nml/mob-suite,,mob_suite,
mothur,Mothur wrappers,,,,,,To update,https://www.mothur.org,Metagenomics,mothur,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mothur,,mothur,
mrbayes,A program for the Bayesian estimation of phylogeny.,,,,,,To update,,Sequence Analysis,mrbayes,nml,,,mrbayes,
multiqc,MultiQC aggregates results from bioinformatics analyses across many samples into a single report,multiqc,MultiQC,"MultiQC aggregates results from multiple bioinformatics analyses across many samples into a single report. It searches a given directory for analysis logs and compiles a HTML report. It's a general use tool, perfect for summarising the output from numerous bioinformatics tools.",,"Sequencing, Bioinformatics",To update,http://multiqc.info/,"Fastq Manipulation, Statistics, Visualization",multiqc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/multiqc,,multiqc,
multispecies_orthologous_microsats,Extract orthologous microsatellites,,,,,,To update,,"Sequence Analysis, Variant Analysis",multispecies_orthologous_microsats,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/multispecies_orthologous_microsats,,bx-sputnik,
mykrobe,Antibiotic resistance predictions,Mykrobe,Mykrobe,"Antibiotic resistance prediction for Mycobacterium tuberculosis from genome sequence data with Mykrobe.Antibiotic resistance prediction in minutes.Table of Contents generated with DocToc.AMR prediction (Mykrobe predictor).Before attempting to install with bioconda, please ensure you have your channels set up as specified in the documentation. If you don't, you may run into issues with an older version of mykrobe being installed",,"Whole genome sequencing, Genotype and phenotype, Probes and primers, Genetic variation, Metagenomics",To update,https://github.com/Mykrobe-tools/mykrobe,Sequence Analysis,mykrobe,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mykrobe,,mykrobe,
mykrobe_parser,RScript to parse the results of mykrobe predictor.,,,,,,To update,https://github.com/phac-nml/mykrobe-parser,Sequence Analysis,mykrobe_parser,nml,https://github.com/phac-nml/mykrobe-parser,,r-base,
nanocompore,"Nanocompore compares 2 ONT nanopore direct RNA sequencing datasets from different experimental conditions expected to have a significant impact on RNA modifications. It is recommended to have at least 2 replicates per condition. For example one can use a control condition with a significantly reduced number of modifications such as a cell line for which a modification writing enzyme was knocked-down or knocked-out. Alternatively, on a smaller scale transcripts of interests could be synthesized in-vitro.",Nanocompore,Nanocompore,"RNA modifications detection by comparative Nanopore direct RNA sequencing.RNA modifications detection from Nanopore dRNA-Seq data.Nanocompore identifies differences in ONT nanopore sequencing raw signal corresponding to RNA modifications by comparing 2 samples.Analyses performed for the nanocompore paper.Nanocompore compares 2 ONT nanopore direct RNA sequencing datasets from different experimental conditions expected to have a significant impact on RNA modifications. It is recommended to have at least 2 replicates per condition. For example one can use a control condition with a significantly reduced number of modifications such as a cell line for which a modification writing enzyme was knocked-down or knocked-out. Alternatively, on a smaller scale transcripts of interests could be synthesized in-vitro",,"Functional, regulatory and non-coding RNA, RNA-Seq, Gene transcripts, Transcriptomics, Transcription factors and regulatory sites",To update,https://nanocompore.rna.rocks/,Sequence Analysis,nanocompore,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanocompore,,nanocompore,
nanoplot,Plotting tool for long read sequencing data and alignments,,,,,,To update,https://github.com/wdecoster/NanoPlot,Visualization,nanoplot,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanoplot/,,nanoplot,
nanopolishcomp,NanopolishComp contains 2 modules. Eventalign_collapse collapses the raw file generated by nanopolish eventalign by kmers rather than by event. Freq_meth_calculate methylation frequency at genomic CpG sites from the output of nanopolish call-methylation.,,,,,,To update,https://a-slide.github.io/NanopolishComp,Sequence Analysis,nanopolishcomp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanopolishcomp,,nanopolishcomp,
newick_utils,Perform operations on Newick trees,newick_utilities,Newick Utilities,"The Newick Utilities are a set of command-line tools for processing phylogenetic trees. They can process arbitrarily large amounts of data and do not require user interaction, which makes them suitable for automating phylogeny processing tasks.",,"Phylogeny, Genomics, Computer science",To update,http://cegg.unige.ch/newick_utils,"Visualization, Metagenomics",newick_utils,iuc,https://github.com/tjunier/newick_utils,,newick_utils,
nextclade,Identify differences between your sequences and a reference sequence used by Nextstrain,,,,,,Up-to-date,https://github.com/nextstrain/nextclade,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nextclade,,nextalign,
nonpareil,Estimate average coverage in metagenomic datasets,,,,,,To update,http://nonpareil.readthedocs.io,Metagenomics,nonpareil,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nonpareil,,nonpareil,
nucleosome_prediction,Prediction of Nucleosomes Positions on the Genome,,,,,,Up-to-date,https://genie.weizmann.ac.il/software/nucleo_exe.html,Sequence Analysis,nucleosome_prediction,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/nucleosome_prediction,,nucleosome_prediction,
nugen_nudup,Marks/removes PCR introduced duplicate molecules based on the molecular tagging technology used in NuGEN products.,,,,,,Up-to-date,http://nugentechnologies.github.io/nudup/,"SAM, Metagenomics, Sequence Analysis, Transcriptomics",nugen_nudup,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nugen_nudup,,nudup,
oases,Short read assembler,,,,,,To update,http://artbio.fr,"Assembly, RNA",oases,artbio,https://github.com/ARTbio/tools-artbio/tree/master/tools/oases,,oases,
orfipy,Galaxy wrapper for ORFIPY,,,,,,Up-to-date,https://github.com/urmi-21/orfipy,Sequence Analysis,orfipy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/orfipy,,orfipy,
orthofinder,Accurate inference of orthologous gene groups made easy,OrthoFinder,OrthoFinder,"OrthoFinder is a fast, accurate and comprehensive platform for comparative genomics. It finds orthogroups and orthologs, infers rooted gene trees for all orthogroups and identifies all of the gene duplcation events in those gene trees. It also infers a rooted species tree for the species being analysed and maps the gene duplication events from the gene trees to branches in the species tree. OrthoFinder also provides comprehensive statistics for comparative genomic analyses.",,"Phylogenetics, Phylogenomics, Bioinformatics, Comparative genomics, Sequence analysis",Up-to-date,https://github.com/davidemms/OrthoFinder,"Phylogenetics, Sequence Analysis",orthofinder,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/orthofinder,,orthofinder,
PAMPA,Tools to compute and analyse biodiversity metrics,,,,,,To update,,Ecology,pampa,ecology,https://github.com/ColineRoyaux/PAMPA-Galaxy,,,
pangolin,Phylogenetic Assignment of Named Global Outbreak LINeages,,,,,,To update,https://github.com/hCoV-2019/pangolin,Sequence Analysis,pangolin,nml,https://github.com/hCoV-2019/pangolin,,pangolin,
phyloseq,Handling and analysis of high-throughput microbiome census data,,,,,,Up-to-date,https://www.bioconductor.org/packages/release/bioc/html/phyloseq.html,Metagenomics,phyloseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/phyloseq,,bioconductor-phyloseq,
phyml,PhyML is a phylogeny software based on the maximum-likelihood principle.,phyml,PhyML,Phylogenetic estimation software using Maximum Likelihood,,"Phylogenetics, Bioinformatics, Phylogenetics",To update,http://www.atgc-montpellier.fr/phyml/,Phylogenetics,phyml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/phyml,,phyml,
picrust,PICRUSt wrappers,,,,,,To update,https://picrust.github.io/picrust/,Metagenomics,picrust,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/picrust,,picrust,
plasflow,PlasFlow - Prediction of plasmid sequences in metagenomic contigs.,,,,,,To update,https://github.com/smaegol/PlasFlow,Sequence Analysis,plasflow,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/plasflow,,plasflow,
plasmidfinder,"""PlasmidFinder provides the detection of replicons in the WGSand assigns the plasmids under study to lineages that trace backthe information to the existing knowledge on Inc groups and suggestspossible reference plasmids for each lineage""",,,,,,Up-to-date,https://bitbucket.org/genomicepidemiology/plasmidfinder/src/master/,Sequence Analysis,plasmidfinder,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/plasmidfinder,,plasmidfinder,
prokka,Rapid annotation of prokaryotic genomes,prokka,Prokka,"Software tool to annotate bacterial, archaeal and viral genomes quickly and produce standards-compliant output files.",,"Genomics, Model organisms, Virology",Up-to-date,http://github.com/tseemann/prokka,Sequence Analysis,prokka,crs4,https://github.com/galaxyproject/tools-iuc/tree/master/tools/prokka/,,prokka,
pycoqc,QC metrics for ONT Basecalling,,,,,,Up-to-date,https://github.com/tleonardi/pycoQC,Nanopore,pycoqc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/pycoqc,,pycoqc,
pygenometracks,pyGenomeTracks: Standalone program and library to plot beautiful genome browser tracks.,,,,,,Up-to-date,https://github.com/deeptools/pyGenomeTracks,Visualization,pygenometracks,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/pygenometracks,,pygenometracks,
qiime_add_on,QIIME to perform microbial community analysis,,,,,,To update,http://www.qiime.org,Metagenomics,qiime,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qiime/,,qiime,
qiime_core,QIIME to perform microbial community analysis,,,,,,To update,http://www.qiime.org,Metagenomics,qiime,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qiime/,,qiime,
qualimap,,qualimap,QualiMap,Platform-independent application written in Java and R that provides both a Graphical User Inteface (GUI) and a command-line interface to facilitate the quality control of alignment sequencing data.,,Data quality management,Up-to-date,http://qualimap.bioinfo.cipf.es/,"Sequence Analysis, Transcriptomics, SAM",qualimap,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qualimap,,qualimap,
quality_filter,Filter nucleotides based on quality scores,,,,,,To update,,"Sequence Analysis, Variant Analysis",quality_filter,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/quality_filter,,bx-python,
racon,Consensus module for raw de novo DNA assembly of long uncorrected reads.,,,,,,Up-to-date,https://github.com/isovic/racon,Sequence Analysis,racon,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/racon,,racon,
raxml,RAxML - A Maximum Likelihood based phylogenetic inference,raxml,RAxML,A tool for Phylogenetic Analysis and Post-Analysis of Large Phylogenies.,,"Phylogenetics, Sequence analysis",To update,http://www.exelixis-lab.org/web/software/raxml/,Phylogenetics,raxml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/raxml,,raxml,
read_it_and_keep,Rapid decontamination of SARS-CoV-2 sequencing reads,,,,,,To update,https://github.com/GenomePathogenAnalysisService/read-it-and-keep,Sequence Analysis,read_it_and_keep,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/read-it-and-keep,,read-it-and-keep,
reago,Reago is tool to assembly 16S ribosomal RNA recovery from metagenomic data.,,,,,,Up-to-date,https://github.com/chengyuan/reago-1.1,"Metagenomics, RNA",reago,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/reago,,reago,
recentrifuge,"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics.""",,,,,,To update,https://github.com/khyox/recentrifuge,Metagenomics,recentrifuge,iuc,https://github.com/mesocentre-clermont-auvergne/galaxy-tools/tree/master/tools/recentrifuge,,recentrifuge,
roary,Roary the pangenome pipeline,roary,Roary,"A high speed stand alone pan genome pipeline, which takes annotated assemblies in GFF3 format (produced by Prokka (Seemann, 2014)) and calculates the pan genome.",,"DNA, Genomics, Mapping",Up-to-date,https://sanger-pathogens.github.io/Roary/,Sequence Analysis,roary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/roary,,roary,
rRNA,Identification of ribosomal RNA genes in metagenomic fragments.,,,,,,To update,http://weizhong-lab.ucsd.edu/meta_rna/,RNA,rrna,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rRNA,,hmmsearch3.0,
rseqc,an RNA-seq quality control package,rseqc,RSeQC,"Provides a number of useful modules that can comprehensively evaluate high throughput sequence data especially RNA-seq data. Some basic modules quickly inspect sequence quality, nucleotide composition bias, PCR bias and GC bias, while RNA-seq specific modules evaluate sequencing saturation, mapped reads distribution, coverage uniformity, strand specificity, transcript level RNA integrity etc.",,Sequencing,To update,https://code.google.com/p/rseqc/,"Convert Formats, Sequence Analysis, RNA, Transcriptomics, Visualization",rseqc,nilesh,https://github.com/galaxyproject/tools-iuc/tree/master/tools/rseqc,,rseqc,
salmon,"Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.",,,,,,To update,https://github.com/COMBINE-lab/salmon,"Sequence Analysis, RNA, Transcriptomics",,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/salmon,,salmon,
sarscov2formatter,sarscov2formatter custom script,,,,,,Up-to-date,https://github.com/nickeener/sarscov2formatter,Sequence Analysis,sarscov2formatter,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2formatter,,sarscov2formatter,
sarscov2summary,sarscov2summary custom script,,,,,,To update,https://github.com/nickeener/sarscov2summary,Sequence Analysis,sarscov2summary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2summary,,sarscov2summary,
scoary,Scoary calculates the assocations between all genes in the accessory genome and the traits.,,,,,,Up-to-date,https://github.com/AdmiralenOla/Scoary,Metagenomics,scoary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/scoary,,scoary,
semibin,SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks,,,,,,To update,https://semibin.readthedocs.io/en/latest/,Metagenomics,semibin,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/semibin,,semibin,
seqkit,A cross-platform and ultrafast toolkit for FASTA/Q file manipulation,seqkit,seqkit,"FASTA and FASTQ are basic and ubiquitous formats for storing nucleotide and protein sequences. Common manipulations of FASTA/Q file include converting, searching, filtering, deduplication, splitting, shuffling, and sampling. Existing tools only implement some of these manipulations, and not particularly efficiently, and some are only available for certain operating systems. Furthermore, the complicated installation process of required packages and running environments can render these programs less user friendly. SeqKit demonstrates competitive performance in execution time and memory usage compared to similar tools. The efficiency and usability of SeqKit enable researchers to rapidly accomplish common FASTA/Q file manipulations.",,"Database management, Sequence analysis",To update,https://bioinf.shenwei.me/seqkit/,Sequence Analysis,seqkit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/seqkit,,seqkit,
sistr_cmd,SISTR in silico serotyping tool,,,,,,Up-to-date,https://github.com/phac-nml/sistr_cmd,Sequence Analysis,sistr_cmd,nml,,,sistr_cmd,
smalt,SMALT aligns DNA sequencing reads with a reference genome.,,,,,,Up-to-date,http://www.sanger.ac.uk/science/tools/smalt-0,Sequence Analysis,smalt,nml,https://sourceforge.net/projects/smalt/,,smalt,
snap,SNAP is a general purpose gene finding program suitable for both eukaryotic and prokaryotic genomes.,snap,SNAP,The Semi-HMM-based Nucleic Acid Parser is a gene prediction tool.,,"DNA, DNA polymorphism, Genetics",Up-to-date,https://github.com/KorfLab/SNAP,Sequence Analysis,snap,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/snap,,snap,
snippy,Contains the snippy tool for characterising microbial snps,snippy,snippy,Rapid haploid variant calling and core SNP phylogeny generation.,,"Genomics, Model organisms, DNA polymorphism, Phylogenetics",To update,https://github.com/tseemann/snippy,Sequence Analysis,snippy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/snippy,,snippy,
sonneityping,Scripts for parsing Mykrobe predict results for Shigella sonnei.,,,,,,Up-to-date,https://github.com/katholt/sonneityping,Sequence Analysis,sonneityping,iuc,https://github.com/katholt/sonneityping,,sonneityping,
sortmerna,SortMeRNA is a software designed to rapidly filter ribosomal RNA fragments from metatransriptomic data produced by next-generation sequencers.,,,,,,To update,http://bioinfo.lifl.fr/RNA/sortmerna/,RNA,sortmerna,rnateam,https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/sortmerna,,sortmerna,
spades,"SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.",,,,,,To update,https://github.com/ablab/spades,"Assembly, RNA, Metagenomics",spades,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/spades,,spades,
spotyping,SpoTyping allows fast and accurate in silico Mycobacterium spoligotyping from sequence reads,spotyping,SpoTyping,Fast and accurate in silico Mycobacterium spoligotyping from sequence reads.,,"Microbiology, Sequencing, Sequence composition, complexity and repeats, Genetic variation",Up-to-date,https://github.com/xiaeryu/SpoTyping-v2.0,Sequence Analysis,spotyping,iuc,https://github.com/xiaeryu/SpoTyping-v2.0/tree/master/SpoTyping-v2.0-commandLine,,spotyping,
srst2,Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,,Sequence Analysis,srst2,nml,,,srst2,
srst2,SRST2 Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,http://katholt.github.io/srst2/,Metagenomics,srst2,iuc,https://github.com/katholt/srst2,,samtools,
staramr,"Scan genome contigs against the ResFinder, PlasmidFinder, and PointFinder antimicrobial resistance databases.",,,,,,To update,https://github.com/phac-nml/staramr,Sequence Analysis,staramr,nml,https://github.com/phac-nml/galaxy_tools/tree/master/tools/staramr,,staramr,
stringmlst,Rapid and accurate identification of the sequence type (ST),,,,,,To update,,Sequence Analysis,stringmlst,nml,,,stringMLST,
structure,for using multi-locus genotype data to investigate population structure.,structure,Structure,"The program structureis a free software package for using multi-locus genotype data to investigate population structure. Its uses include inferring the presence of distinct populations, assigning individuals to populations, studying hybrid zones, identifying migrants and admixed individuals, and estimating population allele frequencies in situations where many individuals are migrants or admixed.",,Population genetics,Up-to-date,,"Phylogenetics, Variant Analysis",structure,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/structure,,structure,
tb-profiler,Processes M. tuberculosis sequence data to infer strain type and identify known drug resistance markers.,,,,,,To update,https://github.com/jodyphelan/TBProfiler,Sequence Analysis,tbprofiler,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/tb-profiler,,tb-profiler,
transtermhp,Finds rho-independent transcription terminators in bacterial genomes,,,,,,To update,,Sequence Analysis,transtermhp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/transtermhp,,transtermhp,
TreeBest,TreeBeST best,,,,,,Up-to-date,http://treesoft.sourceforge.net/treebest.shtml,Phylogenetics,treebest_best,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest,,treebest,
trim_galore,Trim Galore adaptive quality and adapter trimmer,,,,,,Up-to-date,http://www.bioinformatics.babraham.ac.uk/projects/trim_galore/,"Sequence Analysis, Fastq Manipulation",trim_galore,bgruening,https://github.com/bgruening/galaxytools/tree/master/tools/trim_galore,,trim-galore,
usher,UShER toolkit wrappers,,,,,,To update,https://github.com/yatisht/usher,Phylogenetics,usher,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/usher,,usher,
valet,A pipeline for detecting mis-assemblies in metagenomic assemblies.,,,,,,To update,https://github.com/marbl/VALET,Metagenomics,valet,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/valet,,valet,
vapor,Classify Influenza samples from raw short read sequence data,vapor,VAPOR,"VAPOR is a tool for classification of Influenza samples from raw short read sequence data for downstream bioinformatics analysis. VAPOR is provided with a fasta file of full-length sequences (> 20,000) for a given segment, a set of reads, and attempts to retrieve a reference that is closest to the sample strain.",,"Whole genome sequencing, Mapping, Sequence assembly",Up-to-date,https://github.com/connor-lab/vapor,Sequence Analysis,vapor,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vapor,,vapor,
vegan,,,,,,,To update,https://cran.r-project.org/package=vegan,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vegan/,,r-vegan,
vsearch,"VSEARCH including searching, clustering, chimera detection, dereplication, sorting, masking and shuffling of sequences.",vsearch,VSEARCH,"High-throughput search and clustering sequence analysis tool. It supports de novo and reference based chimera detection, clustering, full-length and prefix dereplication, reverse complementation, masking, all-vs-all pairwise global alignment, exact and global alignment searching, shuffling, subsampling and sorting. It also supports FASTQ file analysis, filtering and conversion.",,"Metagenomics, Sequence analysis",To update,https://github.com/torognes/vsearch,Sequence Analysis,vsearch,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vsearch,,vsearch,
