Galaxy wrapper id	Total tool usage (usegalaxy.eu)	No. of tool users (2022-2023) (usegalaxy.eu)	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu	https://usegalaxy.fr
sam2interval	1189.0	20.0	sam2interval	Convert SAM to interval.								To update		SAM	sam2interval	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/sam2interval	https://github.com/galaxyproject/tools-devteam/tree/main/tools/sam2interval	1.0.2	python		(1/1)	(1/1)	(1/1)	(1/1)
sam_bitwise_flag_filter	261.0	1.0	sam_bw_filter	Filter SAM on bitwise flag values								To update		SAM	sam_bitwise_flag_filter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/sam_bitwise_flag_filter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/sam_bitwise_flag_filter	1.0.1	python		(1/1)	(1/1)	(0/1)	(1/1)
scatterplot	1637.0	61.0	scatterplot_rpy	Scatterplot of two numeric columns								To update		Graphics, Statistics	scatterplot	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/scatterplot	https://github.com/galaxyproject/tools-devteam/tree/main/tools/scatterplot	1.0.3	numpy		(1/1)	(0/1)	(1/1)	(1/1)
short_reads_figure_high_quality_length			hist_high_quality_score	Histogram of high quality score reads								To update		Sequence Analysis, Graphics	short_reads_figure_high_quality_length	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/short_reads_figure_high_quality_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/short_reads_figure_high_quality_length	1.0.0	rpy		(0/1)	(0/1)	(0/1)	(0/1)
short_reads_figure_score	163.0	13.0	quality_score_distribution	Build base quality distribution								To update		Sequence Analysis, Graphics	short_reads_figure_score	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/short_reads_figure_score	https://github.com/galaxyproject/tools-devteam/tree/main/tools/short_reads_figure_score	1.0.2	fontconfig		(0/1)	(0/1)	(1/1)	(0/1)
short_reads_trim_seq	220.0	21.0	trim_reads	Select high quality segments								To update		Fastq Manipulation	short_reads_trim_seq	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/short_reads_trim_seq	https://github.com/galaxyproject/tools-devteam/tree/main/tools/short_reads_trim_seq	1.0.0			(1/1)	(0/1)	(1/1)	(0/1)
show_beginning			Show beginning1	Select lines from the beginning of a file.								To update		Text Manipulation	show_beginning	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/show_beginning	https://github.com/galaxyproject/tools-devteam/tree/main/tools/show_beginning	1.0.0			(1/1)	(1/1)	(1/1)	(1/1)
show_tail			Show tail1	Select lines from the end of a file.								To update		Text Manipulation	show_tail	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/show_tail	https://github.com/galaxyproject/tools-devteam/tree/main/tools/show_tail	1.0.0			(1/1)	(1/1)	(1/1)	(1/1)
sicer	374.0	5.0	peakcalling_sicer	Statistical approach for the Identification of ChIP-Enriched Regions								Up-to-date	https://home.gwu.edu/~wpeng/Software.htm	ChIP-seq	sicer	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/sicer	https://github.com/galaxyproject/tools-devteam/tree/main/tools/sicer	1.1	SICER	1.1	(1/1)	(1/1)	(1/1)	(1/1)
split_paired_reads			split_paired_reads	Split paired end reads								To update		Fastq Manipulation	split_paired_reads	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/split_paired_reads	https://github.com/galaxyproject/tools-devteam/tree/main/tools/split_paired_reads	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
substitution_rates			subRate1	Estimate substitution rates for non-coding regions								To update		Sequence Analysis, Variant Analysis	substitution_rates	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/substitution_rates	https://github.com/galaxyproject/tools-devteam/tree/main/tools/substitution_rates	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
substitutions			substitutions1	Fetch substitutions from pairwise alignments								To update		Sequence Analysis, Variant Analysis	substitutions	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/substitutions	https://github.com/galaxyproject/tools-devteam/tree/main/tools/substitutions	1.0.1	bx-python	0.11.0	(1/1)	(0/1)	(0/1)	(0/1)
t_test_two_samples	210.0	6.0	t_test_two_samples	T Test for Two Samples								To update		Statistics	t_test_two_samples	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/t_test_two_samples	https://github.com/galaxyproject/tools-devteam/tree/main/tools/t_test_two_samples	1.0.1	R		(1/1)	(1/1)	(1/1)	(1/1)
table_annovar			table_annovar	Annotate a VCF file using ANNOVAR annotations to produce a tabular file that can be filtered								To update		Variant Analysis	table_annovar	devteam	Nonehttps://github.com/galaxyproject/tools-devteam/tree/master/tools/table_annovar	https://github.com/galaxyproject/tools-devteam/tree/main/tools/table_annovar	0.2	annovar		(0/1)	(0/1)	(0/1)	(0/1)
tabular_to_fasta	319234.0	601.0	tab2fasta	Tabular-to-FASTA								To update		Convert Formats	tabular_to_fasta	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/tabular_to_fasta	https://github.com/galaxyproject/tools-devteam/tree/main/tools/tabular_to_fasta	1.1.1	python		(1/1)	(1/1)	(1/1)	(1/1)
tophat	1.0		tophat	Tophat for Illumina								To update		RNA, Next Gen Mappers	tophat	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/tophat	https://github.com/galaxyproject/tools-devteam/tree/main/tools/tophat	1.5.0	samtools	1.20	(0/1)	(0/1)	(0/1)	(0/1)
tophat2	24167.0	312.0	tophat2	Tophat - fast splice junction mapper for RNA-Seq reads								To update	http://ccb.jhu.edu/software/tophat/index.shtml	RNA, Next Gen Mappers	tophat2	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/tophat2	https://github.com/galaxyproject/tools-devteam/tree/main/tools/tophat2	2.1.1	bowtie2	2.5.3	(1/1)	(1/1)	(1/1)	(0/1)
tophat_fusion_post	216.0	15.0	tophat_fusion_post	Wrapper for Tophat-Fusion post step								To update		Transcriptomics	tophat_fusion_post	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/tophat_fusion_post	https://github.com/galaxyproject/tools-devteam/tree/main/tools/tophat_fusion_post	0.1	blast+		(0/1)	(1/1)	(1/1)	(0/1)
trimmer	6058.0	188.0	trimmer	Trim leading or trailing characters.								To update		Text Manipulation	trimmer	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/trimmer	https://github.com/galaxyproject/tools-devteam/tree/main/tools/trimmer	0.0.1			(1/1)	(1/1)	(1/1)	(1/1)
ucsc_custom_track	393.0	45.0	build_ucsc_custom_track_1	Build custom track for UCSC genome browser								To update		Sequence Analysis	ucsc_custom_track	devteam	https://github.com/galaxyproject/tools-devteam/tree/main/tools/ucsc_custom_track	https://github.com/galaxyproject/tools-devteam/tree/main/tools/ucsc_custom_track	1.0.1	python		(1/1)	(0/1)	(1/1)	(0/1)
varscan_version_2	5191.0	246.0	varscan	VarScan wrapper								To update	https://dkoboldt.github.io/varscan/	Variant Analysis	varscan_version_2	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/varscan_version_2	https://github.com/galaxyproject/tools-devteam/tree/main/tools/varscan_version_2	2.4.2	varscan	2.4.6	(1/1)	(1/1)	(1/1)	(1/1)
vcf2pgsnp	206.0	15.0	vcf2pgSnp	VCF to pgSnp								To update		Variant Analysis	vcf2pgsnp	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/vcf2pgsnp	https://github.com/galaxyproject/tools-devteam/tree/main/tools/vcf2pgsnp	1.0.0			(1/1)	(0/1)	(1/1)	(0/1)
vcf_annotate	1.0		vcf_annotate	Annotate a VCF file (dbSNP, hapmap)								To update		Variant Analysis	vcf_annotate	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/vcf_annotate	https://github.com/galaxyproject/tools-devteam/tree/main/tools/vcf_annotate	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
vcf_extract			vcf_extract	Extract reads from a specified region								To update		Variant Analysis	vcf_extract	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/vcf_extract	https://github.com/galaxyproject/tools-devteam/tree/main/tools/vcf_extract	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
vcf_filter	388.0	63.0	vcf_filter	Filter a VCF file								To update		Variant Analysis	vcf_filter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/vcf_filter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/vcf_filter	1.0.0			(0/1)	(0/1)	(1/1)	(0/1)
vcf_intersect	19.0		vcf_intersect	Generate the intersection of two VCF files								To update		Variant Analysis	vcf_intersect	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/vcf_intersect	https://github.com/galaxyproject/tools-devteam/tree/main/tools/vcf_intersect	1.0.0			(0/1)	(0/1)	(0/1)	(0/1)
weightedaverage			wtavg	Assign weighted-average of the values of features overlapping an interval								To update		Sequence Analysis, Variant Analysis	weightedaverage	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/weightedaverage	https://github.com/galaxyproject/tools-devteam/tree/main/tools/weightedaverage	1.0.1	galaxy-ops	1.1.0	(1/1)	(0/1)	(0/1)	(0/1)
windowsplitter			winSplitter	Make windows								To update		Sequence Analysis, Variant Analysis	windowsplitter	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/windowsplitter	https://github.com/galaxyproject/tools-devteam/tree/main/tools/windowsplitter	1.0.1	bx-python	0.11.0	(1/1)	(0/1)	(0/1)	(0/1)
xy_plot	5890.0	344.0	XY_Plot_1	Plotting tool for multiple series and graph types								To update		Graphics, Statistics	xy_plot	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/xy_plot	https://github.com/galaxyproject/tools-devteam/tree/main/tools/xy_plot	1.0.2	r-base		(1/1)	(1/1)	(1/1)	(1/1)
basecoverage	307.0	2.0	gops_basecoverage_1	Base Coverage of all intervals								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	basecoverage	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/basecoverage	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/basecoverage	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
cluster	791.0	1.0	gops_cluster_1	Cluster the intervals of a dataset								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	cluster	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/cluster	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/cluster	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
complement	233.0	1.0	gops_complement_1	Complement intervals of a dataset								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	complement	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/complement	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/complement	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
concat	564897.0	309.0	gops_concat_1	Concatenate two bed files								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	concat	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/concat	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/concat	1.0.1	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
coverage	1489.0	17.0	gops_coverage_1	Coverage of a set of intervals on second set of intervals								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	coverage	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/coverage	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/coverage	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
flanking_features	671.0	20.0	flanking_features_1	Fetch closest non-overlapping feature for every interval								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	flanking_features	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/flanking_features	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/flanking_features	4.0.1	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
get_flanks	324380.0	555.0	get_flanks1	Get flanks returns flanking region/s for every gene								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	get_flanks	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/get_flanks	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/get_flanks	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
intersect	347919.0	1003.0	gops_intersect_1	Intersect the intervals of two datasets								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	intersect	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/intersect	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/intersect	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
join	329478.0	284.0	gops_join_1	Join the intervals of two datasets side-by-side								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	join	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/join	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/join	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
merge	563676.0	193.0	gops_merge_1	Merge the overlapping intervals of a dataset								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	merge	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/merge	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/merge	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
subtract	564149.0	182.0	gops_subtract_1	Subtract the intervals of two datasets								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	subtract	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/subtract	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/subtract	1.0.0	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
subtract_query	1014.0	55.0	subtract_query1	Subtract Whole Dataset from another dataset								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	subtract_query	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/subtract_query	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/subtract_query	0.1	bx-python	0.11.0	(1/1)	(1/1)	(1/1)	(1/1)
tables_arithmetic_operations	2207.0	14.0	tables_arithmetic_operations	Arithmetic Operations on tables								To update	https://github.com/galaxyproject/gops	Genomic Interval Operations	tables_arithmetic_operations	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/gops/tables_arithmetic_operations	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/gops/tables_arithmetic_operations	1.0.0	perl		(0/1)	(0/1)	(1/1)	(1/1)
hgv_fundo			hgv_funDo	FunDO human genes associated with disease terms								To update		Sequence Analysis	hgv_fundo	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/hgv/hgv_fundo	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/hgv/hgv_fundo	1.0.0			(1/1)	(0/1)	(1/1)	(0/1)
hgv_hilbertvis			hgv_hilbertvis	HVIS visualization of genomic data with the Hilbert curve								To update	https://www.ebi.ac.uk/huber-srv/hilbert/	Graphics, Visualization	hgv_hilbertvis	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/hgv/hgv_hilbertvis	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/hgv/hgv_hilbertvis	1.0.0	R		(1/1)	(0/1)	(1/1)	(0/1)
snpfreq	37.0	7.0	hgv_snpFreq	snpFreq significant SNPs in case-control data								To update		Variant Analysis, Statistics	snpfreq	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/hgv/snpfreq	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/hgv/snpfreq	1.0.1	R		(1/1)	(1/1)	(1/1)	(0/1)
find_diag_hits	69.0	5.0	find_diag_hits	Find diagnostic hits								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	find_diag_hits	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/find_diag_hits	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/find_diag_hits	1.0.0	taxonomy	0.10.0	(0/1)	(0/1)	(1/1)	(0/1)
gi2taxonomy	660.0	27.0	Fetch Taxonomic Ranks	Fetch taxonomic representation								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	gi2taxonomy	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/gi2taxonomy	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/gi2taxonomy	1.1.1	taxonomy	0.10.0	(0/1)	(0/1)	(1/1)	(0/1)
kraken2tax	14683.0	481.0	Kraken2Tax	Convert Kraken output to Galaxy taxonomy data.								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	kraken2tax	devteam	https://github.com/galaxyproject/tools-devteam/blob/master/tool_collections/taxonomy/kraken2tax/	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/kraken2tax	1.2+galaxy0	gawk		(1/1)	(1/1)	(1/1)	(0/1)
lca_wrapper	137.0	2.0	lca1	Find lowest diagnostic rank								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	lca_wrapper	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/lca_wrapper	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/lca_wrapper	1.0.1	taxonomy	0.10.0	(0/1)	(0/1)	(1/1)	(0/1)
poisson2test	116.0	6.0	poisson2test	Poisson two-sample test								To update	https://bitbucket.org/natefoo/taxonomy	Statistics, Metagenomics	poisson2test	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/poisson2test	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/poisson2test	1.0.0	taxonomy	0.10.0	(0/1)	(1/1)	(1/1)	(0/1)
t2ps	457.0	31.0	Draw_phylogram	Draw phylogeny								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	t2ps	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/t2ps	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/t2ps	1.0.0	taxonomy	0.10.0	(0/1)	(0/1)	(1/1)	(0/1)
t2t_report	947.0	26.0	t2t_report	Summarize taxonomy								To update	https://bitbucket.org/natefoo/taxonomy	Metagenomics	t2t_report	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/t2t_report	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/t2t_report	1.0.0	taxonomy	0.10.0	(0/1)	(0/1)	(1/1)	(0/1)
vcftools_annotate	171.0	24.0	vcftools_annotate	Annotate VCF using custom/user-defined annotations								To update	https://vcftools.github.io/	Variant Analysis	vcftools_annotate	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_annotate	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_annotate	0.1	echo		(1/1)	(0/1)	(1/1)	(1/1)
vcftools_compare	531.0	34.0	vcftools_compare	Compare VCF files to get overlap and uniqueness statistics								To update	https://vcftools.github.io/	Variant Analysis	vcftools_compare	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_compare	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_compare	0.1	tabix	1.11	(0/1)	(0/1)	(1/1)	(0/1)
vcftools_consensus			vcftools_consensus	Apply VCF variants to a fasta file to create consensus sequence								To update	https://vcftools.github.io/	Variant Analysis	vcftools_consensus	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_consensus	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_consensus	0.1.11	samtools	1.20	(0/1)	(0/1)	(0/1)	(0/1)
vcftools_isec	498.0	35.0	vcftools_isec	Intersect multiple VCF datasets								To update	https://vcftools.github.io/	Variant Analysis	vcftools_isec	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_isec	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_isec	0.1.1	tabix	1.11	(0/1)	(1/1)	(1/1)	(0/1)
vcftools_merge	953.0	68.0	vcftools_merge	Merge multiple VCF datasets into a single dataset								To update	https://vcftools.github.io/	Variant Analysis	vcftools_merge	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_merge	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_merge	0.1.11	tabix	1.11	(0/1)	(1/1)	(1/1)	(0/1)
vcftools_slice	411.0	24.0	vcftools_slice	Subset VCF dataset by genomic regions								To update	https://vcftools.github.io/	Variant Analysis	vcftools_slice	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_slice	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_slice	0.1	echo		(1/1)	(0/1)	(1/1)	(1/1)
vcftools_subset	137.0	17.0	vcftools_subset	Select samples from a VCF dataset								To update	https://vcftools.github.io/	Variant Analysis	vcftools_subset	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/vcftools/vcftools_subset	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/vcftools/vcftools_subset	0.1	tabix	1.11	(0/1)	(0/1)	(1/1)	(0/1)
10x_bamtofastq	228.0	46.0	10x_bamtofastq	Converts 10x Genomics BAM to FASTQ								Up-to-date	https://github.com/10XGenomics/bamtofastq	Convert Formats	10x_bamtofastq	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/10x_bamtofastq	https://github.com/bgruening/galaxytools/tree/master/tools/10x_bamtofastq	1.4.1	10x_bamtofastq	1.4.1	(0/1)	(0/1)	(1/1)	(0/1)
AggregateAlignments			graphclust_aggregate_alignments	Aggregate and filter alignment metrics of individual clusters, like the output of graphclust_align_cluster.								Up-to-date		RNA	graphclust_aggregate_alignments	rnateam	https://github.com/bgruening/galaxytools/tools/GraphClust/AggregateAlignments	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/AggregateAlignments	0.6.0	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
AlignCluster			graphclust_align_cluster	Align predicted clusters of glob_report_no_align step with locarna and conservation analysis and visualizations.								To update		RNA	graphclust_align_cluster	rnateam	https://github.com/bgruening/galaxytools/tools/GraphClust/AlignCluster	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/AlignCluster	0.1	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
CMFinder			cmFinder	Determines consensus motives for sequences.								To update		RNA	graphclust_cmfinder	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CMFinder	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CMFinder	0.4	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
CollectResults			glob_report	Post-processing. Redundant clusters are merged and instances that belong to multiple clusters are assigned unambiguously. For every pair of clusters, the relative overlap (i.e. the fraction of instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%. instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%.								To update		RNA	graphclust_postprocessing	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResults	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResults	0.5	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
CollectResultsNoAlign			graphclust_glob_report_no_align	Redundant GraphClust clusters are merged and instances that belong to multiple clusters are assigned unambiguously.								To update		RNA	graphclust_postprocessing_no_align	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResultsNoAlign	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResultsNoAlign	0.5	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
GSPAN			gspan	Second step of GraphClust								To update		RNA	graphclust_fasta_to_gspan	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/GSPAN	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/GSPAN	0.4	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
LocARNAGraphClust			locarna_best_subtree	MLocARNA computes a multiple sequence-structure alignment of RNA sequences.								To update		RNA	graphclust_mlocarna	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/LocARNAGraphClust	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/LocARNAGraphClust	0.4	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
NSPDK			NSPDK_candidateClust, nspdk_sparse	Produces an explicit sparse feature encoding and copmutes global feature index and returns top dense sets.								To update		RNA	graphclust_nspdk	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/NSPDK	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/NSPDK	9.2.3.1	graphclust-wrappers	0.6.0	(0/2)	(0/2)	(2/2)	(0/2)
Plotting			motifFinderPlot	Plotting results for GraphClust								To update		RNA	graphclust_motif_finder_plot	rnateam	https://github.com/eteriSokhoyan/galaxytools/tree/master/tools/GraphClust/Plotting	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/Plotting	0.4	seaborn		(0/1)	(0/1)	(1/1)	(0/1)
PrepareForMlocarna			preMloc	This tool prepares files for locarna step.								To update		RNA	graphclust_prepocessing_for_mlocarna	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/PrepareForMlocarna	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/PrepareForMlocarna	0.4	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
Preprocessing			preproc	Preprocessing input for GraphClust								To update		RNA	graphclust_preprocessing	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/Preprocessing	0.5	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
Structure_GSPAN			structure_to_gspan	Convert RNA structure to GSPAN graphs								To update		RNA	structure_to_gspan	rnateam	https://github.com/mmiladi/galaxytools/blob/graphclust-gspan/tools/GraphClust/Structure_GSPAN	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/Structure_GSPAN	0.4	graphclust-wrappers	0.6.0	(0/1)	(0/1)	(1/1)	(0/1)
agat	481.0	42.0	agat	GTF/GFF analysis toolkit	agat	agat		AGAT	Another Gff Analysis Toolkit (AGAT)Suite of tools to handle gene annotations in any GTF/GFF format.	Data handling, Genome annotation	Genomics	To update	https://github.com/NBISweden/AGAT	Convert Formats, Statistics, Fasta Manipulation	agat	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/agat	https://github.com/bgruening/galaxytools/tree/master/tools/agat	1.2.0	agat	1.4.0	(0/1)	(0/1)	(1/1)	(1/1)
