Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
fasplit	fasplit	faSplit is a tool to split a single FASTA file into several files	UCSC_Genome_Browser_Utilities	UCSC_Genome_Browser_Utilities		UCSC Genome Browser Utilities	Utilities for handling sequences and assemblies from the UCSC Genome Browser project.		Sequence analysis	Up-to-date	http://hgdownload.cse.ucsc.edu/admin/exe/	Fasta Manipulation	ucsc_fasplit	2017-09-08	iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/ucsc_tools/fasplit	https://github.com/galaxyproject/tools-iuc/tree/main/tools/ucsc_tools/fasplit	469	ucsc-fasplit	469		Sequence analysis	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3278	3361	460	478	6144	6144	595	595	1139	1139	183	183	10561	10644	1238	1256	False		
fasta_clipping_histogram	cshl_fasta_clipping_histogram	Length Distribution chart								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Graphics, Statistics	fasta_clipping_histogram	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fasta_clipping_histogram	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fasta_clipping_histogram	0.0.14	fastx_toolkit	0.0.14			0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5191	5367	104	130	5191	5367	104	130	False		
fasta_compute_length	fasta_compute_length	Compute sequence length								To update	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	Fasta Manipulation	fasta_compute_length	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_compute_length	1.0.4	python				1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	8547	9136	978	1129	17748	51150	1404	5670	4239	4404	162	190	30534	64690	2544	6989	False		
fasta_concatenate_by_species	fasta_concatenate0	Concatenate FASTA alignment by species								To update		Fasta Manipulation	fasta_concatenate_by_species	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_concatenate_by_species	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_concatenate_by_species	0.0.1	bx-python	0.13.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	39695	39742	242	255	13660	19007	600	1398	1521	1603	92	112	54876	60352	934	1765	False		
fasta_filter_by_id	fasta_filter_by_id	Filter FASTA sequences by ID (DEPRECATED)								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id	Fasta Manipulation, Sequence Analysis, Text Manipulation	fasta_filter_by_id	2017-02-02	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id	0.0.7	galaxy_sequence_utils	1.2.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fasta_filter_by_length	fasta_filter_by_length	Filter sequences by length								To update		Fasta Manipulation	fasta_filter_by_length	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_filter_by_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_filter_by_length	1.2	python				1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	47494	51924	889	997	50663	101663	1488	3742	3919	5601	241	276	102076	159188	2618	5015	False		
fasta_formatter	cshl_fasta_formatter	FASTA Width formatter								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation	fasta_formatter	2018-04-24	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fasta_formatter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fasta_formatter	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	5235	5486	237	288	4060	25609	480	2039	816	1093	73	89	10111	32188	790	2416	False		
fasta_merge_files_and_filter_unique_sequences	fasta_merge_files_and_filter_unique_sequences	Concatenate FASTA database files together								To update	https://github.com/galaxyproteomics/tools-galaxyp/	Fasta Manipulation	fasta_merge_files_and_filter_unique_sequences	2015-01-24	galaxyp	https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/fasta_merge_files_and_filter_unique_sequences	https://github.com/galaxyproteomics/tools-galaxyp/tree/master/tools/fasta_merge_files_and_filter_unique_sequences	1.2.0	python				1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	30917	32191	1142	1257	36869	36869	1346	1346	5236	5236	230	230	73022	74296	2718	2833	False		
fasta_nucleotide_changer	cshl_fasta_nucleotides_changer	RNA/DNA converter.								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation	fasta_nucleotide_changer	2018-04-24	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fasta_nucleotide_changer	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fasta_nucleotide_changer	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	497	808	71	108	2249	5479	216	703	415	437	18	20	3161	6724	305	831	False		
fasta_to_tabular	fasta2tab	FASTA-to-Tabular converter								To update		Fasta Manipulation	fasta_to_tabular	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_to_tabular	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_to_tabular	1.1.1	python				1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	108876	113638	1572	1793	82527	192112	2209	8565	5711	7649	275	334	197114	313399	4056	10692	False		
fastk	fastk_fastk	FastK: A K-mer counter (for HQ assembly data sets)								To update	https://github.com/thegenemyers/FASTK	Assembly	fastk	2024-05-03	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastk	https://github.com/galaxyproject/tools-iuc/tree/main/tools/fastk	1.0.0	fastk	1.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	136	11	11	0	0	0	0	0	0	0	0	136	136	11	11	False		
fastq_combiner	fastq_combiner	Combine FASTA and QUAL into FASTQ								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation, Fasta Manipulation	fastq_combiner	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_combiner	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_combiner	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	8604	8799	215	240	54200	75329	919	2957	1562	1680	76	85	64366	85808	1210	3282	False		
fastq_filter	fastq_filter	Filter FASTQ reads by quality score and length								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_filter	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_filter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_filter	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	15582	18350	690	771	40489	121585	2715	9239	4657	5793	214	287	60728	145728	3619	10297	False		
fastq_filter_by_id	fastq_filter_by_id	Filter FASTQ sequences by ID (DEPRECATED)								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/fastq_filter_by_id	Fastq Manipulation, Sequence Analysis, Text Manipulation	fastq_filter_by_id	2017-02-02	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/fastq_filter_by_id	https://github.com/peterjc/pico_galaxy/tree/master/tools/fastq_filter_by_id	0.0.7	galaxy_sequence_utils	1.2.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fastq_groomer	fastq_groomer	Convert between various FASTQ quality formats.								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_groomer	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_groomer	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_groomer	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	92594	102535	2576	2995	179461	897457	9437	44701	15434	25533	664	1073	287489	1025525	12677	48769	False		
fastq_info	fastq_info	FASTQ info allows to validate single or paired fastq files								To update	https://github.com/nunofonseca/fastq_utils	Fastq Manipulation	fastq_info	2021-09-12	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/fastq_info	https://github.com/bgruening/galaxytools/tree/master/tools/fastq_info	0.25.1	fastq_utils	0.25.2			1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7560	7560	1266	1266	6539	6539	1581	1581	0	0	0	0	14099	14099	2847	2847	False		
fastq_manipulation	fastq_manipulation	Manipulate FASTQ reads on various attributes.								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_manipulation	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_manipulation	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_manipulation	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2488	3132	215	267	6241	14508	834	2121	4121	4592	131	158	12850	22232	1180	2546	False		
fastq_masker_by_quality	fastq_masker_by_quality	FASTQ Masker by quality score								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_masker_by_quality	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_masker_by_quality	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_masker_by_quality	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	234	249	43	44	2648	8092	288	983	442	466	12	17	3324	8807	343	1044	False		
fastq_pair	fastq_pair	Paired-end fastq pairer								To update	https://github.com/linsalrob/fastq-pair	Fastq Manipulation	fastq_pair	2022-03-17	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/develop/tools/qc/fastq_pair	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/qc/fastq_pair	1.0+galaxy0	fastq-pair	1.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fastq_paired_end_deinterlacer	fastq_paired_end_deinterlacer	FASTQ de-interlacer on paired end reads.								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_paired_end_deinterlacer	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_paired_end_deinterlacer	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_paired_end_deinterlacer	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	5873	8936	532	657	14738	20229	1889	2366	2316	2711	225	261	22927	31876	2646	3284	False		
fastq_paired_end_interlacer	fastq_paired_end_interlacer	FASTQ interlacer on paired end reads								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_paired_end_interlacer	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_paired_end_interlacer	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_paired_end_interlacer	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	18216	19573	2348	2492	23484	25936	3482	3851	6207	6551	1402	1442	47907	52060	7232	7785	False		
fastq_paired_end_joiner	fastq_paired_end_joiner	FASTQ joiner on paired end reads								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_paired_end_joiner	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_paired_end_joiner	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_paired_end_joiner	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	15628	17130	536	679	24157	58368	1954	5716	1941	2266	172	214	41726	77764	2662	6609	False		
fastq_paired_end_splitter	fastq_paired_end_splitter	FASTQ splitter on joined paired end reads								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_paired_end_splitter	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_paired_end_splitter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_paired_end_splitter	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3169	3521	459	535	19309	30747	1410	3441	807	1023	219	247	23285	35291	2088	4223	False		
fastq_quality_boxplot	cshl_fastq_quality_boxplot	Draw quality score boxplot								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fastq Manipulation, Graphics, Statistics	fastq_quality_boxplot	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastq_quality_boxplot	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastq_quality_boxplot	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1271	1393	131	176	12763	58819	2073	8850	430	479	32	51	14464	60691	2236	9077	False		
fastq_quality_converter	cshl_fastq_quality_converter	Quality format converter (ASCII-Numeric)								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fastq Manipulation	fastq_quality_converter	2018-04-24	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastq_quality_converter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastq_quality_converter	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	335	352	44	47	1583	9696	269	2229	1131	1254	15	27	3049	11302	328	2303	False		
fastq_quality_filter	cshl_fastq_quality_filter	Filter by quality								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fastq Manipulation	fastq_quality_filter	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastq_quality_filter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastq_quality_filter	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	17279	18386	3826	4062	55268	136888	6055	12590	7685	9356	1854	2043	80232	164630	11735	18695	False		
fastq_quality_trimmer	cshl_fastq_quality_trimmer	FASTQ trimmer based on quality								To update	https://github.com/agordon/fastx_toolkit	Fastq Manipulation	fastq_quality_trimmer	2022-03-11	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/develop/tools/qc/fastq_quality_trimmer	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/qc/fastq_quality_trimmer	0.0.14+galaxy0	fastx_toolkit	0.0.14			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
fastq_stats	fastq_stats	FASTQ Summary Statistics by column								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_stats	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_stats	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_stats	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3858	4595	680	815	15213	81513	3159	14109	3855	4163	184	256	22926	90271	4023	15180	False		
fastq_to_fasta	cshl_fastq_to_fasta	FASTQ to FASTA converter								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Convert Formats	fastq_to_fasta	2016-09-17	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastq_to_fasta	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastq_to_fasta	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	36069	37805	1151	1234	45213	99852	2691	6370	8457	13335	408	609	89739	150992	4250	8213	False		
fastq_to_tabular	fastq_to_tabular	FASTQ to Tabular converter								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_to_tabular	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_to_tabular	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_to_tabular	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	12895	14110	269	297	13315	30673	612	1810	5125	5373	64	87	31335	50156	945	2194	False		
fastq_trimmer	fastq_trimmer	FASTQ Trimmer by quality								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastq_trimmer	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastq_trimmer	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastq_trimmer	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	10114	11383	582	665	23906	92351	1986	8818	1588	2607	108	212	35608	106341	2676	9695	False		
fastq_trimmer_by_quality	fastq_quality_trimmer	FASTQ Quality Trimmer by sliding window								To update		Fastq Manipulation	fastq_trimmer_by_quality	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fastq_trimmer_by_quality	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fastq_trimmer_by_quality	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4881	6165	859	967	29458	99179	3455	11369	2171	2678	259	338	36510	108022	4573	12674	False		
fastqc	fastqc	Read QC reports using FastQC	fastqc	fastqc		FastQC	This tool aims to provide a QC report which can spot problems or biases which originate either in the sequencer or in the starting library material. It can be run in one of two modes. It can either run as a stand alone interactive application for the immediate analysis of small numbers of FastQ files, or it can be run in a non-interactive mode where it would be suitable for integrating into a larger analysis pipeline for the systematic processing of large numbers of files.	Sequence composition calculation, Sequencing quality control, Statistical calculation	Sequencing, Data quality management, Sequence analysis	To update	http://www.bioinformatics.babraham.ac.uk/projects/fastqc/	Fastq Manipulation	fastqc	2017-12-23	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tools/fastqc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/fastqc	0.74+galaxy1	fastqc	0.12.1	Sequence composition calculation, Sequencing quality control, Statistical calculation	Sequencing, Data quality management, Sequence analysis	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1784056	1913280	41344	43940	2269843	3195869	90828	140008	410004	445555	14195	16026	4463903	5554704	146367	199974	False		
fastqsolexa_to_fasta_qual	fastqsolexa_to_fasta_qual	FASTQSOLEXA-to-FASTA-QUAL extracts sequences and quality scores from FASTQSOLEXA data								To update		Convert Formats, Fastq Manipulation	fastqsolexa_to_fasta_qual	2014-05-19	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fastqsolexa_to_fasta_qual	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fastqsolexa_to_fasta_qual	1.0.0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	8	0	3	False		
fastqtofasta	fastq_to_fasta_python	FASTQ to FASTA converter								To update	https://github.com/galaxyproject/sequence_utils	Fastq Manipulation	fastqtofasta	2019-06-21	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/galaxy_sequence_utils/fastqtofasta	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/galaxy_sequence_utils/fastqtofasta	1.1.5	galaxy_sequence_utils	1.2.0			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	208349	217568	3421	3732	131388	245005	5108	13227	18655	18655	679	679	358392	481228	9208	17638	False		
fastx_artifacts_filter	cshl_fastx_artifacts_filter	Remove sequencing artifacts								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Fastq Manipulation	fastx_artifacts_filter	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastx_artifacts_filter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastx_artifacts_filter	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1769	2020	88	101	6948	24960	358	2424	623	998	32	50	9340	27978	478	2575	False		
fastx_barcode_splitter	cshl_fastx_barcode_splitter	Barcode Splitter								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Fastq Manipulation	fastx_barcode_splitter	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastx_barcode_splitter	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastx_barcode_splitter	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	16957	18124	225	260	37001	89126	919	2720	863	989	56	68	54821	108239	1200	3048	False		
fastx_clipper	cshl_fastx_clipper	Clip adapter sequences								Up-to-date	http://hannonlab.cshl.edu/fastx_toolkit/	Fasta Manipulation, Fastq Manipulation	fastx_clipper	2017-07-10	devteam	https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/fastx_toolkit/fastx_clipper	https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/fastx_toolkit/fastx_clipper	0.0.14	fastx_toolkit	0.0.14			1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	3140	3520	178	212	13975	117900	1198	6006	409	712	36	55	17524	122132	1412	6273	False		
